id,title,desc
1,Frappe Glaçante,Augmente les dégâts infligés par l'Attaque Basique de vos Filles de {1}%%.
2,Faiblesse Fatale,Vos Filles ont {1}%% de chance de faire un Coup Critique lorsqu'elles lancent leurs Attaques Basiques.
3,Double Coup,Vos Filles ont {1}%% de chance de lancer leurs Attaques Basiques une seconde fois.
4,Enflammée,Réduit la récupération de l'Énergie de vos Filles de 50%% et augmente leur Attaque de {1}%%.
5,Incantation,Augmente les Dégâts des Compétences de vos Filles de {1}%%.
6,Prière Bénite,Augmente la récupération de l'Énergie de vos Filles de {1}%%.
7,Cristal Énergisant,"Après qu'une de vos Filles ait lancé sa Compétence Active, toutes vos Filles récupéreront {1} Énergies."
8,Motivation,"Après qu'une de vos Filles ait lancé sa Compétence Active, l'Attaque de toutes vos Filles sera augmentée de 5%% pendant 2 tours ({1} couches au maximum)."
9,Biscuit Énergisant,Augmente la récupération de l'Énergie de votre Serviteur de {1}%%.
10,Appel Sauvage,"Après que votre Serviteur ait lancé sa Compétence Active, les dégâts infligés par toutes vos Filles seront augmentés de {1}%% et les dégâts subis par tous les ennemis seront augmentés de 5%% pendant 2 tours."
11,Position Défensive,"Après que votre Serviteur ait lancé sa Compétence Active, la Résistance Totale, le Blocage et l'Immunité de toutes vos Filles seront augmentés de {1}%% pendant 2 tours."
12,Force Ultime,Augmente le niveau du Noyau Précieux de votre Serviteur de {1}.
13,Effet Domino,"Lorsqu'une de vos Filles inflige des Dégâts sur la Durée à un ennemi, elle lui infligera ces Dégâts sur la Durée une seconde fois qui dureront pendant {1} tour(s)."
14,Déchirure,Augmente les Dégâts sur la Durée infligés par vos Filles de {1}%%.
15,Impitoyable,Augmente les dégâts subis par les ennemis marqués par des Dégâts sur la Durée de {1}%%.
16,Frappe Féroce,"Après qu'une de vos Filles ait lancé son Attaque Basique à un ennemi, elle lui Infligera des dégâts supplémentaires équivalent à {1}%% de sa propre Attaque (5 fois au maximum), en fonction du nombre de couches de Dégâts sur la Durée marqué sur cet ennemi."
17,Soin Converti,{1}%% des Soins Reçus par vos Filles seront transformés en Barrière.
18,Booster,Augmente les dégâts infligés par vos Filles sous la protection d'une Barrière de {1}%%.
19,Soin Intensif,Augmente les Soins Reçus par vos Filles de {1}%% pour chaque 1%% de leurs PV perdus.
20,Joker,"La première fois qu'une de vos Filles est vaincue, elle se ressuscitera avec {1}%% de ses PV au début du tour suivant (déclenchable qu'une seule fois durant la bataille)"
21,Corps d'Acier,Augmente les PV de toutes vos Filles de {1}%%.
22,Vengeance,"Lorsqu'une de vos Filles est attaquée, elle inflige alors des dégâts à l'Attaquant (100%% de son Attaque + {1}%% de ses PV perdus)."
23,Déchaînement,"Lorsqu'une de vos Filles est attaquée, son Attaque sera augmentée de 5%% pendant 2 tours ({1} couches au maximum)."
24,Coup pour Coup,Augmente l'Attaque de vos Filles de {1}%% pour chaque 1%% de leurs PV perdus.
