id,name,desc
1,1ère Étape,Aucun Handicap
2,2ème Étape,Aucun Handicap
3,3ème Étape,Aucun Handicap
4,4ème Étape,Aucun Handicap
5,5ème Étape,Handicap：Réduit de 50% l'Attaque de vos Filles de la Classe - Éclaireur.
6,6ème Étape,Handicap：Réduit de 40% les PV de vos Filles de la Classe - Prêtre.
7,7ème Étape,"Handicap：Au début de la bataille, toutes vos Filles seront rendues au Silence pendant 3 tours."
8,8ème Étape,Handicap：Réduit de 75% les Soins Reçus par vos Filles.
9,9ème Étape,"Handicap：Après la fin du tour, tous les ennemis se soignent de 10% de leurs PV Max."
10,10ème Étape,Handicap：Tous les ennemis sont immunisés contre les Effets Négatifs.
11,Vortex Temporel,Le maximum de vos dégâts infligés durant ce combat sera utilisé pour vous classer parmi les dégâts ingligés par les autres joueurs. Touchez le bouton en haut à droite pour voir le classement.
12,1ère Étape,Aucun Handicap
13,2ème Étape,Aucun Handicap
14,3ème Étape,Aucun Handicap
15,4ème Étape,Aucun Handicap
16,5ème Étape,Handicap：Réduit de 50% l'Attaque de vos Filles de la Classe - Mage.
17,6ème Étape,Handicap：Réduit de 40% les PV de vos Filles de la Classe - Guerrier.
18,7ème Étape,Handicap：Il n'y a qu'une Fille qui peut lancer sa Compétence Active à chaque tour.
19,8ème Étape,Handicap：Les dégâts infligés par vos Filles ne peuvent pas être Critiques. (Sauf les dégâts à 100% de Crit.)
20,9ème Étape,Handicap：Réduit de 50% l'Attaque de toutes vos Filles.
21,10ème Étape,Handicap：Tous les ennemis sont immunisés contre les Effets Négatifs.
22,Vortex Temporel,Le maximum de vos dégâts infligés durant ce combat sera utilisé pour vous classer parmi les dégâts ingligés par les autres joueurs. Touchez le bouton en haut à droite pour voir le classement.
23,1ère Étape,Aucun Handicap
24,2ème Étape,Aucun Handicap
25,3ème Étape,Aucun Handicap
26,4ème Étape,Aucun Handicap
27,5ème Étape,Handicap：Réduit de 50% l'Attaque de vos Filles de la Classe - Éclaireur.
28,6ème Étape,Handicap：Réduit de 40% les PV de vos Filles de la Classe - Prêtre.
29,7ème Étape,"Handicap：Au début de la bataille, toutes vos Filles seront rendues au Silence pendant 3 tours."
30,8ème Étape,Handicap：Réduit de 75% les Soins Reçus par vos Filles.
31,9ème Étape,"Handicap：Après la fin du tour, tous les ennemis se soignent de 10% de leurs PV Max."
32,10ème Étape,Handicap：Tous les ennemis sont immunisés contre les Effets Négatifs.
33,Vortex Temporel,Le maximum de vos dégâts infligés durant ce combat sera utilisé pour vous classer parmi les dégâts ingligés par les autres joueurs. Touchez le bouton en haut à droite pour voir le classement.
