id,desc
1,"Bienvenue dans les Échos du Temps, Senpai ! Venez, je vais vous montrer les alentours !"
2,"Voici l'entrée ! Ici, vous pouvez sélectionner le Corridor Temporel que vous souhaitez Explorer en touchant sur un d'entre eux."
3,"Ici, vous trouverez les Succès que vous aurez accomplis dans les Échos du Temps."
4,"Ici, vous trouverez les différentes Étapes des Échos du Temps. Vous pouvez les défier à tout moment !"
5,"Touchez ici pour commencer votre première Exploration, Senpai !"
6,Utilisez de la Poussière Temporelle pour accélérer votre Exploration et collecter les récompenses plus vite.
7,"Senpai, vous avez obtenu de la Poussière Temporelle ! Touchez ici pour l'utiliser !"
8,"Votre Exploration est terminée, vous devez vous rendre sur l'interface des résultats manuellement."
9,Voici un aperçu des cartes déclenchables durant vos Explorations.
10,"Voici votre Historique, ici vous trouverez les cartes que vous avez déclenchées durant votre Exploration."
11,"Ici, vous trouverez un aperçu des récompenses que vous pourrez collecter lorsque votre Exploration sera terminée."
12,Touchez ici pour entrer dans l'interface des Résultats et terminer l'Exploration.
13,"Utilisez des Fragments Galactiques pour améliorer le niveau de votre Planétarium, ce qui permettra de vous aider dans vos Explorations !"
14,Vous avez collecté assez de Fragment Galactique pour améliorer votre Planétarium. Touchez ici pour vous rendre au Planétarium.
15,"Il existe deux types de Technique, touchez ici pour plus détails sur Technique I du Planétarium."
16,"Rejoignons l'Expédition Polaire, Senpai~ Les Filles sont déjà en position de combat !"
17,Entrons d'abord dans notre Camp de base !
18,"Senpai, touchez ici pour y entrer~"
19,"Bienvenue dans votre Camp de base ! Ici, vous trouverez le statut des territoires occupés par votre Faction."
20,Ici sont affichés toutes les cases de territoire occupées par votre Faction et les Points d'Expédition obtenables par jour.
21,"Allons voir plus loin, Senpai~"
22,"Senpai, on dirait qu'il se trame quelque chose à côté !"
23,Entrons pour en savoir plus !
24,Retrouvez ici les détails de l'Armée Défensive qui occupe cette case de territoire.
25,Défiez l'Armée Défensive et obtenez des Médailles de Contribution.
26,"Après avoir vaincue une Armée Défensive d'une case de territoire non occupée par votre Faction, cette Armée Défensive sera affaiblie et le nombre d'armée diminuera."
27,"Une fois que le nombre d'armée sera réduit à 0 par vous ou d'autres joueurs de votre Faction, cette case de territoire est considérée comme occupée par votre Faction !"
28,Touchez ici pour en savoir plus sur cette case de territoire.
29,"Lorsqu'une case de territoire neutre est occupée, les Factions ayant combattu sur cette dernière recevront des Points d'Expédition en fonction des dégâts infligés par leurs membres."
30,"Une fois qu'une case de territoire est occupée, des Points d'Expédition seront continuellement fournis à la Faction occupante."
31,Les elfes des Pays du Nord ont préparé des récompenses pour vous. Allons y jeter un œil !
32,Les récompenses seront calculées en fonction de votre Classement Individuel au sein de votre Faction et du Classement de votre Faction.
33,"Des joueurs de serveurs différents vont rejoindre votre Faction et combattre à vos côtés, commencez cette nouvelle aventure frissonnante sans plus attendre, Senpai !"
34,"Cette zone est trop éloignée pour être défiée, Senpai. Allons voir les zones à proximité de votre territoire !"
35,"Vous ne pouvez uniquement défier les cases de territoire occupées par votre Faction ou celles adjacentes aux cases occupées, Senpai~"
36,ALERTE ! Le monstre de la Montagne de Glace - Avalanche s'est réveillé !
37,"Avalanche a été vaincu ! Nous avons surmonté la crise des Pays Nord, la température a l'air d'être redevenue à la normale."
38,Les Armées Défensives autour de la Montagne de Glace commencent à battre en retraite...
39,"Veuillez toucher ici pour entrer, Senpai."
40,Le nombre d'Armée Défensive sera réduit de 10% à 0:00 (UTC/GMT 0) chaque jour.
