name,translation
MAIN_STORY,Campagne
MAIN_SCHOOL,Campus
MAIN_ARENA,Défier
SEVENDAY_NORMAL,[c][5c5c5c][size=42][sc][ffffff]{1}[-][/c][-][/sc]e jour(s)
SEVENDAY_AVAILABEL,[c][d76500][size=42][sc][ffffff]{1}[-][/c][-][/sc]e jour(s)
SEVEN_DAY_DES1,Connexion pendant [sc][d36901]2 J[/sc] :
SEVEN_DAY_DES2,Connexion pendant [sc][d36901]7 J[/sc] :
CONCERN_SNS_HTTP_H5,https://www.facebook.com/fr.gxb2/
NEED_GO_APPSTORE,Veuillez mettre à jour le jeu
ACCOUNT_IS_BANNED,Ce compte a été banni
NEW_GAME_RESOURCE_LOADED,Attention ! Le jeu va être mis à jour ! Veuillez relancer le jeu !
CONCERN_SNS_HTTP,https://www.facebook.com/Yume-Academyfr-102537538315640
WELFARE_LIMIT_NUM,{1}/[size=15]{2}[-]
TERMS_SERVICE_URL_UNITY_IOS,http://www.soaindo.com/article/terms_of_use
PRIVACY_POLICY_URL_UNITY_IOS,http://www.soaindo.com/article/privacy_policy
