id,item,trip_limit,cost,text_id,buy_limit,begin_season
1,360#5000,0|0,398#800,1002,1,1
2,359#500,0|0,398#800,1002,1,2
3,358#10,0|0,398#12000,1002,1,3
4,360#10000,2|200,398#1600,1002,1,4
5,359#1000,2|200,398#1600,1002,1,5
6,358#15,2|200,398#18000,1002,1,6
7,360#15000,3|500,398#2400,1002,1,7
8,359#1500,3|500,398#2400,1002,1,8
9,358#20,3|500,398#24000,1002,1,9
10,360#20000,4|800,398#3200,1002,1,3
11,359#2000,4|800,398#3200,1002,1,3
12,358#25,4|800,398#30000,1002,1,3
13,360#30000,5|1200,398#4800,1002,1,6
14,359#3000,5|1200,398#4800,1002,1,6
15,358#30,5|1200,398#36000,1002,1,6
