id,next_id,battle_awards,kill_awards,point,battle_id1_1,battle_challenge1_1,battle_skill1_1,skill_tips1_1,battle_id2_1,battle_challenge2_1,battle_skill2_1,skill_tips2_1,battle_id3_1,battle_challenge3_1,battle_skill3_1,skill_tips3_1,battle_id1_2,battle_challenge1_2,battle_skill1_2,skill_tips1_2,battle_id2_2,battle_challenge2_2,battle_skill2_2,skill_tips2_2,battle_id3_2,battle_challenge3_2,battle_skill3_2,skill_tips3_2,battle_id1_3,battle_challenge1_3,battle_skill1_3,skill_tips1_3,battle_id2_3,battle_challenge2_3,battle_skill2_3,skill_tips2_3,battle_id3_3,battle_challenge3_3,battle_skill3_3,skill_tips3_3
1,2,4#50|1#50000,2#50|4#100|1#150000,100000,2101010,40|23|14,502107|509999,,2102010,21|26|11,509999,,2103010,17|41|48,503118|509999,,2101110,40|26|14,501101|509999,,2102110,16|26|15,509999,,2103110,17|41|35,503119|509999,,2101210,15|50|41,501101|509999,,2102210,49|40|48,509999,,2103210,40|17|25,509999,
2,3,4#50|1#50000,2#50|4#120|1#200000,100000,2101020,40|23|14,502107|509999,,2102020,21|26|11,509999,,2103020,17|41|48,503118|509999,,2101120,40|26|14,501101|509999,,2102120,16|26|15,509999,,2103120,17|41|35,503119|509999,,2101220,15|50|41,501101|509999,,2102220,49|40|48,509999,,2103220,40|17|25,509999,
3,4,4#50|1#50000,2#50|4#140|1#250000,100000,2101030,40|23|14,501115|502107|509999,1,2102030,21|26|11,503112|509999,1,2103030,17|41|48,503108|503118|509999,1,2101130,40|26|14,501109|501101|509999,1,2102130,16|26|15,503103|509999,1,2103130,17|41|35,503119|509999,1,2101230,15|50|41,503103|501101|509999,1,2102230,49|40|48,503105|509999,1,2103230,40|17|25,503112|509999,1
4,5,4#50|1#50000,2#50|4#160|1#300000,100000,2101040,40|23|14,501115|502107|509999,,2102040,21|26|11,503112|509999,,2103040,17|41|48,503108|503118|509999,,2101140,40|26|14,501109|501101|509999,,2102140,16|26|15,503103|509999,,2103140,17|41|35,503119|509999,,2101240,15|50|41,503103|501101|509999,,2102240,49|40|48,503105|509999,,2103240,40|17|25,503112|509999,
5,6,4#50|1#50000,2#50|4#180|1#350000,100000,2101050,40|23|14,502105|501115|502107|509999,1,2102050,21|26|11,503109|503112|509999,1,2103050,17|41|48,502106|503108|503118|509999,1,2101150,40|26|14,503114|501109|501101|509999,1,2102150,16|26|15,503103|503101|509999,1,2103150,17|41|35,501105|503119|509999,1,2101250,15|50|41,503101|503103|501101|509999,1,2102250,49|40|48,502102|503105|509999,1,2103250,40|17|25,503108|503112|509999,1
6,7,4#50|1#50000,2#50|4#200|1#400000,100000,2101060,40|23|14,502105|501115|502107|509999,,2102060,21|26|11,503109|503112|509999,,2103060,17|41|48,502106|503108|503118|509999,,2101160,40|26|14,503114|501109|501101|509999,,2102160,16|26|15,503103|503101|509999,,2103160,17|41|35,501105|503119|509999,,2101260,15|50|41,503101|503103|501101|509999,,2102260,49|40|48,502102|503105|509999,,2103260,40|17|25,503108|503112|509999,
7,8,4#50|1#50000,2#50|4#250|1#450000,100000,2101070,40|23|14,502105|501116|502107|509999,1,2102070,21|26|11,503105|503109|503112|509999,1,2103070,17|41|48,503114|502106|503108|503118|509999,1,2101170,40|26|14,503114|501109|501102|509999,1,2102170,16|26|15,503104|503102|509999,1,2103170,17|41|35,501105|503119|509999,1,2101270,15|50|41,503101|503103|501102|509999,1,2102270,49|40|48,502102|502104|503105|509999,1,2103270,40|17|25,503108|503109|503112|509999,1
8,9,4#50|1#50000,2#50|4#300|1#500000,100000,2101080,40|23|14,502105|501116|502107|509999,,2102080,21|26|11,503105|503109|503112|509999,,2103080,17|41|48,503114|502106|503108|503118|509999,,2101180,40|26|14,503114|501109|501102|509999,,2102180,16|26|15,503104|503102|509999,,2103180,17|41|35,501105|503119|509999,,2101280,15|50|41,503101|503103|501102|509999,,2102280,49|40|48,502102|502104|503105|509999,,2103280,40|17|25,503108|503109|503112|509999,
9,10,4#50|1#50000,2#50|4#350|1#550000,100000,2101090,40|23|14,503115|502105|501116|502107|509999,1,2102090,21|26|11,503105|503109|503112|509999,1,2103090,17|41|48,503115|502106|503108|503118|509999,1,2101190,40|26|14,503115|501110|501102|509999,1,2102190,16|26|15,503104|503102|509999,1,2103190,17|41|35,501105|503119|509999,1,2101290,15|50|41,503102|503104|501102|509999,1,2102290,49|40|48,502103|502104|503105|509999,1,2103290,40|17|25,503114|503108|503109|503112|509999,1
10,10,4#50|1#50000,2#50|4#400|1#800000,100000,2101100,40|23|14,503115|502105|501116|502107|509999,,2102100,21|26|11,503105|503109|503112|509999,,2103100,17|41|48,503115|502106|503108|503118|509999,,2101200,40|26|14,503115|501110|501102|509999,,2102200,16|26|15,503104|503102|509999,,2103200,17|41|35,501105|503119|509999,,2101300,15|50|41,503102|503104|501102|509999,,2102300,49|40|48,502103|502104|503105|509999,,2103300,40|17|25,503114|503108|503109|503112|509999,
