id,rank,season_awards,rank_front,awards_1,awards_2,awards_3
1,1,4#4480|1#2000000,1,4#4480#1#2000000,4#4928|1#2200000,4#5376|1#2400000
2,2,4#4340|1#1800000,2,4#4340#1#1800000,4#4774|1#1980000,4#5208|1#2160000
3,3,4#4200|1#1600000,3,4#4200#1#1600000,4#4620|1#1760000,4#5040|1#1920000
4,10,4#3780|1#1400000,4-10,4#3780#1#1400000,4#4158|1#1540000,4#4536|1#1680000
5,20,4#3500|1#1200000,11-20,4#3500#1#1200000,4#3850|1#1320000,4#4200|1#1440000
6,50,4#3220|1#1000000,21-50,4#3220#1#1000000,4#3542|1#1100000,4#3864|1#1200000
7,100,4#2800|1#800000,51-100,4#2800#1#800000,4#3080|1#880000,4#3360|1#960000
8,200,4#2520|1#600000,101-200,4#2520#1#600000,4#2772|1#660000,4#3024|1#720000
9,500,4#2240|1#500000,201-500,4#2240#1#500000,4#2464|1#550000,4#2688|1#600000
10,1000,4#1960|1#400000,501-1000,4#1960#1#400000,4#2156|1#440000,4#2352|1#480000
11,3000,4#1680|1#300000,1001-3000,4#1680#1#300000,4#1848|1#330000,4#2016|1#360000
12,999999,4#1400|1#200000,3001+,4#1400#1#200000,4#1540|1#220000,4#1680|1#240000
