id,name,brief,desc,name1,type,type_config,qlt,group,is_economy,stack_limit,level,icon,light_effect,gift_id,is_auto_open,equip,pub_scroll_type,partner_cost,treasure_cost,get_ways,go_window,getway_item,dropbox_show,is_sell,sell_price,summon_id,show_in_bag,show_bag_type,filter_type,show_in_forge,skin_id,collection_id,para,avatar_frame_effect,effect_mask,dress_id,clear_act
6401,-1,-1,,-1,11,1003,6,,0,,1,artfact_74,,,,,,,,,,,,,1#600000,,1,4,,,,26024,,,,,
6402,-1,-1,,-1,11,1003,6,,0,,1,artfact_74,,,,,,,,,,,,,1#700000,,1,4,,,,26024,,,,,
6403,-1,-1,,-1,11,1003,6,,0,,1,artfact_74,,,,,,,,,,,,,1#800000,,1,4,,,,26024,,,,,
6404,-1,-1,,-1,11,1003,6,,0,,1,artfact_74,,,,,,,,,,,,,1#900000,,1,4,,,,26024,,,,,
6405,-1,-1,,-1,11,1003,6,,0,,1,artfact_74,,,,,,,,,,,,,1#1000000,,1,4,,,,26024,,,,,
6406,-1,-1,,-1,11,1003,6,,0,,1,artfact_74,,,,,,,,,,,,,1#1100000,,1,4,,,,26024,,,,,
6407,-1,-1,,-1,11,1003,6,,0,,1,artfact_75,,,,,,,,,,,,,1#600000,,1,4,,,,26025,,,,,
6408,-1,-1,,-1,11,1003,6,,0,,1,artfact_75,,,,,,,,,,,,,1#700000,,1,4,,,,26025,,,,,
6409,-1,-1,,-1,11,1003,6,,0,,1,artfact_75,,,,,,,,,,,,,1#800000,,1,4,,,,26025,,,,,
6410,-1,-1,,-1,11,1003,6,,0,,1,artfact_75,,,,,,,,,,,,,1#900000,,1,4,,,,26025,,,,,
6411,-1,-1,,-1,11,1003,6,,0,,1,artfact_75,,,,,,,,,,,,,1#1000000,,1,4,,,,26025,,,,,
6412,-1,-1,,-1,11,1003,6,,0,,1,artfact_75,,,,,,,,,,,,,1#1100000,,1,4,,,,26025,,,,,
6413,-1,-1,,-1,11,1003,6,,0,,1,artfact_76,,,,,,,,,,,,,1#600000,,1,4,,,,26026,,,,,
6414,-1,-1,,-1,11,1003,6,,0,,1,artfact_76,,,,,,,,,,,,,1#700000,,1,4,,,,26026,,,,,
6415,-1,-1,,-1,11,1003,6,,0,,1,artfact_76,,,,,,,,,,,,,1#800000,,1,4,,,,26026,,,,,
6416,-1,-1,,-1,11,1003,6,,0,,1,artfact_76,,,,,,,,,,,,,1#900000,,1,4,,,,26026,,,,,
6417,-1,-1,,-1,11,1003,6,,0,,1,artfact_76,,,,,,,,,,,,,1#1000000,,1,4,,,,26026,,,,,
6418,-1,-1,,-1,11,1003,6,,0,,1,artfact_76,,,,,,,,,,,,,1#1100000,,1,4,,,,26026,,,,,
6419,-1,-1,,-1,11,1003,6,,0,,1,artfact_77,,,,,,,,,,,,,1#600000,,1,4,,,,26027,,,,,
6420,-1,-1,,-1,11,1003,6,,0,,1,artfact_77,,,,,,,,,,,,,1#700000,,1,4,,,,26027,,,,,
6421,-1,-1,,-1,11,1003,6,,0,,1,artfact_77,,,,,,,,,,,,,1#800000,,1,4,,,,26027,,,,,
6422,-1,-1,,-1,11,1003,6,,0,,1,artfact_77,,,,,,,,,,,,,1#900000,,1,4,,,,26027,,,,,
6423,-1,-1,,-1,11,1003,6,,0,,1,artfact_77,,,,,,,,,,,,,1#1000000,,1,4,,,,26027,,,,,
6424,-1,-1,,-1,11,1003,6,,0,,1,artfact_77,,,,,,,,,,,,,1#1100000,,1,4,,,,26027,,,,,
6425,-1,-1,,-1,11,1003,6,,0,,1,artfact_78,,,,,,,,,,,,,1#600000,,1,4,,,,26028,,,,,
6426,-1,-1,,-1,11,1003,6,,0,,1,artfact_78,,,,,,,,,,,,,1#700000,,1,4,,,,26028,,,,,
6427,-1,-1,,-1,11,1003,6,,0,,1,artfact_78,,,,,,,,,,,,,1#800000,,1,4,,,,26028,,,,,
