id,name,brief,desc,name1,type,type_config,qlt,group,is_economy,stack_limit,level,icon,light_effect,gift_id,is_auto_open,equip,pub_scroll_type,partner_cost,treasure_cost,get_ways,go_window,getway_item,dropbox_show,is_sell,sell_price,summon_id,show_in_bag,show_bag_type,filter_type,show_in_forge,skin_id,collection_id,para,avatar_frame_effect,effect_mask,dress_id,clear_act,jobGiftBoxID,is_change_border,sort_forward
53001,-1,,,-1,13,1002,,,0,,,icon_3,,,,,,,,7|40|8,,,,,,,0,,,,,,,,,,,,,
53002,-1,,,-1,13,1002,,,0,,,icon_4,,,,,,,,7|40|24|8,,,,,,,0,,,,,,,,,,,,,
53003,-1,,,-1,13,1002,,,0,,,icon_5,,,,,,,,7|40|24|8|9,,,,,,,0,,,,,,,,,,,,,
53004,-1,,,-1,13,1002,,,0,,,icon_6,,,,,,,,7|40|8,,,,,,,0,,,,,,,,,,,,,
53005,-1,,,-1,13,1002,,,0,,,icon_7,,,,,,,,7|40|24|22|8,,,,,,,0,,,,,,,,,,,,,
53006,-1,,,-1,13,1002,,,0,,,icon_8,,,,,,,,7|40|8,,,,,,,0,,,,,,,,,,,,,
53007,-1,,,-1,13,1002,,,0,,,icon_9,,,,,,,,7|40|8,,,,,,,0,,,,,,,,,,,,,
53008,-1,,,-1,13,1002,,,0,,,icon_10,,,,,,,,7|40|23|8,,,,,,,0,,,,,,,,,,,,,
53009,-1,,,-1,13,1002,,,0,,,icon_11,,,,,,,,7|40|22|8|9,,,,,,,0,,,,,,,,,,,,,
53010,-1,,,-1,13,1002,,,0,,,icon_12,,,,,,,,7|40|24|27|8|9,,,,,,,0,,,,,,,,,,,,,
53011,-1,,,-1,13,1002,,,0,,,icon_13,,,,,,,,7|40|8,,,,,,,0,,,,,,,,,,,,,
53012,-1,,,-1,13,1002,,,0,,,icon_23,,,,,,,,7|40|8,,,,,,,0,,,,,,,,,,,,,
53013,-1,,,-1,13,1002,,,0,,,icon_23,,,,,,,,7|40|8,,,,,,,0,,,,,,,,,,,,,
53014,-1,,,-1,13,1002,,,0,,,icon_2,,,,,,,,7|40|8,,,,,,,0,,,,,,,,,,,,,
53015,-1,,,-1,13,1002,,,0,,,icon_2,,,,,,,,7|40|8,,,,,,,0,,,,,,,,,,,,,
53016,-1,,,-1,13,1002,,,0,,,icon_2,,,,,,,,7|40|8,,,,,,,0,,,,,,,,,,,,,
53017,-1,,,-1,13,1002,,,0,,,icon_2,,,,,,,,7|40|8,,,,,,,0,,,,,,,,,,,,,
53018,-1,,,-1,13,1002,,,0,,,icon_2,,,,,,,,7|40|8,,,,,,,0,,,,,,,,,,,,,
53019,-1,,,-1,13,1002,,,0,,,icon_2,,,,,,,,7|40|8,,,,,,,0,,,,,,,,,,,,,
54001,-1,,,-1,13,1002,,,0,,,icon_14,,,,,,,,7|40|24|8|9,,,,,,,0,,,,,,,,,,,,,
54002,-1,,,-1,13,1002,,,0,,,icon_15,,,,,,,,7|40|23|8,,,,,,,0,,,,,,,,,,,,,
54003,-1,,,-1,13,1002,,,0,,,icon_16,,,,,,,,7|40|22|8|9,,,,,,,0,,,,,,,,,,,,,
54004,-1,,,-1,13,1002,,,0,,,icon_17,,,,,,,,7|40|24|8,,,,,,,0,,,,,,,,,,,,,
54005,-1,,,-1,13,1002,,,0,,,icon_18,,,,,,,,7|40|27|22|8,,,,,,,0,,,,,,,,,,,,,
54006,-1,,,-1,13,1002,,,0,,,icon_19,,,,,,,,7|40|24|8,,,,,,,0,,,,,,,,,,,,,
54007,-1,,,-1,13,1002,,,0,,,icon_20,,,,,,,,7|40|8,,,,,,,0,,,,,,,,,,,,,
54008,-1,,,-1,13,1002,,,0,,,icon_21,,,,,,,,7|40|8,,,,,,,0,,,,,,,,,,,,,
54009,-1,,,-1,13,1002,,,0,,,icon_22,,,,,,,,7|40|24|8|9,,,,,,,0,,,,,,,,,,,,,
54010,-1,,,-1,13,1002,,,0,,,icon_23,,,,,,,,7|40|8,,,,,,,0,,,,,,,,,,,,,
54011,-1,,,-1,13,1002,,,0,,,icon_23,,,,,,,,7|40|8,,,,,,,0,,,,,,,,,,,,,
54012,-1,,,-1,13,1002,,,0,,,icon_23,,,,,,,,7|40|8,,,,,,,0,,,,,,,,,,,,,
54013,-1,,,-1,13,1002,,,0,,,icon_2,,,,,,,,40,,,,,,,0,,,,,,,,,,,,,
54014,-1,,,-1,13,1002,,,0,,,icon_2,,,,,,,,7|40|8,,,,,,,0,,,,,,,,,,,,,
54015,-1,,,-1,13,1002,,,0,,,icon_2,,,,,,,,7|40|8,,,,,,,0,,,,,,,,,,,,,
54016,-1,,,-1,13,1002,,,0,,,icon_2,,,,,,,,7|40|8,,,,,,,0,,,,,,,,,,,,,
54017,-1,,,-1,13,1002,,,0,,,icon_2,,,,,,,,7|40|8,,,,,,,0,,,,,,,,,,,,,
54018,-1,,,-1,13,1002,,,0,,,icon_2,,,,,,,,7|40|8,,,,,,,0,,,,,,,,,,,,,
55001,-1,,,-1,13,1002,,,0,,,icon_24,,,,,,,,7|40|8,,,,,,,0,,,,,,,,,,,,,
55002,-1,,,-1,13,1002,,,0,,,icon_1,,,,,,,,42|7|40|8|9,,,,,,,0,,,,,,,,,,,,,
55003,-1,,,-1,13,1002,,,0,,,icon_2,,,,,,,,7|40|8,,,,,,,0,,,,,,,,,,,,,
55004,-1,,,-1,13,1002,,,0,,,icon_3,,,,,,,,7|40|8,,,,,,,0,,,,,,,,,,,,,
55005,-1,,,-1,13,1002,,,0,,,icon_4,,,,,,,,7|40|8,,,,,,,0,,,,,,,,,,,,,
55006,-1,,,-1,13,1002,,,0,,,icon_4,,,,,,,,7|40|8,,,,,,,0,,,,,,,,,,,,,
55007,-1,,,-1,13,1002,,,0,,,icon_23,,,,,,,,7|40|8,,,,,,,0,,,,,,,,,,,,,
55008,-1,,,-1,13,1002,,,0,,,icon_2,,,,,,,,7|40|8,,,,,,,0,,,,,,,,,,,,,
55009,-1,,,-1,13,1002,,,0,,,icon_2,,,,,,,,7|40|8,,,,,,,0,,,,,,,,,,,,,
55010,-1,,,-1,13,1002,,,0,,,icon_2,,,,,,,,7|40|8,,,,,,,0,,,,,,,,,,,,,
55011,-1,,,-1,13,1002,,,0,,,icon_2,,,,,,,,7|40|8,,,,,,,0,,,,,,,,,,,,,
55012,-1,,,-1,13,1002,,,0,,,icon_2,,,,,,,,7|40|8,,,,,,,0,,,,,,,,,,,,,
56001,-1,,,-1,13,1002,,,0,,,icon_5,,,,,,,,42|7|40|27|8|9,,,,,,,0,,,,,,,,,,,,,
56002,-1,,,-1,13,1002,,,0,,,icon_6,,,,,,,,7|40|8,,,,,,,0,,,,,,,,,,,,,
56003,-1,,,-1,13,1002,,,0,,,icon_7,,,,,,,,7|40|8,,,,,,,0,,,,,,,,,,,,,
56004,-1,,,-1,13,1002,,,0,,,icon_8,,,,,,,,7|40|8,,,,,,,0,,,,,,,,,,,,,
56005,-1,,,-1,13,1002,,,0,,,icon_8,,,,,,,,7|40|8,,,,,,,0,,,,,,,,,,,,,
56006,-1,,,-1,13,1002,,,0,,,icon_23,,,,,,,,7|40|8,,,,,,,0,,,,,,,,,,,,,
56007,-1,,,-1,13,1002,,,0,,,icon_2,,,,,,,,7|40|8,,,,,,,0,,,,,,,,,,,,,
56008,-1,,,-1,13,1002,,,0,,,icon_2,,,,,,,,7|40|8,,,,,,,0,,,,,,,,,,,,,
56009,-1,,,-1,13,1002,,,0,,,icon_2,,,,,,,,7|40|8,,,,,,,0,,,,,,,,,,,,,
56010,-1,,,-1,13,1002,,,0,,,icon_2,,,,,,,,7|40|8,,,,,,,0,,,,,,,,,,,,,
541001,-1,,,-1,13,1002,,,0,,,icon_9,,,,,,,,30|8,,,,,,,0,,,,,,,,,,,,,
