id,title,desc
1,海底の龍宮,
2,宮殿の主人,
3,情報通,
4,お買い物,
5,釣り人,
6,怪しい島,
7,空の旅,
8,謎の舟,
9,宝はどこへ？,
10,深海へ,
11,後日談,
12,ディアンヌに話しかける,「あら～、そんなにはしゃがないですよ～。」ディアンヌのペットたちに追いかけ回され、この水合戦で勝利しない限り、振り払うことは難しいだろう。
13,黒猫,「猫を撫でたいのか？遠慮するな。」モフモフした生き物が、ロランヴィアの膝の上で、ゴロゴロと鳴きながら甘えている。
14,ヘルメスに話しかける,「いらっしゃい～、折角海に来たんだ、こいつらを無料であげるぞ～。」ヘルメスから、たくさんの不思議なおもちゃを珍しく無償で貰った。
15,フェイズナに話しかける,「わさびアイスはまだ準備中だ！待っている間に、このバニラアイスでもどうだ？」フェイズナはそう言って、普通のアイスを渡してきた。
16,キューピットを観察,キューピットが海に向かって金の矢を乱射している。このままでは海の生態系が破壊されてしまう！彼女を止めないと……
17,海上の踊り子,2人は堕神の魔性のダンスに魅了され、いつの間にか長い時間が過ぎ去っていた。
18,諸葛亮に話しかける,「釣りか？これを貸そう」そう言って、諸葛亮は釣竿を渡してきた。
19,ドラキュラ（原初）を追え,「甦れ、我が血で束縛されし従僕たちよ！」世界を守るため、ドラキュラの女王の陰謀を阻止しよう。
20,謎の人,「僕と一緒に魔法少女になって、奇跡を起こそう！」魔法のステッキを持ったアウラが2人を勧誘していた。
21,絵画モデル,ロランヴィアとポセイドンは、2人が描かれた1枚の絵を貰った。ロランヴィアは記念に残すなら写真の方が早くていいと思っていたが、アリーシャの前でそう言える人はいないだろう。
22,魯班に話しかける,「もう1回遊ぼう！空飛ぶの楽しいね～。」魯班は2人を連れて、空で華麗にバク宙を披露した。
23,左慈の元へ帰還,2人の助けもあり左慈は無事に帰れたが、左慈の残香に綺麗な魚がたくさん集まっている。この美しい光景をもう少し眺めてから帰ろう。
