id,desc,title
1,サインイン,サインイン
2,月間パック,月間パック
3,週間パック,週間パック
4,新サーバー ボーナス,新サーバー\nボーナス
5,購入,購入
6,月間パス,月間パス
7,ミニ月間パス,ミニ月間パス
8,レベル パック,レベル\nパック
9,星4 パック,星4育成\nパック
10,星5 パック,星5育成\nパック
11,初購入 パック,初購入\nパック
12,お得ビッグ パック,お得パック
13,ガチャpt達成,ガチャpt達成
14,戦姫ガチャ,戦姫ガチャ
15,お得ビッグ パック,お得パック
16,募集審査,募集審査
17,戦姫集結,戦姫集結
18,「いいね」 ボーナス,SNS\nボーナス
19,無料 購入,無料\n購入
20,販売機pt ゲット,販売機pt\nゲット
21,バイト 目標達成,バイト\n目標達成
22,決戦 競技場,決戦\n競技場
23,戦姫専用 ミッション,戦姫専用\nミッション
24,週間パス,週間パス
25,進学＆覚醒,進学＆覚醒
26,戦姫交換,戦姫交換
27,探検家ギフト,探検家ギフト
28,スイート ハウス,スイート\nハウス
29,無主活動登陸,無主活動登陸
30,新声の儀,新声の儀
31,期間限定 星5セール,期間限定\n星5セール
32,課外活動,課外活動
33,バニラのアトリエ,バニラの\nアトリエ
34,使い魔 捕獲,使い魔\n捕獲
35,ゴールド 定期購入,ゴールド\n定期購入
36,4周年 記念パス,4周年\n記念パス
37,パズル集,パズル集
38,定期購入,定期購入
39,月間パック,月間パック
40,週間パック,週間パック
41,限界突破祭,限界突破祭
42,入学 ボーナス,サマー劇場
43,アイス 祭り,アイス\n祭り
44,超お得 衣装パック,超お得\n衣装パック
45,超お得 衣装パック,超お得\n衣装パック
46,初めての ときめき,初めての\nときめき
47,お月見 ログイン,お月見\nログイン
48,星10 交換生,星10\n交換生
49,ステージ パック,ステージ\nパック
50,桜の木の下の 約束,桜の木の下の\n約束
51,誓約の指輪,誓約の指輪
52,愛と誓いの 総選挙,愛と誓いの\n総選挙
53,テスト プレイ,テスト\nプレイ
54,テストフィード バック,テストフィード\nバック
55,寮のお手伝い,寮のお手伝い
56,ビーチギフト,ビーチギフト
57,育成パック,育成パック
58,サーバー 記念ガチャ,サーバー\n記念ガチャ
59,幽夢学園,幽夢学園
60,装備補給,装備補給
61,砂浜乱闘,砂浜乱闘
62,ボーナス アップ,ボーナス\nアップ
63,幽夢喫茶店,幽夢喫茶店
64,スロット マシン,スロット\nマシン
65,スロット pt達成,スロット\npt達成
66,クリスマス 限定パック,クリスマス\n限定パック
67,生演奏,生演奏
68,音楽フェス,音楽フェス
69,勉強プラン,勉強プラン
70,図書館の 観測者,図書館の\n観測者
71,典籍研究,典籍研究
72,誓約パック,誓約パック
73,キャンディ 集め,ライトアップ
74,紫雨に轟く 機械の咆哮,紫雨に轟く\n機械の咆哮
75,毎月の課題,毎月の課題
76,ドリンクパック,ドリンクパック
77,ゴールドパック,ゴールドパック
78,ステージパック,ステージパック
79,最上階特別パック,最上階特別パック
80,レベル パック,レベル\nパック
81,星4 パック,星4育成\nパック
82,星5 パック,星5育成\nパック
84,愛と誓いの 総選挙,愛と誓いの\n総選挙
85,年越しボックス,年越しボックス
86,愚者の宴,愚者の宴
87,ボーナス セール,ボーナス\nセール
88,戦姫スクラッチ,戦姫スクラッチ
89,バリューパック,お得パック
90,超お得パック,超お得パック
91,無料 購入,無料\n購入
92,ガチャ ボーナスパック,ガチャ\nボーナスパック
93,コーヒー制作,コーヒー制作
95,祝福の池,祝福の池
999,予習目標,予習目標
97,レア戦姫 大集合,レア戦姫\n大集合
98,カオス討伐戦,カオス討伐戦
99,戦姫ガチャ,戦姫ガチャ
100,スイーツ ファクトリー,スイーツ\nファクトリー
101,カラフルバルーン,カラフル\nバルーン
103,入学セット,入学セット
104,デイリー お得パック,デイリー\nお得パック
105,デイリー お得パック,デイリー\nお得パック
106,,
107,星7パック,星7育成\nパック
108,紫雨に轟く 機械の咆哮,紫雨に轟く\n機械の咆哮
102,幽夢体育祭,幽夢体育祭
109,精霊幻境探索,精霊幻境探索
110,星9 パック2,星9育成\nパック2
111,星9 パック1,星9育成\nパック1
112,連携で星5魏延をGET！,アカウント連携
113,オンラインボーナス,オンラインボーナス
114,入学案内,入学案内
115,技術部の狂宴,技術部の狂宴
116,7日ボーナス,7日ボーナス
117,放課後のんびりタイム,放課後\nのんびりタイム
118,オートドロップが2倍,オートドロップが2倍
119,日常テスト2倍,日常テスト2倍
120,入学テスト,入学テスト
121,胸キュン大作戦,胸キュン大作戦
122,伯爵の秘密の贈り物,伯爵の秘密の\n贈り物
123,エナジー限定召喚,エナジー限定召喚
125,ラッキーカード,ラッキーカード
128,先輩へ♡,先輩へ♡
129,初回4倍,初回4倍
130,超お得パック,超お得パック
131,周年ケーキ,周年ケーキ
126,学園探索,学園探索
127,カーニバルパズル,カーニバルパズル
132,お得特権パス,お得特権パス
133,クールサマー,クールサマー
134,マジック カード,マジック\nカード
