id,name,charge,currency,show_name,charge_ios,charge_ios_new
1,月間パス,1220,￥,月間パス,1600,1600
2,ミニ月間パス,250,￥,ミニ月間パス,320,320
3,週間パス,120,￥,週間パス,160,160
4,250ダイヤパック,250,￥,ダイヤパック,320,320
5,500ダイヤパック,610,￥,ダイヤパック,800,800
6,1000ダイヤパック,1220,￥,ダイヤパック,1600,1600
7,2500ダイヤパック,3680,￥,ダイヤパック,4800,4800
8,5000ダイヤパック,6100,￥,ダイヤパック,8000,8000
9,レベル24パック,120,￥,レベル24パック,160,160
10,レベル32パック,250,￥,レベル32パック,320,320
11,レベル48パック,610,￥,レベル48パック,800,800
12,レベル58パック,2440,￥,レベル58パック,3200,3200
13,レベル78パック,3680,￥,レベル78パック,4800,4800
14,星4戦姫召喚パック,250,￥,星4戦姫召喚パック,320,320
15,星5戦姫召喚パック,610,￥,星5戦姫召喚パック,800,800
16,月間パック1,250,￥,月間パック,320,320
17,月間パック2,610,￥,月間パック,800,800
18,月間パック3,2440,￥,月間パック,3200,3200
19,月間パック4,3680,￥,月間パック,4800,4800
20,月間パック5,6100,￥,月間パック,8000,8000
21,月間パック6,6100,￥,月間\nパック,8000,8000
22,週間パック1,610,￥,週間パック,800,800
23,週間パック2,1220,￥,週間パック,1600,1600
24,週間パック3,3680,￥,週間パック,4800,4800
25,週間パック4,6100,￥,週間パック,8000,8000
26,お得パック1,6100,￥,お得パック,8000,8000
27,お得パック2,3680,￥,お得パック,4800,4800
28,お得パック3,1840,￥,お得パック,2400,2400
29,お得パック4,610,￥,お得パック,800,800
30,お得パック5,250,￥,お得パック,320,320
31,お得パック1,6100,￥,お得パック,8000,8000
32,お得パック2,3680,￥,お得パック,4800,4800
33,お得パック3,1840,￥,お得パック,2400,2400
34,お得パック4,610,￥,お得パック,800,800
35,無料購入カスタムパック,120,￥,無料購入カスタムパック,160,160
36,お得パック5,250,￥,お得パック,320,320
37,期間限定星5超お得パック,120,￥,期間限定星5超お得パック,160,160
38,定期購入,120,￥,定期購入,120,120
39,春節パス,610,￥,春節パス,800,800
40,週間定期購入,120,￥,週間定期購入,120,120
41,月間定期購入,450,￥,月間定期購入,450,450
42,3ヶ月間定期購入,1150,￥,3ヶ月間定期購入,1150,1150
43,月間パック1,250,￥,月間パック,320,320
44,月間パック2,610,￥,月間パック,800,800
45,月間パック3,2440,￥,月間パック,3200,3200
46,月間パック4,3680,￥,月間パック,4800,4800
47,月間パック5,6100,￥,月間パック,8000,8000
48,月間パック6,6100,￥,月間パック,8000,8000
49,週間パック1,610,￥,週間パック,800,800
50,週間パック2,1220,￥,週間パック,1600,1600
51,週間パック3,3680,￥,週間パック,4800,4800
52,週間パック4,6100,￥,週間パック,8000,8000
53,週間定期購入,120,￥,週間定期購入,120,120
54,月間定期購入,450,￥,月間定期購入,450,450
55,3ヶ月間定期購入,1080,￥,3ヶ月間定期購入,1080,1080
56,超お得パック1,250,￥,超お得パック,320,320
57,超お得パック1,250,￥,超お得パック,320,320
58,7日間無料,0,￥,7日間無料定期購入,0,0
59,7日間無料,0,￥,7日間無料定期購入,0,0
60,7日間無料,0,￥,7日間無料定期購入,0,0
61,7日間無料,0,￥,7日間無料定期購入,0,0
62,7日間無料,0,￥,7日間無料定期購入,0,0
63,7日間無料,0,￥,7日間無料定期購入,0,0
64,ステージパック,610,￥,ステージパック,800,800
65,超お得パック2,3680,￥,超お得パック,4800,4800
66,誓約の指輪,1220,￥,誓約の指輪,1600,1600
67,育成パック,610,￥,育成パック,800,800
68,お得パック6,250,￥,お得パック,320,320
69,お得パック6,250,￥,お得パック,320,320
70,ボーナスのアップグレードをアンロック,1220,￥,アップグレートボーナス,1600,1600
71,超お得パック2,3680,￥,超お得パック,4800,4800
72,4周年記念パック,1220,￥,4周年記念パック,1600,1600
73,クリスマス限定パック,3680,￥,クリスマス限定パック,4800,4800
74,勉強プラン,610,￥,勉強プラン,800,800
75,誓約パック,2440,￥,誓約パック,3200,3200
76,課題購入,610,￥,課題購入,800,800
77,クリスマス限定パック,6100,￥,クリスマス限定パック,8000,8000
78,お得パック1,6100,￥,お得パック,8000,8000
79,お得パック2,3680,￥,お得パック,4800,4800
80,お得パック3,1840,￥,お得パック,2400,2400
81,お得パック4,610,￥,お得パック,800,800
82,お得パック5,250,￥,お得パック,320,320
83,お得パック6,250,￥,お得パック,320,320
84,超お得パック1,250,￥,超お得パック,320,320
85,超お得パック2,6100,￥,超お得パック,8000,8000
86,無料購入カスタムパック,120,￥,無料購入カスタムパック,160,160
87,週間パック5,6100,￥,週間\nパック,8000,8000
88,4000ダイヤ,6100,￥,ダイヤパック,8000,8000
89,月間パック7,6100,￥,月間パック,8000,8000
90,週間パック6,6100,￥,週間パック,8000,8000
92,デイリーお得パック1,120,￥,デイリーお得パック,160,160
93,デイリーお得パック2,120,￥,デイリーお得パック,160,160
94,デイリーお得パック3,250,￥,デイリーお得パック,320,320
95,デイリーお得パック4,250,￥,デイリーお得パック,320,320
96,デイリーお得パック5,250,￥,デイリーお得パック,320,320
97,デイリーお得パック6,250,￥,デイリーお得パック,320,320
99,デイリーお得パック1,120,￥,デイリーお得パック,160,160
100,デイリーお得パック2,120,￥,デイリーお得パック,160,160
101,デイリーお得パック3,250,￥,デイリーお得パック,320,320
102,デイリーお得パック4,250,￥,デイリーお得パック,320,320
103,デイリーお得パック5,250,￥,デイリーお得パック,320,320
104,デイリーお得パック6,250,￥,デイリーお得パック,320,320
105,入学セット,1220,￥,入学セット,1600,1600
106,高級手帳,1220,￥,高級手帳,1600,1600
107,クラシック手帳2,1220,￥,クラシック手帳2,1600,1600
108,クラシック手帳1,2440,￥,クラシック手帳1,3200,3200
109,1250ダイヤパック,1840,￥,ダイヤパック,2400,2400
110,ドキドキクリスタルパック,1220,￥,ドキドキクリスタルパック,1600,1600
120,ガチャエナジーカード,1220,￥,ガチャエナジーカード,1600,1600
121,高級手帳,1220,￥,高級手帳,1600,1600
122,クラシック手帳2,1220,￥,クラシック手帳2,1600,1600
123,クラシック手帳1,2440,￥,クラシック手帳1,3200,3200
125,超お得パック1,250,￥,超お得パック,320,320
126,超お得パック2,6100,￥,超お得パック,8000,8000
127,特権パス-精霊幻境,250,￥,特権パス-精霊幻境,320,320
128,特権パス-風紀検査,250,￥,特権パス-風紀検査,320,320
129,ラムネパック,610,￥,ラムネパック,800,800
130,マジックパック1,6100,￥,マジックパック1,8000,8000
131,マジックパック2,3680,￥,マジックパック2,4800,4800
132,マジックパック3,1220,￥,マジックパック3,1600,1600
133,マジックパック4,250,￥,マジックパック4,320,320
134,マジックパック5,120,￥,マジックパック5,160,160
135,スペシャルパック1,3680,￥,スペシャルパック1,4800,4800
136,スペシャルパック2,6100,￥,スペシャルパック2,8000,8000
137,割引月間パス,250,￥,割引月間パス,320,320
138,赤ずきんのプレゼント,1220,￥,赤ずきんのプレゼント,1600,1600
139,バレンタイン限定パック1,610,￥,バレンタイン限定パック1,800,800
140,クリスのプレゼント1,610,￥,クリスのプレゼント1,800,800
141,最上階ファンド,610,￥,最上階ファンド,800,800
142,最上階ファンド2,1220,￥,最上階ファンド2,1600,1600
143,最上階ファンド3,2440,￥,最上階ファンド3,3200,3200
144,超お得衣装パック1,250,￥,超お得衣装パック,320,320
145,超お得衣装パック2,3680,￥,超お得衣装パック,4800,4800
146,超お得パック1,250,￥,超お得パック,320,320
147,超お得パック2,6100,￥,超お得パック,8000,8000
148,初心者応援パック1,120,￥,初心者応援パック1,160,160
149,初心者応援パック2,120,￥,初心者応援パック2,160,160
150,初心者応援パック3,610,￥,初心者応援パック3,800,800
151,初心者応援パック1,120,￥,初心者応援パック1,160,160
152,初心者応援パック2,250,￥,初心者応援パック2,320,320
153,初心者応援パック3,610,￥,初心者応援パック3,800,800
154,初心者応援パック1,120,￥,初心者応援パック1,160,160
155,初心者応援パック2,250,￥,初心者応援パック2,320,320
156,初心者応援パック3,1220,￥,初心者応援パック3,1600,1600
157,初心者応援パック1,120,￥,初心者応援パック1,160,160
158,初心者応援パック2,250,￥,初心者応援パック2,320,320
159,初心者応援パック3,1220,￥,初心者応援パック3,1600,1600
160,初心者応援パック1,120,￥,初心者応援パック1,160,160
161,初心者応援パック2,250,￥,初心者応援パック2,320,320
162,初心者応援パック3,1220,￥,初心者応援パック3,1600,1600
163,初心者応援パック1,120,￥,初心者応援パック1,160,160
164,初心者応援パック2,610,￥,初心者応援パック2,800,800
165,初心者応援パック3,2440,￥,初心者応援パック3,3200,3200
166,初心者応援パック1,120,￥,初心者応援パック1,160,160
167,初心者応援パック2,1220,￥,初心者応援パック2,1600,1600
168,初心者応援パック3,2440,￥,初心者応援パック3,3200,3200
177,ブラックフライデーセール1,3680,￥,ブラックフライデーセール1,4800,4800
178,ブラックフライデーセール2,6100,￥,ブラックフライデーセール2,8000,8000
179,月初めダッシュ1,610,￥,月初めダッシュ1,800,800
180,月初めダッシュ2,1840,￥,月初めダッシュ2,2400,2400
181,月初めダッシュ3,3680,￥,月初めダッシュ3,4800,4800
182,月初めダッシュ4,6100,￥,月初めダッシュ4,8000,8000
183,月初めダッシュ5,8500,￥,月初めダッシュ5,10800,10800
184,お得初心者パック,120,￥,お得初心者パック,160,160
185,漂流者補給,6100,￥,漂流者補給,8000,8000
186,新年奉納,1220,￥,新年奉納,1600,1600
187,チューリング強化＆衣装,250,￥,チューリング強化＆衣装,320,320
188,チューリング強化＆衣装,610,￥,チューリング強化＆衣装,800,800
189,魂器ヘルパーパック,2440,￥,魂器ヘルパーパック,3200,3200
190,初心者ファンド,1220,￥,初心者ファンド,1600,1600
191,初心者10連ガチャ,250,￥,初心者10連ガチャ,320,320
192,初心者10連ガチャ,610,￥,初心者10連ガチャ,800,800
193,初心者10連ガチャ,1220,￥,初心者10連ガチャ,1600,1600
194,ラッキーボーナス,2440,￥,ラッキーボーナス,3200,3200
195,初心者限定ガチャパック,610,￥,初心者限定ガチャパック,800,800
196,初心者限定ガチャパック,2440,￥,初心者限定ガチャパック,3200,3200
197,初心者限定ガチャパック,3680,￥,初心者限定ガチャパック,4800,4800
198,デイリーお得パック7,250,￥,デイリーお得パック,320,320
199,月間パック9,6100,￥,月間\nパック,8000,8000
200,週間パック5,6100,￥,週間パック,8000,8000
201,週間パック6,6100,￥,週間パック,8000,8000
202,クリスのプレゼント2,2440,￥,クリスのプレゼント2,3200,3200
203,クリスのプレゼント3,6100,￥,クリスのプレゼント3,8000,8000
204,使い魔の力パック1,250,￥,使い魔の力パック1,320,320
205,使い魔の力パック2,610,￥,使い魔の力パック2,800,800
206,使い魔の力パック3,2440,￥,使い魔の力パック3,3200,3200
207,使い魔の力パック4,3680,￥,使い魔の力パック4,4800,4800
208,使い魔の力パック5,6100,￥,使い魔の力パック5,8000,8000
209,イースターパック1,2440,￥,イースターパック1,3200,3200
210,イースターパック2,6100,￥,イースターパック2,8000,8000
211,ボトメ限定パック1,6100,￥,ボトメ限定パック1,8000,8000
212,ボトメ限定パック2,3680,￥,ボトメ限定パック2,4800,4800
213,ボトメ限定パック3,2440,￥,ボトメ限定パック3,3200,3200
214,メンバー限定パックLv10,120,￥,メンバー限定パックLv10,160,160
215,メンバー限定パックLv11,120,￥,メンバー限定パックLv11,160,160
216,メンバー限定パックLv12,120,￥,メンバー限定パックLv12,160,160
217,メンバー限定パックLv13,120,￥,メンバー限定パックLv13,160,160
218,メンバー限定パックLv14,120,￥,メンバー限定パックLv14,160,160
219,メンバー限定パックLv15,120,￥,メンバー限定パックLv15,160,160
220,メンバー限定パックLv16,120,￥,メンバー限定パックLv16,160,160
221,メンバー限定パックLv17,120,￥,メンバー限定パックLv17,160,160
222,メンバー限定パックLv18,120,￥,メンバー限定パックLv18,160,160
223,メンバー限定パックLv19,120,￥,メンバー限定パックLv19,160,160
224,メンバー限定パックLv20,120,￥,メンバー限定パックLv20,160,160
225,メンバー限定パックLv21,120,￥,メンバー限定パックLv21,160,160
226,メンバー限定パックLv22,120,￥,メンバー限定パックLv22,160,160
227,メンバー限定パックLv23,120,￥,メンバー限定パックLv23,160,160
228,メンバー限定パックLv24,120,￥,メンバー限定パックLv24,160,160
229,メンバー限定パックLv25,120,￥,メンバー限定パックLv25,160,160
230,メンバー限定パックLv26,120,￥,メンバー限定パックLv26,160,160
231,メンバー限定パックLv27,120,￥,メンバー限定パックLv27,160,160
232,メンバー限定パックLv28,120,￥,メンバー限定パックLv28,160,160
233,メンバー限定パックLv29,120,￥,メンバー限定パックLv29,160,160
234,メンバー限定パックLv30,120,￥,メンバー限定パックLv30,160,160
235,サークル限定パックLv10,3680,￥,サークル限定パックLv10,4800,4800
236,サークル限定パックLv11,3680,￥,サークル限定パックLv11,4800,4800
237,サークル限定パックLv12,3680,￥,サークル限定パックLv12,4800,4800
238,サークル限定パックLv13,3680,￥,サークル限定パックLv13,4800,4800
239,サークル限定パックLv14,3680,￥,サークル限定パックLv14,4800,4800
240,サークル限定パックLv15,3680,￥,サークル限定パックLv15,4800,4800
241,サークル限定パックLv16,3680,￥,サークル限定パックLv16,4800,4800
242,サークル限定パックLv17,3680,￥,サークル限定パックLv17,4800,4800
243,サークル限定パックLv18,3680,￥,サークル限定パックLv18,4800,4800
244,サークル限定パックLv19,3680,￥,サークル限定パックLv19,4800,4800
245,サークル限定パックLv20,3680,￥,サークル限定パックLv20,4800,4800
246,サークル限定パックLv21,3680,￥,サークル限定パックLv21,4800,4800
247,サークル限定パックLv22,3680,￥,サークル限定パックLv22,4800,4800
248,サークル限定パックLv23,3680,￥,サークル限定パックLv23,4800,4800
249,サークル限定パックLv24,3680,￥,サークル限定パックLv24,4800,4800
250,サークル限定パックLv25,3680,￥,サークル限定パックLv25,4800,4800
251,サークル限定パックLv26,3680,￥,サークル限定パックLv26,4800,4800
252,サークル限定パックLv27,3680,￥,サークル限定パックLv27,4800,4800
253,サークル限定パックLv28,3680,￥,サークル限定パックLv28,4800,4800
254,サークル限定パックLv29,3680,￥,サークル限定パックLv29,4800,4800
255,サークル限定パックLv30,3680,￥,サークル限定パックLv30,4800,4800
256,メンバー限定パックLv4,120,￥,メンバー限定パックLv4,160,160
257,メンバー限定パックLv5,120,￥,メンバー限定パックLv5,160,160
258,メンバー限定パックLv6,120,￥,メンバー限定パックLv6,160,160
259,メンバー限定パックLv7,120,￥,メンバー限定パックLv7,160,160
260,メンバー限定パックLv8,120,￥,メンバー限定パックLv8,160,160
261,メンバー限定パックLv9,120,￥,メンバー限定パックLv9,160,160
262,サークル限定パックLv4,3680,￥,サークル限定パックLv4,4800,4800
263,サークル限定パックLv5,3680,￥,サークル限定パックLv5,4800,4800
264,サークル限定パックLv6,3680,￥,サークル限定パックLv6,4800,4800
265,サークル限定パックLv7,3680,￥,サークル限定パックLv7,4800,4800
266,サークル限定パックLv8,3680,￥,サークル限定パックLv8,4800,4800
267,サークル限定パックLv9,3680,￥,サークル限定パックLv9,4800,4800
268,授業企画パック1,250,￥,授業企画パック1,320,320
269,授業企画パック2,250,￥,授業企画パック2,320,320
270,授業企画パック3,610,￥,授業企画パック3,800,800
271,授業企画パック4,1220,￥,授業企画パック4,1600,1600
275,デイリーお得パック7,250,￥,デイリーお得パック,320,320
276,魔力補給1,2440,￥,魔力補給,3200,3200
277,魔力補給2,6100,￥,魔力補給,8000,8000
278,魔力補給3,6100,￥,魔力補給,8000,8000
279,オーダーメイド1,6100,￥,オーダーメイド,8000,8000
280,オーダーメイド2,1220,￥,オーダーメイド,1600,1600
281,オーダーメイド3,610,￥,オーダーメイド,800,800
282,月間パス,610,￥,月間パス-初回限定,800,800
283,ミニ月間\nパス,120,￥,ミニ月間パス-初回限定,160,160
284,最上階ファンド4,3680,￥,最上階ファンド4,4800,4800
285,異界補給（おすすめ）,1220,￥,異界補給（おすすめ）,1600,1600
286,異界補給1,250,￥,異界補給1,320,320
287,異界補給2,2440,￥,異界補給2,3200,3200
288,異界補給3,3680,￥,異界補給3,4800,4800
289,異界補給4,6100,￥,異界補給4,8000,8000
290,異界補給5,6100,￥,異界補給5,8000,8000
293,授業企画パック1,120,￥,授業企画パック1,160,160
294,授業企画パック2,250,￥,授業企画パック2,320,320
295,授業企画パック3,610,￥,授業企画パック3,800,800
296,授業企画パック4,1220,￥,授業企画パック4,1600,1600
297,サークル限定パック,2440,￥,サークル限定パック,3200,3200
299,成長パック1,2440,￥,成長パック1,3200,3200
300,成長パック2,3680,￥,成長パック2,4800,4800
301,復帰協力パック,2440,￥,復帰協力パック,3200,3200
302,月間パス-カムバック,250,￥,月間パス-カムバック,320,320
303,毎月の課題-カムバック,120,￥,毎月の課題-カムバック,160,160
304,4周年感謝パック,610,￥,4周年感謝パック,800,800
305,4周年感謝パック,1220,￥,4周年感謝パック,1600,1600
306,サマーパック1,1220,￥,サマーパック,1600,1600
307,サマーパック2,6100,￥,サマーパック,8000,8000
308,サマーパック3,3680,￥,サマーパック,4800,4800
309,サマーパック4,1220,￥,サマーパック,1600,1600
310,サマーパック5,250,￥,サマーパック,320,320
311,サマーパック6,120,￥,サマーパック,160,160
312,アバター限定ショップパック1,250,￥,アバター限定ショップパック1,320,320
313,アバター限定ショップパック2,610,￥,アバター限定ショップパック2,800,800
314,アバター限定ショップパック3,1220,￥,アバター限定ショップパック3,1600,1600
315,アバター限定ショップパック4,3680,￥,アバター限定ショップパック4,4800,4800
316,アバター限定ショップパック5,6100,￥,アバター限定ショップパック5,8000,8000
317,赤ずきんの\nプレゼント,250,￥,赤ずきんの\nプレゼント,320,320
318,赤ずきんの\nプレゼント,1220,￥,赤ずきんの\nプレゼント,1600,1600
319,女帝のお茶会衣装ボーナスパック,1220,￥,女帝のお茶会衣装ボーナスパック,1600,1600
320,初心者10連ガチャ,1220,￥,初心者10連ガチャ,1600,1600
321,初心者\nファンド,1220,￥,初心者\nファンド,1600,1600
322,ハロウィンパック1,610,￥,ハロウィンパック1,800,800
323,ハロウィンパック2,3680,￥,ハロウィンパック2,4800,4800
324,ハロウィンパック3,6100,￥,ハロウィンパック3,8000,8000
326,祝福パック1,610,￥,祝福パック1,800,800
327,祝福パック2,2440,￥,祝福パック2,3200,3200
328,財宝補給パック1,250,￥,財宝補給パック1,320,320
329,財宝補給パック2,610,￥,財宝補給パック2,800,800
330,財宝補給パック3,2440,￥,財宝補給パック3,3200,3200
331,財宝補給パック4,3680,￥,財宝補給パック4,4800,4800
332,財宝補給パック5,6100,￥,財宝補給パック5,8000,8000
333,財宝補給パック6,6100,￥,財宝補給パック6,8000,8000
334,感謝の晩餐会1,120,￥,感謝の晩餐会1,160,160
335,感謝の晩餐会2,610,￥,感謝の晩餐会2,800,800
336,感謝の晩餐会3,3680,￥,感謝の晩餐会3,4800,4800
337,クリスマスログインパック1,120,￥,クリスマスログインパック1,160,160
338,クリスマスログインパック2,120,￥,クリスマスログインパック2,160,160
339,クリスマスログインパック3,120,￥,クリスマスログインパック3,160,160
340,クリスマスログインパック4,610,￥,クリスマスログインパック4,800,800
341,クリスマスログインパック5,120,￥,クリスマスログインパック5,160,160
342,クリスマスログインパック6,120,￥,クリスマスログインパック6,160,160
343,クリスマスログインパック7,120,￥,クリスマスログインパック7,160,160
344,クリスマスログインパック8,610,￥,クリスマスログインパック8,800,800
345,スロットお助けパック1,610,￥,スロットお助けパック1,800,800
346,ランクアップ育成計画,2440,￥,ランクアップ育成計画,3200,3200
347,スロットお助けパック2,1220,￥,スロットお助けパック2,1600,1600
348,割引月間パック1,120,￥,割引月間パック1,160,160
349,割引月間パック2,250,￥,割引月間パック2,320,320
350,割引月間パック3,1220,￥,割引月間パック3,1600,1600
351,割引月間パック4,1220,￥,割引月間パック4,1600,1600
352,割引月間パック5,2440,￥,割引月間パック5,3200,3200
353,割引月間パック7,3680,￥,割引月間パック7,4800,4800
354,割引週間パック1,250,￥,割引週間パック1,320,320
355,割引週間パック2,610,￥,割引週間パック2,800,800
356,割引週間パック3,1220,￥,割引週間パック3,1600,1600
357,割引週間パック4,2440,￥,割引週間パック4,3200,3200
358,割引週間パック5,2440,￥,割引週間パック5,3200,3200
359,割引週間パック6,3680,￥,割引週間パック6,4800,4800
360,割引月間パス,610,￥,割引月間パス,800,800
361,割引ミニ月間パス,120,￥,割引ミニ月間パス,160,160
362,割引月間パック1,120,￥,割引月間パック1,160,160
363,割引月間パック2,250,￥,割引月間パック2,320,320
364,割引月間パック3,1220,￥,割引月間パック3,1600,1600
365,割引月間パック4,1220,￥,割引月間パック4,1600,1600
366,割引月間パック5,2440,￥,割引月間パック5,3200,3200
367,割引月間パック6,2440,￥,割引月間パック6,3200,3200
