id,desc,mask_icon,icon_offset,mask_icon_h5,icon_offset_h5
1,先輩、[c][d76500]幽夢学園[-][/c]にお帰りなさい！\n\n今日は入学初日ですよ。私が学園をご案内しますので、一緒に見に行きましょう！,,,,
2,では早速、学園を案内しますね。少しずつ慣れていきましょう！,,,,
3,こっち、こっち～！\n先輩、[c][d76500]メインクエスト[-][/c]は\nこちらですよ～！,buttoncrop_2,0|0,buttoncrop_2_h5,0|-4
4,あら、ワンコが蜂に襲われていますね。\n助けに行きましょう～。,buttoncrop_26_h5,0|0,,
5,,buttoncrop_6,0|0,,
6,,buttoncrop_5,0|0,,
7,先輩、ここでは[c][d76500]ガチャ[-][/c]ができますよ！,buttoncrop_1,0|0,,
8,[c][d76500]ノーマルガチャ[-][/c]では多くの戦姫が獲得できます！\n（星1-5）\nただし、[c][d76500]ノーマルガチャコイン[-][/c]が必要です！,,,,
9,今なら無料ですよ！\n試してみましょう！,buttoncrop_4,0|0,,
10,,,,,
11,[c][d76500]プレミアムガチャ[-][/c]では、さらに[c][d76500]レア[-][/c]な戦姫が獲得できますよ！\n（星3-5）\nただし、[c][d76500]ダイヤ[-][/c]または[c][d76500]プレミアムガチャコイン[-][/c]が必要で～す。,,,,
12,あら？今回はプレミアムガチャも無料ですね！,buttoncrop_6,0|0,,
13,,,,,
14,,buttoncrop_1,0|0,,
15,よしっ、先輩は戦姫の獲得方法も分かってきたようですね。\n次は[c][d76500]戦闘[-][/c]を見てみましょう。,,,,
16,こっち、こっち～！\n先輩、[c][d76500]メインクエスト[-][/c]は\nこちらですよ～！,buttoncrop_2,0|0,buttoncrop_2_h5,0|-4
17,きゃあ！[c][d76500]戦闘[-][/c]が発生しているみたい！\n先輩、見に行ってみましょう！,buttoncrop_17,0|0,,
18,まずは、出陣する戦姫を選んでくださいね！,buttoncrop_3,0|0,,
19,,buttoncrop_3,0|0,,
20,準備OK！\nでは、始めましょう！,buttoncrop_5,0|0,,
21,戦姫たちはそれぞれ[c][d76500]学部に所属[-][/c]しています。\n各学部間には、[c][d76500]相性[-][/c]があります。\n詳しい情報は左下のボタンをタップして確認してくださ～い！,,,,
22,,friend_team_boss_crop5,0|0,,
23,,,,,
24,,,,,
25,おっ、戦姫の欠片をゲットしたようですね～！\n戦姫画面を開いて戦姫を\n[c][d76500]合成[-][/c]してみましょう！,buttoncrop_1,0|0,,
26,先輩、ここで[c][d76500]欠片の合成[-][/c]ができますよ！,buttoncrop_38,0|2,,
27,一定数の欠片を集めると戦姫を召喚できますよ！\n戦姫アイコンをタップ\nしてみてくださいね。,,,,
28,,,,,
29,,,,,
30,,,,,
31,あっ、戦姫たちをもっと強くしないと！,buttoncrop_1,0|0,,
32,は～い、この[c][d76500]学園[-][/c]ボタンをタップしてください。,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
33,先輩、[c][d76500]転校[-][/c]機能も確認しましょう！,buttoncrop_9,0|-1,,
34,戦姫を転校させると、[c][d76500]EXPドリンク[-][/c]がもらえます。これは戦姫をレベルアップさせる大事な素材なんですよ。,,,,
35,転校させたい戦姫を選択してみてください。,buttoncrop_3,0|0,,
36,,buttoncrop_19,0|0,,
37,,,,,
38,よ～し、\n早速戦姫を[c][d76500]レベルアップ[-][/c]してみましょう！,buttoncrop_1,0|0,,
39,,buttoncrop_10,0|0,,
40,EXPドリンクが溜まったら、ここをタップして戦姫をレベルアップしてくださいね。,,,,
41,わあ、もう1回レベルアップしてみて！,,,,
42,さっすが先輩！\nもう1回やってみましょう！,,,,
43,レベルアップして戦姫が強くなりました！\nはい、最後にもう1回！,,,,
44,それでは、戦姫に[c][d76500]装備[-][/c]を装着させてみましょう。,buttoncrop_11,0|0,,
45,武器ボタンをタップし、武器を一つ選んでください。,buttoncrop_12,0|0,,
46,,,,,
47,,,,,
48,わあ～、すっご～い！\n戦姫がまた強くなったみたいですね！,,,,
49,,buttoncrop_13,0|0,,
50,,buttoncrop_1,0|0,,
51,また犬がトラブルに合っているようです！助けに行きましょう～。,buttoncrop_2,0|0,buttoncrop_2_h5,0|-4
52,,buttoncrop_26_h5,0|0,,
53,,buttoncrop_6,0|0,,
54,,buttoncrop_5,0|0,,
55,まだまだ続きますよ。ここをタップすると、\n次のエリアに進めます～。,buttoncrop_20,-16|0,,
56,,,,,
57,ここでオートモードの戦利品を受け取れます！,buttoncrop_21,0|2,,
58,では、新しい戦闘を始めましょう。,buttoncrop_17,0|0,,
59,好きな戦姫のアイコンをタップして、戦姫を出陣させてみましょう！,buttoncrop_3,0|0,,
60,アイコンを[c][d76500]ドラッグ[-][/c]すれば、\n位置を交換できますよ～。,buttoncrop_22,0|-62,,
61,,buttoncrop_5,0|0,,
62,,,,,
63,わーい！新しい戦利品があるみたい！,buttoncrop_21,0|2,,
64,やった～！\nまた新しいエリアが開放されましたよ～！,buttoncrop_20,-16|0,,
65,,,,,
66,うわ～、先輩すごいです！あっ、オートモードの戦利品は忘れずに受け取ってくださいね。\nオートモードでは[c][d76500]12時間[-][/c]以上経過すると新しい戦利品がドロップしなくなりますよ！,,,,
67,[c][d76500]マイページ[-][/c]で何かあったみたいです。先輩、一緒に見に行きましょう！,buttoncrop_1,0|0,,
68,[c][d76500]入学イベント[-][/c]をタップして、[c][d76500]オンラインボーナス[-][/c]を受け取りましょう～！,buttoncrop_15,0|0,buttoncrop_14_h5,0|0
69,ここで[c][d76500]オンラインボーナス[-][/c]が受け取れますよ～。,buttoncrop_35,0|0,,
70,,buttoncrop_1,0|0,,
71,[c][d76500]限定イベント[-][/c]をタップして、毎日の[c][d76500]ログイン[-][/c]ボーナスを受け取れますよ！,buttoncrop_15,0|0,buttoncrop_15_h5,4|2
72,,buttoncrop_36,1|1,,
73,[c][d76500]マイページ[-][/c]には、\nまだまだ色んな機能がありますよ～。,buttoncrop_1,0|0,,
74,[c][d76500]売店[-][/c]に[c][d76500]何が[-][/c]あるか見てみましょう！,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
75,学園で最も賑わっている[c][d76500]商店街[-][/c]に行ってみましょう！,buttoncrop_16,0|1,,
76,商店街の[c][d76500]売店[-][/c]には、いいものがいっぱいありますよ～！,buttoncrop_30,-14|-1,,
77,わ～！[c][d76500]プレミアムガチャコイン[-][/c]が売ってます！\nラッキ～！早く購入しましょう！,buttoncrop_24,0|60,,
78,,,,,
79,,,,,
80,早速[c][d76500]コイン[-][/c]を使って\nガチャしましょう！,buttoncrop_1,0|0,,
81,[c][d76500]プレミアムガチャコイン[-][/c]でプレミアムガチャが1回できます。やってみましょう！,buttoncrop_6,0|1,,
82,,,,,
83,うわー、大変だ～！\n間に合わないー！,buttoncrop_1,0|0,,
84,先輩！犬の鳴き声が聞こえますか？\nちょっと様子を見に行きましょう。,buttoncrop_2,0|0,buttoncrop_2_h5,0|-4
85,犬を助けに行きましょう～。,buttoncrop_26_h5,0|0,,
86,,buttoncrop_6,0|0,,
87,,buttoncrop_5,0|0,,
88,,buttoncrop_17,0|0,,
89,,buttoncrop_3,0|0,,
90,,,,,
91,,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
92,,,,,
93,,,,,
94,,buttoncrop_26,0|0,buttoncrop_26_h5,0|0
95,,,,,
96,,buttoncrop_27,0|0,buttoncrop_27_h5,0|0
97,,,,,
98,,,,,
99,それでは[c][d76500]サークル[-][/c]ボタンをタップして、サークルに参加してみましょう。もちろん自分で作ることもできちゃいますよ！,,,,
100,,,,,
101,,buttoncrop_27,0|0,buttoncrop_27_h5,0|0
102,,,,,
103,,,,,
104,,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
105,,,,,
106,,,,,
107,,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
108,,,,,
109,,,,,
110,,buttoncrop_26,0|0,buttoncrop_26_h5,0|0
111,,,,,
112,,buttoncrop_27,-1|-1,buttoncrop_27_h5,0|0
113,,,,,
114,,,,,
115,,,,,
116,,buttoncrop_27,-1|-1,buttoncrop_27_h5,0|0
117,,,,,
118,,,,,
119,それでは[c][d76500]サークル[-][/c]ボタンをタップして、サークルに参加してみましょう。もちろん自分で作ることもできちゃいますよ！,,,,
120,おぉ！先輩から不思議なオーラを感じます！先輩はきっと伝説の「選ばれし者」ですね！,buttoncrop_26,0|0,,
121,でしたら、これを機に「選ばれし者」として、サークルを設立してみませんか？初回は無料ですよ！,,,,
122,おっ、戦姫の欠片をゲットしたようですね～！\n戦姫画面を開いて戦姫を\n[c][d76500]合成[-][/c]してみましょう！,buttoncrop_27,-1|-1,buttoncrop_27_h5,0|0
123,先輩、ここで[c][d76500]欠片の合成[-][/c]ができますよ！,buttoncrop_38,0|6,,
124,,,,,
125,,buttoncrop_27,0|0,buttoncrop_27_h5,0|0
126,,,,,
127,,old_school_guide_mask,0|0,,
129,先輩、ここから[c][d76500]遠足会[-][/c]に行けますよ！,buttoncrop_26,0|0,buttoncrop_26_h5,0|0
130,まずメインセンターに\n行ってみましょう！,travel_guide_1,18|32,travel_guide_1,18|32
131,キャラスロットをタップ！,,,,
132,戦姫を設定すると、該当のステータスバフを獲得します！,,,,
133,メインセンターをレベルアップして、スロットを解禁しましょう！,,,,
135,パン屋に行ってみましょう！,travel_guide_2,-3|-8,travel_guide_2,-3|-8
136,生産系の建物に戦姫を配置すると、収益が上がります！,travel_guide_3,0|0,travel_guide_3,0|0
138,パン屋をレベルアップして、\nスロットを解禁しましょう！,,,,
140,各建物は異なる素材を生産します。[c][d76500]一括受取[-][/c]をタップしましょう！,,,,
141,ここから探検に出発して、\nボーナスを手に入れましょう！,travel_guide_4,0|5,travel_guide_4,0|5
143,,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
144,,,,,
145,ここからはアバターの設定画面です～、先輩はここでアバターを確認、変更できますよ～。,,,,
146,,,,,
147,,buttoncrop_27,0|0,buttoncrop_27_h5,0|0
148,,,,,
149,,,,,
150,,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
151,,,,,
152,,,,,
153,,,,,
154,,buttoncrop_27,0|0,buttoncrop_27_h5,0|0
155,,,,,
157,,buttoncrop_37,0|0,buttoncrop_37,0|0
158,,,,,
159,,buttoncrop_26,0|0,buttoncrop_26_h5,0|0
160,,,,,
161,,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
162,課外活動を選択して、ステージに挑戦しましょう～。,,,,
163,,,,,
164,,buttoncrop_27,0|0,buttoncrop_27_h5,0|0
165,,,,,
166,ここからデフォルト編成画面に行き、新しい\nチームを設置できます！,,,,
167,,,,,
168,,buttoncrop_26,0|0,buttoncrop_26_h5,
169,,,,,
170,,buttoncrop_26,0|0,buttoncrop_26_h5,0|0
171,ここが「星空航海」の入口です！,,,,
172,,,,,
173,,buttoncrop_15,0|0,buttoncrop_15_h5,4|2
174,ここをタップして、毎月の課題を開きましょう～。,,,,
175,課外活動を選択して、ステージに挑戦しましょう～。,,,,
176,,,,,
177,,buttoncrop_27,0|0,buttoncrop_27_h5,0|0
