id,name,dialog
1,魏延,亮先輩！おはようございます！
2,諸葛亮,延ちゃん、おはよう～。
3,ドラキュラ,私こそ、この宿舎の女王よ！
4,曹操,ミカエルはどこに行った？心配しないのか？
5,ルシファー,アイツはアイツ自身の意志がある。私が心配する必要がない。
6,バニラ,あそこにいるのは、龐統さん……何を言えばいいのでしょうか……？
7,龐統,そこにいるのは、バニラか？何を話せばいいのだろう？
8,曹操,ふむ、暇そうね。なら、私とジャンケンしない？
9,張郃,ジャンケン？良いわよ。私は負けたことがないわよ！最初はグー、ジャンケン……
10,曹操,パー！
11,張郃,グー！
12,曹植,本でも読もうと思ったけど、ここにはないようね……先輩、本好きって言ってたのに、嘘なのかしら？
13,魏延1,あなたは……誰？
14,魏延2,あなたこそ誰なの！？私と同じ姿で、そ、そんなハレンチな格好をっ！
15,魏延,うーん……この宿舎、思った以上に簡素ですね。もっと暖かい布団が欲しいなぁ……
16,魏延,スノードーム？雪って見たことがないのですよ！中に入ってもいいですか？
17,ルシファー,我々の関係を引き裂くよな真似はやめてもらおうか、曹操！
18,諸葛亮,延ちゃん、最近機嫌が良さそうだな。朝は挨拶してくれたし。でも……
19,華佗,でも、彼女の義肢はまだ最適化されていない、よね？
20,華佗,私も気付いているわ。でも、心配するほどのことじゃないと思うわ。
21,諸葛亮,私の考えすぎならばいいのだが……
22,魏延,まったく、先輩ったら！宿舎に植物がまったくないじゃない！あとで文句を言ってやるんだから！
23,張飛,良い匂いだな……っ！？これ、もしかしてあの有名店の物なのか！？
24,赤蓮,お正月、ってなんだ、ニャン？
25,赤蓮,この服、キツイ、ニャン。
26,ミカエル,これは……またガブリエルの仕業ですね！今度カメラを没収してやります！
27,ルシファー,ほぅ、ミカエルのポスターか。悪くない出来だな。私のはないか？
28,バニラ,君も絵本に興味があるのですか？
29,バニラ,この絵本、ヒロインが何故か魏延さんにそっくりなのです。
30,魏延,絵本、ですか？面白そうですね！
31,シルバー,ほぅ、アイツも少しは掃除するようだな。
