id,desc
1,이번 시즌의 학신궁 미션 모두 완성
2,이벤트 기간 동안 꿈의 투영 누적 5000개 소모
3,이벤트 기간 동안 꿈의 투영 누적 15000개 소모
4,이벤트 기간 동안 꿈의 투영 누적 30000개 소모
5,이벤트 기간 동안 부적의 꽃 누적 100개 소모
6,이벤트 기간 동안 부적의 꽃 누적 200개 소모
7,이벤트 기간 동안 부적의 꽃 누적 400개 소모
8,이벤트 기간 동안 풍경 강화 누적 20회
9,이벤트 기간 동안 풍경 강화 누적 50회
10,이벤트 기간 동안 풍경 활성화 혹은 각성 1회
11,이벤트 기간 동안 비취 학 누적 30개 사용
12,이벤트 기간 동안 비취 학 누적 60개 사용
13,이벤트 기간 동안 비취 학 누적 100개 사용
14,이벤트 기간 동안 비취 학 누적 150개 사용
15,이벤트 기간 동안 황금 학 누적 25개 사용
16,이벤트 기간 동안 황금 학 누적 50개 사용
17,이벤트 기간 동안 황금 학 누적 75개 사용
18,이벤트 기간 동안 황금 학 누적 100개 사용
19,이벤트 기간 동안 황금 학 누적 200개 사용
20,이벤트 기간 동안 황금 학 누적 350개 사용
21,이벤트 기간 동안 황금 학 누적 500개 사용
