id,desc,result
1001,기름 램프를 들어서 닦는다.,"「나 드디어 자유다. 하하하하하하!」 램프 속에 파란색 기체 생물이 나타나 크게 웃으며 날아갔고, 당신의 손에는 보통 램프만 남았다."
1002,그 소리와 조건을 상의한다.,"기름 램프 안의 소리는 잠시 침묵하였으며, 그는 차라리 좀 더 기다리겠다는 표시였다. 그 후로 말을 하지 않았다."
2001,구멍에 들어갈 수 있는지 없는지 시험해 본다.,체형이 너무 커서 그만둘 수밖에 없는 게 분명해. 그러나 손을 안으로 들이밀었을 때 무언가를 찾은 것 같았다.
2002,구멍 안으로 돌멩이를 던진다.,"돌멩이가 구멍에 들어갔는데, 오랫동안 소리가 나지 않았다, 아마 이 동굴은 상상할 수 없을 정도로 깊을 것이다."
3001,완두콩을 밭에 심는다.,"완두콩은 심은 지 얼마 되지 않아, 싹이 돋아났는데 착각인지 모르겠지만 유난히 빨리 자라는 것 같아?"
3002,완두콩을 먹어 치운다.,"네가 완두콩을 그냥 한입에 먹으면 맛이 아주 평범할 거야, 아마 끓여 먹으면 맛이 더 좋아질 것이다."
4001,거들떠보지도 않는다.,"당신은 그 사과를 무시하고, 집의 다른 곳을 보며, 잠시 후에 다시 보니, 사과가 이미 없어진 것을 발견한다."
4002,사과를 먹어 치운다.,"배가 좀 쓰리다가, 얼마 지나지 않아 기절했는데...... 깨어나 보니 시간이 얼마 지났는지도 모른다."
5001,성냥을 주운다.,"성냥을 주운 후, 얼마 지나지 않아, 맨발의 소녀가 와서 성냥을 가져갔고, 감사의 표시를 하였다."
5002,성냥 한 개비에 불을 붙인다.,"네가 성냥을 켜면, 순간 마치 학원으로 돌아온 것처럼 보이지만, 성냥이 꺼지고 나서야, 이것은 사실 환각이라는 것을 알게 된다."
6001,식당의 메뉴 이름을 말해 보시오.,"어떤 요리의 이름을 말하기를 시도해 보았을 때, 대문이 천천히 열리고, 들어가 보니 동굴 속에 많은 자금이 숨겨져 있었다."
6002,의무실의 약 이름을 말해 보시오.,"많은 약명을 불러 보았지만, 대문은 줄곧 꿈쩍도 하지 않는다. 더 많은 약명을 기억하지 못해, 떠날 수밖에 없었다."
7001,뒤돌아본다.,뒤돌아보면서 아무것도 발견하지 못해서. 계속 앞으로 직진했다. 아무리 걸어도 낯익은 장면들이 계속 지나가는 것만 같았다.
7002,뒤돌아보지 않고 앞으로 직진한다.,"으스스한 바람이 계속 불었지만, 끝내 당신에게 아무런 영향을 주지 않았다."
8001,"거울아, 세상에서 가장 아름다운 사람은 누구니?",「거울을 보며 이런 질문을 하는 사람은 자신이 있을 거야.」 거울의 목소리에는 무기력함이 드러나 있다.
8002,"거울아, 어떻게 해야 여기에서 나갈 수 있겠니?","거울은 아무 반응도 없었다, 마치 평범한 거울 같았다."
9001,들어가 본다.,"이렇게 많은 사탕을 보는 것만으로도 느끼함에 진저리가 나고, 당신은 빨리 이 오두막을 떠났고, 신발 밑창은 끈적끈적한 사탕이 달라붙어 있었다."
9002,"됐어, 느끼할 정도로 달 것 같아.","달콤한 향기가 숲 속에 가득 찼고, 아주 멀리 가서야 비로소 벗어날 수 있었다."
10001,그가 연주한 곡을 자세히 듣는다.,"곡을 너무 열심히 들은 나머지, 넋을 잃어 돌에 걸려 넘어졌을 때 비로소 자신도 모르게 그 사람을 한참 따라 걸은 걸 알 수 있었다."
10002,"별 흥미가 없으니, 본론으로 들어갑시다.","당신이 먼 곳에 와 보니, 그 사람이 긴 행렬을 이끌고 가는데, 무슨 일을 하려는 것인지 모르겠다."
