id,title,desc
1,보급 투하,일반 선택 팩 1개 획득
2,맑은 하늘,화창한 날에 만물이 자란다. 랜덤으로 한 개 자원 칸의 레벨 +1(자원 칸이 최대 레벨일 경우 무효)
3,바람과 함께,"다음 배 키를 돌릴 시, 2배의 거리 전진합니다."
4,두배의 즐거움,"다음 배 키를 돌릴 시, 2번 연속 돌립니다.(배 키 한개만 사용됩니다)"
5,운세 상승,"다음에 산호 나무를 지나거나 머물 시, 두 배의 산호를 획득할 수 있습니다!"
6,작은 비,보슬비가 내림. 랜덤으로 한 개 자원 칸의 레벨 -1(자원 칸이 최저 레벨일 경우 무효)
7,파도,"파도가 휘몰아친다. 다음 전진하여 자원 칸에 머물 시, 해당 보상을 획득할 수 없게 됩니다."
8,트라이앵글,방향을 잃어 버려 다음 판에서 돌린 숫자만큼 후진하게 됩니다.(보상을 획득하거나 칸 업그레이드 불가)
9,육손의 원망,헤어진 지 며칠 된 육손이 너를 데리고 돌아갈려고 한다. 러블리는 다시 원점으로 돌아갑니다.
10,자원-크리스탈 검,이 칸에 머물 때마다 크리스탈 검을 획득할 수 있는 동시에 칸의 레벨 +1(최대 레벨 3까지)
11,자원-도시락,이 칸에 머물 때마다 도시락을 획득할 수 있는 동시에 칸의 레벨 +1(최대 레벨 3까지)
12,자원-경험치 드링크,이 칸에 머물 때마다 경험치 드링크를 획득할 수 있는 동시에 칸은 레벨 +1(최대 레벨 3까지)
13,자원-에센스 비스킷,이 칸에 머물 때마다 에센스 비스킷을 획득할 수 있는 동시에 칸의 레벨 +1(최대 레벨 3까지)
14,자원-사역마 비스킷,이 칸에 머물 때마다 사역마 비스킷을 획득할 수 있는 동시에 칸의 레벨 +1(최대 레벨 3까지)
15,자원-엘리트 소녀 조각,이 칸에 머물 때마다 엘리트 소녀 조각을 획득할 수 있는 동시에 칸의 레벨 +1(최대 레벨 3까지)
16,자원-4성 소녀 조각,이 칸에 머물 때마다 4성 소녀 조각을 획득할 수 있는 동시에 칸의 레벨 +1(최대 레벨 3까지)
17,자원-5성 소녀 조각,이 칸에 머물 때마다 5성 소녀 조각을 획득할 수 있는 동시에 칸의 레벨 +1(최대 레벨 3까지)
18,산호 나무,이 칸을 지나가거나 머물 때마다 산호를 획득할 수 있습니다. 머물 시 칸의 레벨 +1(최대 레벨 3까지)
19,배 키,이 칸에 머물 때마다 배 키 1개 획득 가능.
20,조종 키,이 칸에 머물 때마다 조종 키 1개 획득 가능.
21,소라집,소라집에 머물 때 세가지 신비한 카드가 나타납니다. 해당 카드 중 하나를 뒤집으세요~
22,소용돌이,소용돌이로 인하여 여정이 중단되었습니다. 다음 배 키를 돌렸을 때 절반 만 이동합니다.
23,진주,이 칸에 머물 때마다 진주 획득 가능.
