id,name,desc
1,공격,아군 소녀 공격력 30% 증가
2,방어,아군 소녀 받는 대미지 30% 감소
3,승진,"9성 및 이하 아군 소녀는 공격력 500000, HP 100000 증가한다. 9성 이상 아군 소녀는 공격력 15%, HP 15% 증가한다."
4,습격,"전투 시작 시, 적의 HP는 70%부터 시작한다. 전투 시작 후 3라운드 동안 아군 소녀는 대미지를 입지 않고 모든 디버프 효과를 무효화한다."
5,강력 펀치,전투 시작 시 아군 소녀는 200 에너지를 획득한다. 액티브 스킬 사용 후 상대방의 최대 HP 10%의 추가 데미지를 입힌다.
6,강철 체력,"아군 소녀가 치명타 대미지를 입었을 때, 첫 번째 치명타 대미지는 면역되고 이 효과가 발동되면 디버프 상태도 제거됩니다. 그리고 2라운드 동안 자신이 받은 대미지를 모두 무효화하고, 받은 대미지의 100%만큼 공격자에게 반사한다."
7,갑옷,모든 적의 HP 30% 증가
8,아드레날린,모든 적의 공격력 30% 증가
9,방패벽,모든 적의 방어 30% 증가
10,운석,"아군 진성, 수라 진영의 소녀 최대 HP 20% 감소"
11,안개,"아군의 모든 은신, 신위, 풍견, 담화 진영의 소녀에게 주는 대미지 15% 감소"
12,피로,"전사의 가드 20%, 마법사와 레인저의 정밀 20%, 어쌔신의 돌파력 25%, 목사 치료 효과 15% 감소시킵니다."
13,방어막,적의 치명타 저항 30% 증가(공격 받을 시 치명타 발생 확률을 낮출 수 있음)
14,유독 가스,아군 소녀 치료 효과 60% 감소
15,구급,각 라운드가 끝날 때 적의 최대 HP 15% 회복
16,에너지 드레인,전투 3 라운드 동안 아군 소녀는 액티브 스킬을 발동 할 수 없습니다.
17,재편성,전투 중 먼저 치명타를 입은 적 2명의 HP를 100% 회복한다.
18,총 공격,전투 시작 시 모든 적은 에너지를 200포인트 획득한다. 전투 시작 후 2라운드 동안 라운드 종료 시 모든 적의 에너지를 100포인트 회복시킨다.
19,봉인,전투 시작 시 2라운드 동안 랜덤으로 3명의 아군 소녀가 봉인된다(패시브 효과가 발동하지 않는다. 정화 불가). 이 효과는 2라운드마다 1회 발동한다.
20,출혈,라운드 종료 시 아군 소녀는 최대 HP의 10% 대미지를 입습니다.
21,소독약,라운드 종료 시 적의 디버프를 3가지 랜덤으로 해제합니다
22,방역복,"적은 1 라운드에서 모든 디버프를 면역하고, 처음 2 라운드에서 받는 모든 대미지를 면역합니다."
23,완충 장치,전투 시작 시 적이 받는 대미지 90% 감소한다. 라운드 종료될 때 해당 효과는 10% 감소된다.(최대 50% 감소)
24,가시,"아군 소녀가 일반 공격 또는 액티브 스킬을 사용 시, 자신은 해당 공격의 100%만큼의 대미지를 입게 된다."
25,강철판,적이 대미지를 입을 때마다 최대 HP의 10% 대미지만 입힌다.
