id,title,name,dialog,select_text
1,,,어느 조용한 밤.\n지금 학원은 아직 할로윈 분위기가 아니다.,
2,,,외로운 뱀파이어 소녀는 무작정 학원을 돌아다닌다.,
3,,드라큘라,신선한 혈액 팩도 휴식이 필요한데...\n그럼 또 지루한 밤이 되겠군...,
4,,XXX,"아! 심심하다고? \n오늘 할로윈이잖아, 꼬마 뱀파이어씨~",
5,,XXX,안타깝게도\n학원 사람들은 모두 할로윈이란 걸 모르는 것 같아.,
6,,드라큘라,"누구세요?\n제 발로 찾아온 야식인가?\n아니 그런데, 허락도 없이 나한테 말을 거네...",
7,,드라큘라,"뭐 할로윈\n어디서 들어본 적은 있는데, 별로 생각은 안 해봤네.\n그런 지루한 기념일 따위, 내 인생에서 아무런 의미가 없거든.",
8,,마녀,"나는 마녀란다, 꼬마 뱀파이어씨~\n방금 한 얘기를 들어보니, 아무래도 신선한 혈액 팩에 불만이 있는 것 같은데?",
9,,드라큘라,"당신, 내 먹이를 노리는 거야?\n꿈도 꾸지마! 게다가 이거랑 할로윈이랑 무슨 상관인데?",
10,,마녀,"오해하지마, 난 그저 너를 내 가게에 초대하고 싶었을 뿐이야~",
11,,드라큘라,가게? 별로 관심 없는데...,
12,,마녀,"잘 들어요, 꼬마 뱀파이어씨.\n이런 기념일에 꼭 무슨 의미가 있어야 하는 건 아니잖아.\n다 같이 즐거운 추억을 만드는 것이 중요한 거지.",
13,,마녀,"모처럼의 할로윈인데,\n내가 학원에서 할로윈 홍보하는 걸 도와주면,\n네 혈액 팩을 위한 선물을 하나 줄게~",
14,,드라큘라,"어, 그건 좀 괜찮은거 같네...\n그럼 한 번 해볼까나~",
15,,조조,야아~ 빨리 일어나.\n여기서 자면 안 돼!,
16,,맹획,"와, 드라큘라!\n이거 새 옷이야?\n호박 같은데, 먹어도 되는거야?",
17,,,"드라큘라가 눈을 뜬다.\n아직 저녁 같아 보이는데,\n지금까지 계속 길거리 한 가운데에서 잠을 잔 것 같다.",
18,,드라큘라,(의식을 잃기 전에 마녀와 나눈 대화가 기억나는 듯)\n나... 나 괜찮아...,
19,,조조,괜찮으면 됐어.\n어서 기숙사에 가서 쉬어.\n외박하는 건 규칙 위반이야!,
20,,마녀,"모두들,\n아름다운 밤이에요~ 해피 할로윈!",
21,,맹획,"와, 처음보는 얼굴이네.\n네 옆에 그 호박 맛있어 보이는데?",
22,,조조,너는...\n마녀 같은데.\n이렇게 늦은 시간에 밖에서 뭐하고 있니?,
23,,드라큘라,이 옷은 또 대체 뭐야?\n난 널 따라서 가게에 간 기억밖에 없는데...,
24,,마녀,"하하,\n그렇게 의심스러운 눈으로 보지마.\n자, 이건 너한테 주는 작은 보상이야~",
25,,마녀,"여러분, 간만의 할로윈인데.\n여기서 이벤트를 하나 할까해요~\n할로윈 캔디 얻기나 학원 토너먼트 같은거요~",
26,,조조,"토너먼트 이벤트?\n 음, 할로윈이라...\n왠지 토너먼트 하기 좋은 날인 듯하네.",
27,,맹획,이기면 사탕이 있나요?\n그럼 참가할래요!,
28,,마녀,"있지, 그럼 부탁하나 할게.\n 모두에게 이 이벤트가 있다고 알려주도록 해~",
29,,드라큘라,(조조와 맹획이 떠난 후)\n이게 너의 할로윈 계획이니?\n토너먼트라던가 캔디라던가 전혀 할로윈이랑 상관없잖아?,
