id,text,option1,option2,option3
12020001,다음 중 유몽학원의 학부에 속하는 것은 어느 것입니까?,신위,드레곤,별
12020002,다음 중 6개 학부에 속하지 않는 학부는 어느 것입니까?,은신,수라,풍위
12020003,전투 중 신위 소녀는 어느 학부의 소녀에게 추가 억제 효과를 발휘합니까?,풍견 학부,은신 학부,담화 학부
12020004,전투 중 어느 학부의 소녀가 신위 소녀에게 추가 억제 효과가 있습니까?,풍견 학부,은신 학부,담화 학부
12020005,아래 소녀 중 신위 학부의 소녀에 속하는 것은?,조조,여몽,제갈량
12020006,아래 소녀 중 신위 학부의 소녀에 속하는 것은?,위연,드라큘라,은월
10010007,"선배가 로그 아웃하신 후, 소녀들은 자동 모드로 아이템을 수집합니다. 자동 모드의 최대 지속 시간은 얼마인가요?",8시간,10시간,12시간
10010008,조조의 기숙사가 조금 허름한데요. 어디에서 새 가구를 구입할 수 있을까요?,자동 모드에 가구가 드롭된다.,기숙사 가구 상점에서 구입한다.,상점가 후배 카페에서 구입한다.
12020007,선배는 조조와 데이트를 할 기회가 생겼어요. 무엇을 선물해야 그녀를 기쁘게 할 수 있을까요?,검우산,여우 가면,손전등
10010010,위연이 새로운 동아리를 만들었는데 어떤 방법으로 동아리 최대 인원수를 높일 수 있을까요?,동아리 일일 출석 체크로 동아리 레벨을 제고한다.,학원 리그를 참가하여 보상을 획득한다.,자동 모드로 획득한다.
10010011,조조가 동아리 이벤트로 동아리 코인을 획득하였어요. 동아리 코인의 사용 방법은 무엇인가요?,슬롯 머신에서 사용한다.,동아리 실험실에서 직업 스킬을 업그레이드한다.,데이트 코너에서 조조에게 선물을 보낸다.
10010012,"과거 스토리에는 종종 미래로 가는 실마리가 숨어있는데, 어디서 추억을 되돌아볼 수 있을까요?",전의 메인 스토리를 스킵하면 더는 해당 스토리를 보지 못한다.,메인 스토리 화면에서 전의 스테이지를 선택하여 자동 모드로 스토리를 본다.,메뉴의 '추억'에서 확인한다.
10010013,"학원은 선배들에게 선택할 수 있는 많은 섬네일을 제공하는데, 다음 어떤 방법으로 섬네일을 수집할 수 있을까요?",전에 획득한 적이 없는 소녀를 획득하면 그 소녀의 섬네일을 획득할 수 있다.,아르바이트에서 새로운 섬네일을 획득할 수 있다.,자동 모드로 획득한다.
10010014,"학원은 선배들에게 선택할 수 있는 많은 섬네일을 제공하는데, 다음 어떤 방법으로 섬네일을 수집할 수 있을까요?",기숙사-가구 상점에서 구입한다.,스킨 상점에서 새 스킨을 구입하면 해당 스킨의 특별 섬네일을 획득할 수 있다.,친구 한 명을 추가하면 친구의 섬네일을 획득할 수 있다.
10010015,"소녀 레벨업에 사용되는 도시락이 부족할 때 많은 방법으로 도시락을 수집할 수 있는데, 다음 수단으로 도시락을 획득할 수 없는 것은?",자동 모드 드롭으로 획득. 스테이지가 높을 수록 자동 모드로 획득할 수 있는 도시락이 더 많다.,옥상 정복 보상으로 많은 도시락을 획득할 수 있다.,채팅 채널에서 친구한테 달라고 한다.
10010016,골드를 사용하여 많은 아이템을 구매할 수 있고 골드를 획득할 수 있는 방법도 많습니다. 다음 방법으로 골드를 획득할 수 없는 것은?,상점가-후배 카페에서 소녀를 골드로 교환할 수 있다.,자동 모드 드롭으로 획득. 스테이지가 높을 수록 자동 모드로 획득할 수 있는 골드가 더 많다.,매일 마이다스의 손에서 1회 무료로 골드를 수령할 수 있다. 레벨이 높을 수록 획득할 수 있는 골드가 많다.
10010017,서버 채팅 채널에서 재미있는 플레이어를 많이 만났습니다. 친구 추가 신청을 보낼 수 있습니까?,자신과 같은 동아리에 가입한 플레이어에게만 친구 추가 신청을 보낼 수 있다.,플레이어의 프로필을 클릭하여 친구 신청을 보낼 수 있다.,방법이 없다.
10010018,"일정한 소녀 조각을 수집하여 소녀를 소환할 수 있는데, 다음 중 소녀 조각 획득 수단에 속하지 않는 것은?",아르바이트 미션 중 일부 미션 보상으로 소녀 조각을 획득할 수 있다.,"30레벨 후, 일일 미션 중 소녀 조각을 획득할 수 있다.",기숙사에서 소녀와 교감하여 소녀 조각을 획득할 수 있다.
10010019,팀을 잘 조합하면 낮은 전투력으로도 높은 전투력을 이길 수 있다! 다음 중 소녀의 전투력을 파악하기 어려운 방법은 어느것입니까?,"소녀 공략에서 소녀의 수치와 특성, 또는 다른 선배의 소녀 라인업으로 테스트 플레이를 할 수 있다.",소녀의 외모로 전투력을 추측한다.,카페에서 다른 선배의 리뷰를 참고한다.
10010020,"선배님은 일부 소녀를 간판 소녀로 설정할 수 있는데, 어디에서 새로운 간판 소녀를 설정할 수 있나요?",개인 설정에서 간판 소녀를 설정할 수 있다.,메인 화면을 클릭한 후 변경을 클릭하여 간판 소녀를 설정할 수 있다.,현재 간판 소녀를 설정할 수 있는 방법이 없다.
10010021,"육손이 슬롯 머신 사용권을 받았어요? 선배님, 혹시 해당 아이템의 사용 방법을 알고 계신가요?",옥상 정복에서 통행권으로 사용할 수 있다.,슬롯 머신에서 사용할 수 있다.,캡슐 뽑기에서 사용할 수 있다.
10010022,프리미엄 캡슐 뽑기 코인을 획득할 수 있는 방법이 많고 코인으로 희귀 소녀를 획득할 수 있습니다. 다음 프리미엄 캡슐 코인 획득 방법에 속하지 않는 것은?,상점가-매점에서 프리미엄 캡슐 뽑기 코인을 구입할 수 있다.,기숙사에서 소녀와 교감하여 프리미엄 캡슐 뽑기 코인을 획득할 수 있다.,아르바이트 미션 중 일부 미션 보상으로 프리미엄 캡슐 뽑기 코인을 획득할 수 있다.
10010023,"경험치 드링크는 소녀 레벨업에 반드시 필요하는 재료인데요, 다음 방법으로 경험치 드링크를 획득할 수 없는 것은?",마이다스의 손으로 무료 획득할 수 있다.,자동 모드 드롭으로 획득. 스테이지가 높을 수록 자동 모드로 획득할 수 있는 경험치 드링크가 더 많다.,상점가-매점에서 구입할 수 있다.
10010024,요즘 조조가 친구한테서 많은 하트를 받았어요! 선배 혹시 하트의 사용 방법을 알고 계신가요?,하트를 판매하여 골드를 획득할 수 있다.,하트를 사용하여 캡슐 뽑기에서 희귀 소녀를 획득할 수 있다.(일반 캡슐 뽑기보다 5성 소녀를 획득할 수 있는 확률이 더 높다),하트는 친구 사이의 우정의 증명이니 특별한 사용 방법이 없다.
