id,title,name,dialog,select_text
1,,,찬란한 태양과 새하얀 백사장 그리고 시원한 바람과 함께 물 냄새가 났다.,
2,,,누구든지 이 풍경을 본다면 마음이 뛸 것이다…… 나를 제외하고는……,
3,,,왜라고 하면 지금의 내 모습을 보면 알 것이다……,
4,,,"얼굴이 이미 햇볕에 타서 새빨개졌고 눈을 감아도 피할 수 없는 눈부신 햇살. 뺨에 흘러내린 물방울은 과연 땀일까, 아니면 눈물일까……",
5,,,당연히 햇빛이 안드는 서늘한 곳으로 가면 되죠.,
6,,,……그럴 수 있었다면 벌써 그랬겠지.,
7,,,"그리고 지금 내 옆에 몇 센티미터 정도 되는 게가 나타났는데, 기분 탓인지 왠지 눈이 마주친 것 같은 느낌적인 느낌.",
8,,,무의식적으로 손을 흔들려고 하지만 손을 움직일 수가 없었다.,
9,,,"맞아…… 지금의 나는 목 밑이 전부 모래에 묻혀 있고, 머리만 밖에 있는 상태니까.",
10,,,"게는 집게를 휘두르고 가시 돋친 다리를 움직이며, 땅에 있던 사진 한 장을 짓밟고 나한테 다가왔다……",
11,,,고작 몇 센티미터밖에 안되는 작은 생물인데 지금의 나에게는 거대한 괴물에게 당하고 있는 것 같은 절망감이 들었다.,
12,,,도대체 어쩌다 이렇게……,
13,,,——여름이 왔다.,
14,,,날이 갈수록 더워지고 있는 가운데 학생들은 공부와 훈련에 열중하고 있었다. 모두의 기운을 북돋우기 위해 그리고 몸과 마음에 휴식을 주기 위해서——,
15,,,학생회에서 바다 여행을 기획했습니다!,
16,,이사우,야곱 여기 봐! 바다야!,
17,,야곱,바…… 바다라니. 처음이야.,
18,,하후돈,"하하하, 처음 봤을 때 나도 놀랐어. 내가 아는 그 어떤 초원보다도 훨씬 넓네!",
19,,하후돈,기술부에서 물 위에 뜨는 놀이기구를 개발한 모양이던데…… 빌려올 걸……,
20,,*,"재미있을 것 같지만, 기술부가 만든 것이라고 하니까, 조금 불안하네……",
21,,*,근데 우리보다 먼저 와있는 사람도 있구나. 가게까지 있고……,
22,,하후돈,"이것도 학생회의 기획 중 하나야. 가게도 이런 물건도 학생회가 준비해 준 거고, 난 그냥 도우미일 뿐이야.",
23,,초선,"자자, 모두들 옷 먼저 갈아입고 와~ 바다에 왔으면 바다에 맞는 의상으로 갈아입어야지.",
24,,은월,"탈의실은 저쪽이야, 모두 같이 가자.",
25,,바닐라,"음, 누군가가 엿보는 걸 막기 위해 간단하게 결계를 설치할게요!",
26,,*,엿보기 같은 건 안 해!,
27,,*,"(뭐, 모두의 수영복 차림은 기대하고 있습니다만……)",
28,,*,(응…… 일단 주변을 돌아보자.),
29,,*,아…… 점까지 보는건가?,
30,,사마소,선배…… 점 좀 봐볼까요?,
31,,*,"아, 사마소…… 너도 왔었구나. 근데 그거 크리스탈이 아니라 비치볼 아냐……?",
32,,사마소,신경쓰지 마세요. 투명한 동그란 것만 있으면 점을 칠 수는 있어요.,
33,,*,괜찮다고?,
34,,사마소,그럼 시작한다……,
35,,,빵!,
36,,사마소,......,
37,,*,......,
38,,,폭발음과 함께 비치볼이 터졌다.,
