id,title,name,dialog,select_text
1,물건 레이스,바닐라,"스타터 권총, 휘슬 오케이. 좋아, 준비 완료!",
2,,바닐라,"그럼, 첫 번째 종목은… 물건 레이스!",
3,,바닐라,"좋아, 바닐라! 역사에 이름을 남기는 심판이 되는거야!",
4,,바닐라,여러분 이쪽을 보세요~ 이제 제가 물건 레이스 관련 룰을 설명할게요~,
5,,바닐라,"먼저, 참가 선수는 번호표 순서대로 배지 한 개를 추첨합니다. 배지에 찍힌 이미지가 여러분들이 구해와야할 물건입니다.",
6,,바닐라,지정된 물건을 가지고 골라인에 들어온 시간에 따라 성적이 결정됩니다.,
7,,여몽,"선배, 어떤 물건이 있는지 알려주실래요?",
8,,바닐라,안 돼요~ 딱 한 가지 말할 수 있는 건 빌릴 수 있는 종류가 굉장히 많다는 것 정도일까요~,
9,,바닐라,"각오해 두지 않으면, 나중에 허둥지둥 할 거예요~",
10,,여몽,엣! 바닐라 선배가 그런 말을 하다니...... 왠지 위험해 보이는 기분이......,
11,,위연,그렇군요. 기합을 넣고 열심히 하지 않으면 안되겠죠!,
12,,바닐라,"그럼 여러분 먼저 줄을 서서 배지를 추첨해가세요. 모두들 배지를 추첨했다면, 2분 동안의 준비 시간이 주어집니다.",
13,,여몽,뭐! 이건......! 신이 나를 버렸어......,
14,,,여몽은 배지를 뽑은 뒤 한숨을 땅이 꺼져라 쉬었다.,
15,,위연,"여몽, 왜 그래?",
16,,여몽,"나…… 그만두어야 할 것 같아...... 위연, 행운을 빌어......",
17,,초선,여몽아 진짜 럭키다~ 꽤 간단한 거 뽑았네!,
18,,여몽,선생님 잘 보세요~ 유비 선배님이 애용하시는 쌍검인데요? 이게 대체 뭐가 행운인가요!,
19,,여몽,"유비 선배의 평소의 모습을 떠올리면... 아, 다리가 떨린다....",
20,,초선,"유비가 평소에 일하는 태도는 매우 엄격해도, 이 쌍검은… 존재하는 물건인 걸.",
