id,title,text
1,무료 다이아,토너먼트|아르바이트 미션 완료|일일 미션 완료|플레이어 레벨업|업적 달성
2,골드 획득,자동 모드 드롭|골드 퀴즈|마이다스의 손|옥상 정복 드롭|일일 미션 완료|슬롯 머신 추첨|교외 실습 참여
3,소녀 조각 획득,자동 모드 드롭|소녀 퀴즈|아르바이트 미션 완료|옥상 정복 지정 층수 드롭|소녀 상점 구매|슬롯 머신 추첨|매점 구매|신입생 모집
4,경험치 드링크 획득,자동 모드|경험치 퀴즈|일일 미션 완료|슬롯 머신|매점 구매
5,도시락 획득,자동 모드 드롭|옥상 정복 드롭|경험치 퀴즈|슬롯 머신 추첨(레벨 60 이전)|매점 구매|소녀 전학
6,장비 획득,자동 모드 드롭|옥상 정복 드롭|슬롯 머신 사용
7,크리스탈 검 획득,자동 모드(5-3 이상)|슬롯 머신|교외 실습 참여
8,혼기 획득,자동 모드(9-9 이상)|슬롯 머신
9,도장 획득,이벤트 아이템 교환으로 획득|6-7성 아르바이트 미션으로 확률 획득|페스티벌 선물&이벤트 팩|매점 판매
10,소녀 강화,소녀 업그레이드&각성|소녀 졸업|소녀 소환
11,장비 강화,"장비 합성|세트 수집, 장비 특성 활성화"
