id,artifact_name,artifact_desc
6206,엔젤 지팡이,전사 적에 대해 대미지를 올릴 수 있는 혼기로 전사형 소녀와 전투 시 장착해 대미지를 높일 수 있다.
6207,불꽃 깃털,어쌔신 적에 대해 대미지를 올릴 수 있는 혼기로 어쌔신형 소녀와 전투 시 장착해 대미지을 높일 수 있다.
6208,악마의 칼날,레인저 적에 대해 대미지를 올릴 수 있는 혼기로 레인저형 소녀와 전투 시 장착해 대미지를 높일 수 있다.
6209,천둥 룬,법사 적에 대해 대미지를 올릴 수 있는 혼기로 법사형 소녀와 전투 시 장착해 대미지를 높일 수 있다.
6210,여포의 용맹,목사 적에 대해 대미지를 올릴 수 있는 혼기로 목사형 소녀와 전투 시 장착해 대미지를 높일 수 있다.
6211,레이스 스타킹,속도를 증가시켜 자신에게 유리한 공격 순위를 차지할 수 있다.\nHP를 증가시켜 생존력을 강화한다.
6212,벚꽃 가지,공격력과 정밀을 높여 대미지를 강화할 수 있다.
6213,무도회 가면,대미지 감소와 HP를 높여 생존력을 강화할 수 있다.
6214,포커 여왕,전사형 소녀 상대 시 공격력 및 가하는 대미지를 올릴 수 있는 혼기.\n은신 학부 소녀 장착 시 추가 특성으로 돌파력이 증가하기 때문에 화력을 더욱 강화할 수 있다.
6215,눈의 정령의 도끼,어쌔신형 소녀 상대 시 공격력 및 가하는 대미지를 올릴 수 있는 혼기.\n은신 학부 소녀 장착 시 추가 특성으로 HP가 증가하기 때문에 생존력을 강화할 수 있다.
6216,크리스마스 트리,레인저형 소녀 상대시 공격력 및 가하는 대미지를 올릴 수 있는 혼기.\n은신 학부 소녀 장착 시 추가 특성으로 돌파력이 증가하기 때문에 화력을 더욱 강화할 수 있다.
6217,뇌신의 마음,법사형 소녀 상대 시 공격력 및 적에게 가하는 대미지를 올릴 수 있는 혼기.\n신위 학부 소녀 장착 시 추가 특성으로 HP가 대폭 증가하기 때문에 생존력이 크게 상승한다.
6218,슈퍼 약제,목사형 소녀 상대 시 공격력 및 가하는 대미지를 올릴 수 있는 혼기.\n신위 학부 소녀 장착 시 추가 특성으로 공격력이 대폭 증가한다.
6219,혼석 펜던트,목사형 소녀 상대 시 공격력 및 가하는 대미지를 올릴 수 있는 혼기.\n신위 학부 소녀가 장착 시 추가 특성으로 스킬 대미지가 증가한다.
6220,가브리엘의 노래,전사형 소녀 상대 시 공격력 및 가하는 대미지를 올릴 수 있는 혼기.\n풍견 학부 소녀 장착 시 추가 특성으로 HP가 증가하여 생존력을 강화할 수 있다.
6221,악마의 편지,어쌔신형 소녀 상대시 공격력 및 적에게 가하는 대미지를 올릴 수 있는 혼기.\n풍견 학부의 소녀 장착 시 추가 특성으로 공격력이 증가한다.
6222,운명의 십자,"레인저형 소녀 상대 시 공격력 및 적에게 가하는 대미지를 올릴 수 있는 혼기.\n풍견 학부 소녀 장착 시, 추가 특성으로 치명타가 증가하기 때문에 화력을 더욱 강화할 수 있다."
6223,정령의 왕관,법사형 소녀 상대 시 공격력 및 적에게 가하는 대미지를 올릴 수 있는 혼기.\n담화 학부 소녀 장착 시 추가 특성으로 치명타가 증가한다.
6224,고양이 후드,대미지 감소와 HP를 높여 생존력을 강화할 수 있다.\n담화 학부 소녀 장착 시 추가 특성으로 HP가 더욱 증가하기 때문에 생존력이 대폭 강화된다.
