id,text,comment
8032,이 이름은 이미 사용중 입니다!,
1101,부적절한 글자가 있습니다,
9001,서버에 연결할 수 없습니다. 다시 시도해 주세요!,
6001,,
6003,상대방의 친구 목록이 가득 찼습니다.,
6004,플레이어가 존재하지 않습니다.,
6005,,
6006,이미 친구인 플레이어 입니다.,
6007,플레이어가 현재 서버에 아직 캐릭터를 만들지 않았습니다.,
6008,토너먼트에 아직 팀이 없습니다.,
6101,플레이어가 이미 동아리에 가입되어 있습니다.,
6102,이미 사용중인 동아리 이름입니다.,
6103,동아리가 존재하지 않습니다.,
6010,부적절한 글자가 있습니다.,
9002,이 계정은 다른 곳에서 로그인 되었습니다!,
9003,이 계정은 로그인이 금지되었습니다!,
6011,이미 사용중인 팀 이름입니다!,
6012,팀이 존재하지 않습니다.,
6013,해당 팀은 빈 자리가 없습니다.,
6014,이미 팀에 합류한 플레이어 입니다.,
6015,보스가 이미 사라졌어요!,
6016,매칭 가능한 동아리가 없습니다.,
6017,해당 동아리에 이미 가입했습니다.,
6018,다른 동아리에 진영을 설치하고 있습니다.,
6019,동아리전 신청 인원이 초과되었습니다.,
6020,댓글을 달 수 없습니다.,
6021,채팅이 금지되었습니다.,
6022,자동 모드의 팀 전투력이 부족합니다.,
6023,코드가 존재하지 않습니다. 다시 확인해 주세요.,
6024,해당 코드는 이미 사용되었습니다.,
6025,해당 계정은 이미 코드를 사용했습니다.,
6026,팀이 해체되었습니다.,
6027,퇴치 기간 동안은 팀에서 탈퇴할 수 없습니다.,
6028,퇴치 기간 동안은 초대할 수 없습니다.,
6029,퇴치 기간 동안은 멤버를 강퇴시킬 수 없습니다.,
6030,이번 주 팀원 강퇴 횟수가 최대 한도에 도달하였습니다. 추방할 수 없습니다.,
6031,이번 주 팀 가입 횟수가 최대 한도에 도달하였습니다.,
6032,해당 플레이어는 이미 이번 주 최대 팀 가입 횟수에 도달하였습니다.,
6033,해당 팀의 인원이 최대치에 도달했습니다.,
6034,해당 플레이어는 이미 팀에 소속되어 있습니다.,
6035,퇴치 기간 동안은 새로운 멤버가 가입할 수 없습니다.,
6036,해당 플레이어는 잠시 동안 팀에 가입할 수 없습니다.,
6037,비인가 프로그램 사용이 발견되었습니다. 운영팀으로 문의하시기 바랍니다.,
6038,가구 세트 저장 실패,
6039,소대 퇴치 멤버 때문에 삭제할 수 없습니다.,
6040,동아리 탈퇴 후 24시간 동안은 동아리 보스전에 도전할 수 없습니다.,
6041,단 시간 내에 해당 플레이어에게 중복으로 도전할 수 없습니다.,
6042,먼저 캡슐 뽑기 에너지 카드를 구입하세요!,
6043,"해당 플레이어에 대한 신청이 이미 최대치를 도달하여, 신청할 수 없습니다.",
6044,해당 플레이어는 이미 파트너가 있어 신청할 수 없습니다.,
6045,해당 플레이어는 이벤트에 참여하지 않아 신청할 수 없습니다.,
6046,플레이어 비활성화 상태이므로 신청할 수 없습니다.,
6047,해당 챌린지 이미 완성했습니다!,
6048,계정 생성 시간이 교환 코드의 사용 조건을 충족하지 않습니다.,
6049,라인업 저장 실패,
6050,현재 정산 중이며 도전할 수 없습니다!,
6051,스테이지 1-11 통과해야 해당 교환코드를 사용하실 수 있습니다.,
6052,금일 도전 횟수가 한도를 초과했습니다.,
6053,보스 도전 횟수가 한도를 초과했습니다.,
6054,전투력은 해당 동아리의 기준에 맞지 않습니다!,
6055,해당 플레이어의 친구 추가 신청의 수량이 상한에 도달했습니다. 신청할 수 없습니다.,
6056,10성 소녀를 반드시 있어야 합니다.,
