id,name,charge,currency,show_name,charge_ios,charge_ios_new
1,월간\n패스,19000,₩,월간\n패스,23000,23000
2,미니 월간\n패스,5900,₩,미니 월간\n패스,7500,7500
3,주간 패스,1200,₩,주간 패스,1500,1500
4,250 다이아 팩,5900,₩,다이아 팩,7500,7500
5,500 다이아 팩,12000,₩,다이아 팩,15000,15000
6,1000 다이아 팩,25000,₩,다이아 팩,30000,30000
7,2500 다이아 팩,65000,₩,다이아 팩,79000,79000
8,5000 다이아 팩,119000,₩,다이아 팩,149000,149000
9,레벨 24 팩,2500,₩,레벨 24 팩,3000,3000
10,레벨 32 팩,5900,₩,레벨 32 팩,7500,7500
11,레벨 48 팩,12000,₩,레벨 48 팩,15000,15000
12,레벨 58 팩,37000,₩,레벨 58 팩,45000,45000
13,레벨 78 팩,65000,₩,레벨 78 팩,79000,79000
14,4성 소녀 소환 팩,5900,₩,4성 소녀 소환 팩,7500,7500
15,5성 소녀 소환 팩,12000,₩,5성 소녀 소환 팩,15000,15000
16,월간 팩 1,5900,₩,월간 팩,7500,7500
17,월간 팩 2,12000,₩,월간 팩,15000,15000
18,월간 팩 3,37000,₩,월간 팩,45000,45000
19,월간 팩 4,65000,₩,월간 팩,79000,79000
20,월간 팩 5,89000,₩,월간 팩,109000,109000
89,월간 팩 7,119000,₩,월간 팩,149000,149000
22,주간 팩,12000,₩,주간 팩,15000,15000
23,주간 팩 2,25000,₩,주간 팩,30000,30000
24,주간 팩 3,65000,₩,주간 팩,79000,79000
25,주간 팩 4,89000,₩,주간 팩,109000,109000
26,슈퍼 팩,119000,₩,슈퍼 팩,149000,149000
27,슈퍼 팩 2,89000,₩,슈퍼 팩,109000,109000
28,슈퍼 팩 3,37000,₩,슈퍼 팩,45000,45000
29,슈퍼 팩 4,12000,₩,슈퍼 팩,15000,15000
30,슈퍼 팩 5,5900,₩,슈퍼 팩,7500,7500
31,슈퍼 팩 1,119000,₩,슈퍼 팩,149000,149000
32,슈퍼 팩 2,89000,₩,슈퍼 팩,109000,109000
33,슈퍼 팩 3,37000,₩,슈퍼 팩,45000,45000
34,슈퍼 팩 4,25000,₩,슈퍼 팩,30000,30000
36,슈퍼 팩 5,5900,₩,슈퍼 팩,7500,7500
69,슈퍼 팩 6,5900,₩,슈퍼 팩,7500,7500
35,무료 구입 커스텀 팩,2500,₩,무료 구입 커스텀 팩,3000,3000
37,기간 한정\n5성 특가 팩,1200,₩,기간 한정\n5성 특가 팩,1500,1500
38,구독,1200,₩,구독,1200,1200
39,설날 길운 패스,12000,₩,설날 길운 패스,15000,15000
40,주간 구독,1200,₩,주간 구독,1200,1200
41,월간 구독,4900,₩,월간 구독,4900,4900
42,3개월 구독,12500,₩,3개월 구독,12500,12500
43,월간 팩 1,5900,₩,월간 팩,7500,7500
44,월간 팩 2,12000,₩,월간 팩,15000,15000
45,월간 팩 3,37000,₩,월간 팩,45000,45000
46,월간 팩 4,65000,₩,월간 팩,79000,79000
47,월간 팩 5,89000,₩,월간 팩,109000,109000
48,월간 팩 6,99000,₩,월간 팩,119000,119000
49,주간 팩1,12000,₩,주간 팩,15000,15000
50,주간 팩 2,25000,₩,주간 팩,30000,30000
51,주간 팩 3,65000,₩,주간 팩,79000,79000
52,주간 팩 4,89000,₩,주간 팩,109000,109000
