id,desc
1,"선배님, 카오스 군단이 학원에 나타났어요! 현재 우리 전투력이 부족하여, 지원이 필요합니다. 어서 친구들과 함께 팀을 만들어 카오스 군단을 상대하세요!"
2,이곳에서 친구의 정보 확인을 통해 함께 전투에 나설 팀원을 고를 수 있습니다~
3,이곳을 클릭하여 친구의 팀을 확인하여 다른 친구의 팀에 참가할 수 있습니다.
4,학원의 지도입니다. 카오스 군단이 이미 나타났네요. 아이콘을 클릭하여 전투 준비를 합시다!
5,"그리고 카오스 군단의 출현 기간 동안은 친구의 초대나 다른 팀에 가입을 할 수 없게 되니까, 카오스 군단이 출현하지 않은 동안에 빨리 친구와 팀을 짜 주세요!"
6,이곳에 남은 퇴치 시간이 표시되어 있습니다.
7,이곳에서 카오스 리더의 퇴치 보상을 확인할 수 있습니다.
8,이곳에서 자세한 룰을 확인할 수 있습니다. 유몽학원의 평화는 선배에게 맡길게요!
9,"선배님, 카오스 군단이 학원에 나타났어요! 현재 우리 전투력이 부족하여, 지원이 필요합니다. 어서 친구들과 함께 팀을 만들어 카오스 군단을 상대하세요!"
10,이곳에서 친구의 정보 확인을 통해 함께 전투에 나설 팀원을 고를 수 있습니다~
11,이곳을 클릭하여 친구의 팀을 확인하여 다른 친구의 팀에 참가할 수 있습니다.
12,학원의 지도입니다. 아직 카오스 군단이 나타나지 않은 것 같습니다.
13,"카오스 군단의 출현 기간 동안 친구 초대 및 다른  팀 가입은 불가능하므로, 카오스 군단을 물리친 방학기간동안 빨리 친구와 팀을 이루세요!"
14,이곳에 다음 카오스 군단의 습격 시간이 표시되어 있습니다.
15,이곳에서 카오스 리더의 퇴치 보상을 확인할 수 있습니다.
16,이곳에서 자세한 룰을 확인할 수 있습니다. 유몽학원의 평화는 선배에게 맡길게요!
