id,name,desc,desc1
1,은신,[c][0195c5]은신 학부[-][/c]의 소녀를 6명 출전 시 강력한 버프를 얻을 수 있습니다.,
2,신위,[c][0069cc]신위 학부[-][/c]의 소녀 6명 출전 시 강력한 버프를 얻을 수 있습니다.,
3,풍견,[c][cc0011]풍견 학부[-][/c]의 소녀 6명 출전 시 강력한 버프를 얻을 수 있습니다.,
4,담화,[c][369900]담화 학부[-][/c]의 소녀 6명 출전 시 강력한 버프를 얻을 수 있습니다.,
5,수라,[c][9227cc]수라 학부[-][/c]의 소녀 6명 출전 시 강력한 버프를 얻을 수 있습니다.,
6,진성,[c][d76500]진성 학부[-][/c]의 소녀 6명 출전 시 강력한 버프를 얻을 수 있습니다.,
7,무지개,[c][000000]각각 다른 학부[-][/c]의 소녀 6명 출전 시 강력한 버프를 얻을 수 있습니다.,
8,천지,[c][9227cc]수라 학부[-][/c]의 소녀 3명과 [c][d76500]진성 학부[-][/c]의 소녀 3명 출전 시 강력한 버프를 얻을 수 있습니다.,
9,어둠,"[c][9227cc]수라 학부[-][/c]의 소녀 2명, [c][0195c5]은신 학부[-][/c]의 소녀 2명과 [c][cc0011]풍견 학부[-][/c]의 소녀 2명 출전 시 강력한 버프를 얻을 수 있습니다.",
10,광명,"[c][d76500]진성 학부[-][/c]의 소녀 2명, [c][0069cc]신위 학부[-][/c]의 소녀 2명과 [c][369900]담화 학부[-][/c]의 소녀 2명 출전 시 강력한 버프를 얻을 수 있습니다.",
11,균형,[c][0069cc]신위 학부[-][/c]의 소녀 3명과 [c][369900]담화 학부[-][/c]의 소녀 3명 출전 시 강력한 버프를 얻을 수 있습니다.,
12,요괴,[c][0195c5]은신 학부[-][/c]의 소녀 3명과 [c][cc0011]풍견 학부[-][/c]의 소녀 3명 출전 시 강력한 버프를 얻을 수 있습니다.,
13,전염,[c][cc0011]풍견 학부[-][/c]의 소녀 3명과 [c][369900]담화 학부[-][/c]의 소녀 3명 출전 시 강력한 버프를 얻을 수 있습니다.,
14,변이,[c][0069cc]신위 학부[-][/c]의 소녀 3명과 [c][cc0011]풍견 학부[-][/c]의 소녀 3명 출전 시 강력한 버프를 얻을 수 있습니다.,
15,공생,[c][0195c5]은신 학부[-][/c]의 소녀 3명과 [c][369900]담화 학부[-][/c]의 소녀 3명 출전 시 강력한 버프를 얻을 수 있습니다.,
16,대립,[c][0195c5]은신 학부[-][/c]의 소녀 3명과 [c][0069cc]신위 학부[-][/c]의 소녀 3명 출전 시 강력한 버프를 얻을 수 있습니다.,
17,카오스,"3명의 [c][d76500]진성[-][/c] 혹은 [c][9227cc]수라[-][/c] 학부의 소녀와 [c][0195c5]은신[-][/c], [c][0069cc]신위[-][/c], [c][cc0011]풍견[-][/c] 혹은 [c][369900]담화[-][/c] 학부 중 각 1명씩 총 3명의 소녀를 출전시킬 경우 강력한 버프를 획득할 수 있습니다.",
18,위장,"3명의 [c][0195c5]은신 학부[-][/c], 2명의 [c][369900]담화 학부[-][/c]와 1명의 [c][cc0011]풍견 학부[-][/c]의 소녀를 출전시킬 경우 강력한 버프를 획득할 수 있습니다.",
19,강인,"3명의 [c][0069cc]신위 학부[-][/c], 2명의 [c][cc0011]풍견 학부[-][/c]와 1명의 [c][369900]담화 학부[-][/c]의 소녀를 출전시킬 경우 강력한 버프를 획득할 수 있습니다.",
20,합성,"3명의 [c][cc0011]풍견 학부[-][/c], 2명의 [c][0195c5]은신 학부[-][/c]와 1명의 [c][0069cc]신위 학부[-][/c]의 소녀를 출전시킬 경우 강력한 버프를 획득할 수 있습니다.",
21,조화,"3명의 [c][369900]담화 학부[-][/c], 2명의 [c][0069cc]신위 학부[-][/c]와 1명의 [c][0195c5]은신 학부[-][/c]의 소녀를 출전시킬 경우 강력한 버프를 획득할 수 있습니다.",
22,방해,"2명의 [c][369900]담화 학부[-][/c], 2명의 [c][0195c5]은신 학부[-][/c]와 2명의 [c][0069cc]신위 학부[-][/c]의 소녀를 출전시킬 경우 강력한 버프를 획득할 수 있습니다.",
23,응집,"2명의 [c][0195c5]은신 학부[-][/c], 2명의 [c][0069cc]신위 학부[-][/c]와 2명의 [c][cc0011]풍견 학부[-][/c]의 소녀를 출전시킬 경우 강력한 버프를 획득할 수 있습니다.",
24,진화,"2명의 [c][0069cc]신위 학부[-][/c], 2명의 [c][cc0011]풍견 학부[-][/c]와 2명의 [c][369900]담화 학부[-][/c]의 소녀를 출전시킬 경우 강력한 버프를 획득할 수 있습니다.",
25,신생,"2명의 [c][cc0011]풍견 학부[-][/c], 2명의 [c][369900]담화 학부[-][/c]와 2명의 [c][0195c5]은신 학부[-][/c]의 소녀를 출전시킬 경우 강력한 버프를 획득할 수 있습니다.",
26,천이,출전할 [c][000000]천이 학부[-][/c]의 소녀 수에 따라 강력한 버프를 얻을 수 있습니다.,{1}명 출전
