id,name
1101,전사 HP
1201,전사 공격력
1301,전사 치명타
1401,전사 가드
1501,전사 스킬 대미지
1601,전사 속도
1701,전사 체질
1801,전사 인내력
2101,법사 HP
2201,법사 공격력
2301,법사 치명타
2401,법사 정밀
2501,법사 스킬 대미지
2601,법사 속도
2701,법사 체질
2801,법사 인내력
3101,레인저 HP
3201,레인저 공격력
3301,레인저 가드
3401,레인저 정밀
3501,레인저 스킬 대미지
3601,레인저 속도
3701,레인저 체질
3801,레인저 인내력
4101,어쌔신 HP
4201,어쌔신 치명타 대미지
4301,어쌔신 치명타
4401,어쌔신 돌파력
4501,어쌔신 스킬 대미지
4601,어쌔신 속도
4701,어쌔신 체질
4801,어쌔신 인내력
5101,목사 체력
5201,목사 가드
5301,목사 치명타
5401,목사 속도
5501,목사 스킬 대미지
5601,목사 속도
5701,목사 체질
5801,목사 인내력
10101,법사에게 대미지 증가
10201,레인저에게 대미지 증가
10301,어쌔신에게 대미지 증가
10401,목사에게 대미지 증가
10501,받은 법사 대미지 감소
10601,받은 레인저 대미지 감소
10701,받은 어쌔신 대미지 감소
10801,받은 목사 대미지 감소
11101,전사에게 대미지 증가
11201,레인저에게 대미지 증가
11301,어쌔신에게 대미지 증가
11401,목사에게 대미지 증가
11501,받은 전사 대미지 감소
11601,받은 레인저 대미지 감소
11701,받은 어쌔신 대미지 감소
11801,받은 목사 대미지 감소
12101,전사에게 대미지 증가
12201,법사에게 대미지 증가
12301,어쌔신에게 대미지 증가
12401,목사에게 대미지 증가
12501,받은 전사 대미지 감소
12601,받은 법사 대미지 감소
12701,받은 어쌔신 대미지 감소
12801,받은 목사 대미지 감소
13101,전사에게 대미지 증가
13201,법사에게 대미지 증가
13301,레인저에게 대미지 증가
13401,목사에게 대미지 증가
13501,받은 전사 대미지 감소
13601,받은 법사 대미지 감소
13701,받은 레인저 대미지 감소
13801,받은 목사 대미지 감소
14101,전사에게 대미지 증가
14201,법사에게 대미지 증가
14301,레인저에게 대미지 증가
14401,어쌔신에게 대미지 증가
14501,받은 전사 대미지 감소
14601,받은 법사 대미지 감소
14701,받은 레인저 대미지 감소
14801,받은 어쌔신 대미지 감소
