id,name,dialog
1,위연,제갈량 선배! 좋은 아침입니다~
2,제갈량,위연~ 안녕~
3,드라큘라,"아무도 없으니, 내가 이 기숙사의 왕이다!"
4,조조,미카엘은 어디갔지? 걱정도 안되는거야?
5,루시퍼,"자기가 알아서 하겠지, 걱정할 필요 없어."
6,바닐라,"방통이 저기 있는데, 뭐라고 말해야 할까?"
7,방통,바닐라 선배가 바로 저기 있는데 뭐라고 말해야 할까?
8,조조,"엄청 심심한거 같은데, 가위바위보라도 할래!"
9,장합,"가위바위보? 좋은 생각이야, 난 절대 안질거니까! 가위, 바위, 보!"
10,조조,보!
11,장합,주먹!
12,조식,책이나 한권 찾아서 읽으려고 했는데 아무것도 없네... 설마 선배가 책읽기를 좋아한다는 건 설정인가?
13,위연1,누구세요?
14,위연2,"너야말로 누구야? 나랑 똑같이 생겼잖아, 근데 왜 이렇게 시원하게 입었어!"
15,위연,"아이참, 이 기숙사 너무 허름해, 좀 따뜻한 이불 없나……"
16,위연,크리스탈 공? 난 아직 눈 오는걸 본 적이 없는데…… 봐도 될까?
17,루시퍼,"조조, 우리 사이 이간질 시키지마!"
18,제갈량,"위연 요즘 기분이 좋은가봐, 아침에 안부도 전하고 말이야~ 근데……"
19,화타,근데 기계 팔 상태는 아직 최고 상태로 조정되지 않았지?
20,화타,나도 봤어. 너무 걱정 하지마. 내 생각에 큰 문제는 없을거야.
21,제갈량,내가 괜한 걱정 한거길……
22,허저,"흥! 선배도 참, 기숙사에 녹색 식물이 하나도 없다니! 나중에 한 수 가르쳐주겠어~"
23,장비,맛있는 냄새! 설마 내가 제일 좋아하는 그 가게!!
24,적련,"새, 새해가 뭐냐옹?"
25,적련,"왜, 왜 이렇게 꽉 끼는 옷을 입어야 하냐옹?"
26,미카엘,"설마, 또 가브리엘? 지난번에 카메라를 압수했어야 했는데!"
27,루시퍼,이건 미카엘 포스터잖아! 누가 여기에 둔 것인지 눈썰미가 좋네.
28,바닐라,선배도 동화에 관심 있어요?
29,바닐라,참 이상한 이야기네... 여주인공과 위연이랑 너무 닮았어……
30,위연,동화책? 음... 재미있는 이야기네!
31,은월,"어휴, 그래도 청소는 조금 하는 것 같네?"
32,은월,잘됐다. 다 끝나면 가는 길에 여기로 와서 청소 좀 도와줘.
33,육손,선배 대체 뭐하는 거에요? 언제쯤 다시 나를 뽑을 수 있을까나...
34,제갈량,이 옷을 입을 때마다 전당과 선배와 함께 했던 그 때를 떠올리게 되는 것 같아...
35,제갈량,"선배의 행동을 미리 예상했지만 가능한 모든 행동, 근데 그 순간…… 선배의 행동력을 정말 과소 평가했어."
36,위연,오늘도 위연은 선배님을 위해 열심히 싸울 거에요!
37,천본앵,"벚꽃의 아름다움은 한순간이지만, 그래도 선배를 볼 수 있게 된 이상 아쉬움은 없어……"
38,방천,다들 정의를 위해 싸우고 있는데 왜 선배는 날 여기 있게 하는 거지……
39,조조,"흥, 또 전투하러 나갔나? 나도 질 수 없지!"
40,초선,다음 방학 때 우리 자기랑 어디 놀러 갈까나?
41,등애,따뜻한 느낌은 사람을 둔하게 만들어. 잠깐 여기 있는 것도 좋을 것 같은데……
42,미카엘,잠깐 쉽시다. 어서 힘을 회복하고 선배들을 위해 역할 분담!
43,루시퍼,밝은 것은 어두움의 반대일 뿐이라는 것을 아는 사람은 많지 않다. 아마 그 선배는 어둠의 묘미를 이해할 수 있을 거야……
44,사마의,"음, 좀 더 어둡게 하면 돼요. 그래도 선배가 좋아하니깐 나도 좋아."
45,드라큘라,"헤헤, 여기 냄새가 나는데 왠지 그 사람이 생각나. 이런 품질의 피를 맛본 지 오래되었는걸."
46,제갈량,하지만 가끔씩 이런 기분을 맛보는 것도 좋을 것 같아.
47,루시퍼,무슨 근거로 내가 교실에 가서 쟤들과 함께 공부해야 해? 기숙사에서 혼자 하면 더 잘할 수 있다고!
