id,title,name,dialog,select_text
1,1-1a,나,"그럼, 입학식을 시작하겠습니다!! 신입생 여러분, 환영합니다!",
2,,나,모두 유몽학원에 온 걸 환영합니다!,
1000001,,나,"참, 소개가 늦었네...|나는 너희들의 선배야——*",
3,,*,앞으로 함께 새롭고 빛나는 학원 생활을 해보자!!,
4,,*,올해 신입생도 너무 귀엽네.\n학원에 유일한 남자 선배로서 너무 뿌듯해~,
5,,,그 순간 누군가에게 머리를 얻어맞고 시야가 어두워진다...,
6,,*,아야! 아파......,
7,,미카엘,선배님 자중하세요.,
8,,미카엘,"신입생 여러분, 저는 학년의 대표의 미카엘입니다. 여러분의 입학을 환영합니다.",
9,,미카엘,이 학원의 선배로서 전투를 비롯한 다방면의 도움을 줄 것이며 여러분의 새로운 학원 생활을 응원합니다.,
10,,*,"아파, 미카엘...... 아 맞다, 입학식이 끝나면 모두 운동장에서 테스트를 할거에요. 거기서 모두의 앞으로의 진로를 결정할 겁니다.",
11,,*,그럼 앞으로 잘 부탁해요! 학원 생활도 잘 즐기고 나의 새로운 팬이 되어주세요~!!,
12,,,"그때 또다시 충격이 머리를 덮치고, 어둠이 시야를 뒤덮는다...",
13,,*,에 무슨 일이야... 여기는... 나는...,
14,,미카엘,모두들~ 이쪽의 바보는 무시해 주세요...,
15,,,"학생들은 해산하고 있고, 이런저런 이야기를 나누는 소리가 들려온다.",
16,,여몽,하아!? 무슨 말이야? 왜 입학 첫 날부터 시험을 쳐야 하는 거야!?,
17,,여몽,하지만! 이런 불시 테스트에도 질 수 없지! 화이팅~!,
18,,여몽,아... 길 잃었다...,
19,,여몽,"저기, 운동장이 어느 쪽인가요? 뒤에서 앞의 학생의 어깨를 두드린다.",
20,,위연,꺄악 꺄악!! 내 뒤에 서 있지마!!!! (무의식적으로 의수를 휘두른다),
21,,여몽,잠깐! 뭐하는거야!?,
22,,여몽,앞에 사람 있어! 위험해~!!,
23,,*,뭐......? 우와아아아!!,
24,1-2a,,조금 전,
25,,*,신입생 시험은 어떻게 됐을까... 역시 보러 가야되겠어... (강의동 길모퉁이까지 걷는다),
26,,여몽,앞에 사람 있어! 위험해~!!,
27,,*,뭐......? 우와아아아!!,
28,,위연,아얏! (멈추지 않고 부딪힘),
29,,*,아야야... 응? 뭐지 이 부드러운 감촉은... (소녀의 가슴을 잡은 자신의 손을 보며),
30,,*,"앗! 미,미안!",
31,,위연,"(곧 일어섬) 아, 아니에요! 저야말로... 다친덴 없으세요, 선배?",
32,,*,"아... 괜찮아... 응? 이 의수... 위연이었구나, 몸은 괜찮은 거야?",
33,,위연,네... 제갈량 선배님이 주신 의수 덕분에 지금은 아무렇지도 않아요...,
34,,*,시험 준비하고 있었어? 그럼 딱이네. 같이 가자.,
35,,여몽,"아, 저기! 저도 데려가주세요! 길을 잃었어요!!",
36,,*,"참, 활발한 신입생이네... 그럼 같이 가자!",
37,,*,"봐, 저기가 운동장이야.(2개의 강의동 사이의 잔디밭을 가리키며), 하지만 옆으로 돌아서 가야 해……",
38,,여몽,왜 돌아 가요? 여기를 가로지르면 바로잖아요!! (잔디에 들어간다),
39,,*,야! 돌아와! 거기는 밟으면 안 돼!,
40,,허저,앗! 너 이 자식!!!~ 잘도 내가 손수 기른 애들을 밟았구나! 혼내줘야겠어!,
41,1-2b,여몽,누구에요?,
42,,*,"허저... 원예부의 악몽, 학원의 7대 괴담 중 하나... 그 아이의 꽃을 밟다니, 넌 이제 끝이야...",
43,1-2c,*,끝났다 끝났다 큰일났다~,
44,,여몽,후... 이 사람... 무슨 괴력이야......,
45,,*,허저가 잠에서 깨기 전에 빨리 가자……얼른!!,
46,,*,"휴~ 심장이 멎는 줄 알았어……이제 잔디는 절대 들어가지 말자, 그럼 이쪽으로 갈까?",
47,,여몽,"아, 네…(헤헷 재미있어~)",
48,1-3a,위연,"선배, 테스트라니… 그게 뭐에요?",
49,,위연,"제갈량 선배의 메모에는 오늘 가라고만 적혀있고, 자세한 내용은 아무것도...",
50,,*,"학부 테스트에서, 각각의 능력에 따라 들어갈 학부를 정하는 거야.",
