id,name,desc
1,붉은 염도,아군 소녀 공격력 10% 증가
2,뼈 관통,"전투 개시 후, 모든 적에게 랜덤 대미지를 3라운드 동안 입히고 모든 적이 받은 지속 대미지(출혈·독·연소) 25% 증가."
3,이도류,아군 소녀의 일반 공격 대미지 100% 증가; 아군 소녀의 일반 공격 후 50%의 확률로 추가적인 일반 공격 개시.
4,잠재력 자극,"아군 소녀의 치명타 25%, 치명타 대미지 25% 증가"
5,수라의 길,"아군 소녀가 대미지를 받을 경우 75%의 확률로 자신의 공격력 100%로 반격하며, 무조건 명중한다."
6,과잉 성장,아군 소녀의 최대 HP 20% 증가
7,담화 폭풍,"아군 소녀의 HP 회복 비율이 25% 증가하고 모든 적의 HP 회복 비율이 75% 감소, 모든 소녀가 회복할 때마다 HP가 가장 높은 적에게 최대 HP의 5%의 대미지를 가합니다.(최대 80000까지)."
8,일심동체,"아군 소녀의 대미지 감소 25% 증가. 대미지를 입었을 경우, 50% 확률로 모든 아군이 그 대미지를 분담시킨다."
9,무효,아군 소녀 면역력 40% 증가.
10,용감한 방패,아군 소녀의 가드 확률 30% 증가.
11,전장돌파,"앞줄 소녀의 방어력이 25% 상승하며, 대미지를 입었을 때 획득하는 에너지가 100% 증가."
12,들끊는 에너지,스킬 사용 후 25% 확률로 액티브 스킬 추가 발동.
13,악마 의식,"전투 시작 시, 아군 소녀는 HP 90%, 에너지 200으로 시작."
14,흡혈,아군 소녀가 대미지를 가할 경우 HP를 대미지의 15%만큼 회복한다.
15,신성 비호,"치명타 대미지 무효화(각 전투에서 1회만 발동, 중복 가능)"
