id,desc
1,조조를 배경 소녀로 설정
2,임의의 장비 20회 합성
3,조조 Lv. 40 달성
4,5만 골드 사용
5,조조의 호감도 40 달성
6,용도에 상관없이 다이아 500개 사용
7,조조 Lv. 80 달성
8,조조의 호감도 80 달성
9,조조 Lv. 100 달성
10,조조의 호감도 100 달성
11,장비를 배경 소녀로 설정
12,장비의 호감도 40 달성
13,장비의 호감도 80 달성
14,장비 Lv. 100 달성
15,장비의 호감도 100 달성
16,드라큘라를 배경 소녀로 설정
17,임의의 장비 20회 합성
18,드라큘라 Lv. 40 달성
19,5만 골드 사용
20,드라큘라의 호감도 40 달성
21,용도에 상관없이 다이아 500개 사용
22,드라큘라 Lv. 80 달성
23,드라큘라의 호감도 80 달성
24,드라큘라 Lv. 100 달성
25,드라큘라의 호감도 100 달성
26,위연을 배경 소녀로 설정
27,임의의 장비 20회 합성
28,위연 Lv. 40 달성
29,위연의 호감도 10 달성
30,선물 상자 15개 사용
31,위연의 호감도 30 달성
32,70개 선물 조각 사용
33,위연의 호감도 50 달성
34,위연 Lv. 100 달성
35,위연의 호감도 80 달성
36,허저를 배경 소녀로 설정
37,허저 Lv. 40 달성
38,허저의 호감도 30 달성
39,선물 상자 15개 사용
40,허저의 호감도 60 달성
41,가브리엘을 배경 소녀로 설정
42,가브리엘 Lv. 40 달성
43,버드 엘프의 호감도 40 달성
44,다이아 500개 사용
45,가브리엘의 호감도 80 달성
46,여몽을 배경 소녀로 설정
47,선물 상자 15개 사용
48,여몽 Lv.60 달성
49,임의의 장비 40회 합성
50,여몽의 호감도 80 달성
