id,fort_name,fort_name2,name,description,skill
1,스피트 챌린지·인도의 달빛,스피트 챌린지·인도의 달빛,길을 가리키는 달빛,유몽 군단과 카오스 군단이 정면으로 충돌하던 중.\n뒤에서는 어둠 속에서 활약하는 부대가 있었다. 이들은 가장 위험한 곳으로 숨어들어 유몽 군단의 눈과 귀를 멀게 하였다.\n그리고 그 부대의 중심에 있는 인물은 매우 특수한 능력을 가지고 있었다.,"매 라운드 아군이 처음 행동하기 전,\n적은 지속 대미지 이외의 대미지는 입지 않습니다."
2,스피트 챌린지·인도의 달빛,스피트 챌린지·인도의 달빛,따뜻한 마법,"은월에게 메이드 복은 전쟁용 슈트이다. 메이드 복을 입으면 감지 능력 때문에 뇌에 울리는 소음도 견딜 수 있다.\n그녀는 자신의 고민을 다른 사람에게 털어놓지 않고 혼자서 견뎌내고 있었는데, 어느 날 한 소녀가 그것을 알아차렸다.","매 라운드 아군이 처음 행동하기 전,\n적은 지속 대미지 이외의 대미지는 입지 않습니다."
3,스피트 챌린지·인도의 달빛,스피트 챌린지·인도의 달빛,미래의 계획,"카오스 군단과의 전쟁도 드디어 마무리. 여러가지 분명하지 않은 점도 있지만,\n그 기쁜 상황에서도 은월과 바닐라는 전쟁 후의 미래를 그리기 시작했다.","매 라운드 아군이 처음 행동하기 전,\n적은 지속 대미지 이외의 대미지는 입지 않습니다."
4,스피트 챌린지·인도의 달빛,스피트 챌린지·인도의 달빛,이상한 기색,아주 힘든 임무지만 몇 번이나 생과 사를 넘나든 은월에게는 대수롭지 않았다.\n그저 임무보다 한 가지 더 떠도는 이상한 기색이 마음이 쓰일 뿐이었다.,"매 라운드 아군이 처음 행동하기 전,\n적은 지속 대미지 이외의 대미지는 입지 않습니다."
5,스피트 챌린지·인도의 달빛,스피트 챌린지·인도의 달빛,불안의 씨앗,은월는 이상한 기운의 원인을 찾았다. 동정일까 아니면 경의일까.\n은월는 그녀에게 손대지 않았다. 다만 은월의 마음에 불안함이 피어났다.,"매 라운드 아군이 처음 행동하기 전,\n적은 지속 대미지 이외의 대미지는 입지 않습니다."
6,스피트 챌린지·인도의 달빛,스피트 챌린지·인도의 달빛,전쟁 종결?,"최후의 싸움이 끝나면, 전쟁도 드디어 결말이 난다.\n겨우 쉴 수 있다고 은월이 생각했지만...","매 라운드 아군이 처음 행동하기 전,\n적은 지속 대미지 이외의 대미지는 입지 않습니다."
7,스피트 챌린지·인도의 달빛,스피트 챌린지·인도의 달빛,반딧불,큰 희생을 치루고 은월은 겨우 거점으로 돌아갔다. \n하지만 그녀를 기다리고 있던 것은 지옥 같은 참상이었다.,"매 라운드 아군이 처음 행동하기 전,\n적은 지속 대미지 이외의 대미지는 입지 않습니다."
8,스피트 챌린지·인도의 달빛,스피트 챌린지·인도의 달빛,새로운 세상,참혹한 현실을 외면할 시간은 없었다. 지금 해야 할 일은 앞으로 나가는 일 뿐이었다. 은월은 그 신비로운 소리를 받아들이기 위한 조건을 선택하고 새로운 세상의 달빛이 되겠다고 결심했다.,"매 라운드 아군이 처음 행동하기 전,\n적은 지속 대미지 이외의 대미지는 입지 않습니다."
9,스피트 챌린지·인도의 달빛,스피트 챌린지·인도의 달빛,여행,유몽 학원이 겨우 안정되었지만 은월은 마음 속 불안을 지울 수 없었다. 지금 유몽 학원에 자신이 필수적인 존재가 아니라고 생각되자 은월은 어떤 결정을 내린다.,"매 라운드 아군이 처음 행동하기 전,\n적은 지속 대미지 이외의 대미지는 입지 않습니다."
10,스피트 챌린지·인도의 달빛,스피트 챌린지·인도의 달빛,달빛 아래의 반딧불,"백년 후, 유몽학원이 위험에 빠진 지금, 하나의 그림자가 어둠 속에서 나타났다.","매 라운드 아군이 처음 행동하기 전,\n적은 지속 대미지 이외의 대미지는 입지 않습니다."
