id,name,dialog,click_dialog1,click_dialog2,click_dialog3,click_dialog4,click_dialog5,battle_dialog,skill_dialog,cv_name,love_gift_dialog1,love_gift_dialog2,love_gift_dialog3,vow_dialog,login_dialog,lvlup_dialog,gradeup_dialog,shengxue_dialog,awake_dialog,equip_dialog1,equip_dialog2,hangteam_dialog,house_set_dialog,house_dialog,idle_dialog,dagong_dialog,daily_mission_dialog,new_stage_dialog,victory_dialog,failed_dialog,love_point_dialog1,love_point_dialog2,love_point_dialog3,love_point_dialog4
11001,유화,"스트레이트, 코너! 스퍼트 걸고~ 브레이크! 스키 테크닉이라면 뭐든 할 수 있어! 주인님도 함께 스키 타요~!",스키란게 얼마나 재밌는건데! 스키를 타본적 없는 사람은 인생을 즐길줄 모르는 사람이지!,예~ 바람보다 빠르게~,"더, 더 빠르게! 눈밭과의 싸움~!",나 먼저 갈게! 빨리 따라와~,역시 겨울이 최고야~ 모두와 함께 스키를 즐길 수 있잖아!,뭔가 더 신나는거 없을까?,얼음가호!,아이하라 아리사,"이런걸 누가 좋아한다고, 바보!",나한테 주는거야? 고마워~ 거기 놔두고 나랑 스키타러 가자~,"방금 스키탈 때, 네가 가지고 있는거 봤어. 선물이었다니~ 고마워, 기쁜걸~","저 눈 내린 산에 맹세해요, 오늘부터 우리의 운명은 이 스키와 같아요. 둘이 함께예요!","어서오세요, 선배님!","고마워요, 선배!","어떤 설산이든, 내 스키만 있다면 괜찮아!",填充,填充,다음에 장비를 새로 만들 때는 스키가 갖고 싶어.,이 장비를 차고 스키를 타볼까? 새로울지도!,"스키 알려줄까? 한번이라도 좋으니깐 해봐, 절대 후회하지 않을거야!",이런 좁은 방에 틀어박혀 있지 말고 나랑 스키 타러 가자구!,스키 새로 샀어! 봐봐!,운동하니까 피곤하지? 푹 쉬어~,"같이 아르바이트? 응 좋아, 새로운 스키용품 사고 싶었어!",미션 보상 잊지마!,"스키 타기 전에, 설산의 날씨라든지 확인하잖아. 그거랑 똑같이 학원의 상황 확인도 잊지말고!",릴렉스 릴렉스! 마음먹어도 소용없어!,으아아아아아아아아아악. 넘어졌어……,填充,填充,填充,填充
11002,완적,무릎 좀 베도 돼요? 졸린데 침대가 없어서...... 이러고 자는 거...... 기분 좋아요...... 아~ 주인님~ 계속 이래도 돼요?,졸려~ 벌써 아침? 에? 점심이구나.,자장~ 자장~ 빨리 자자~,점심 시간에 깨워줘!,"침대와 이불, 그리고 베개~ 내 일부야~","쥐? 어디서 스- 스- 소리가.... 어, 다시 자야지.",아 아직 눈을 못뜨겠네…,졸려 죽겠는데!,하나자와 카나,방해하지마......,음...... 선물......? 고마워...... 거기다 놔~,오~ 선물 고마워~ 덕분에 기분 좋게 잘 수 있겠다~ 너도 같이 자자~ 점심에 낮잠 좋잖아!,왠지 정말 좋은 꿈을 꿨어요. 웨딩 드레스를 입고 주인님이 안아주는...... 어? 꿈이 아니었나?,"어서오세요, 주인님~",이제 그만 마셔요.... 더 이상 마실 수 없어요......zzz......,왠지 잠이 온다......,填充,填充,으음...... 이거 너무 딱딱해...... 자고 나면 아플 것 같아......,"아~ 부드러워... 후...... 앗, 이거 베개가 아니었잖아~",아무데나 괜찮으니까 좀 눕혀줘......,침대다……,"쿨......쿨…… 앗, 어서 와요~",볼일 없으면 먼저 잘게?,"먼저 아르바이트 가세요, 주인님. 조금 자고... 갈테니까요...","주인님, 먼저 미션 보너스 받으러 가세요... 저는 조금 더 자고 있을게요...",학원 안이...... 시끄러워...... 무슨일 있는걸까......,"아, 이제 겨우 잘 수 있어~","으아, 무서운 꿈을 꿨어…… 무서워……",填充,填充,填充,填充
11003,왕평,"이대로 계속, 너만 바라보고 싶어. 나만 봐 나만. 나만 보면 안돼?",나를 방해하는 사람은 전부 죽일거야! 전부 다!,이 세상에 너만 있으면 되! 다른건 다 어떻게 되어도!,그 녀석은 이제 이 세상에 없어. 너한테 접근하려고 했거든.,계속~ 영원히 함께~!,주인님 괜찮아요! 주인님은 제가 꼭 지켜 드릴게요!,힘들게 하지 않을거에요.,부셔 버리자!,니시카와 마이,필요 없어~,선물? 나한테만 주는 거면 좋겠어~,이것도 저것도 줘. 그리고 너도 줘~~,우리들을 방해하는 사람은 없어요. 앞으로도 영원히 말이죠.,"드디어 돌아왔군요, 주인님. 으흐흐흐......",더! 더 주세요!,더 큰 칼이 없을까나?,填充,填充,저를 위해서만 준비해 준 거죠? 그렇죠?,"이것만 있으면, 방해하는 인간들을 모두 제거할 수 있어!",주인님을 독차지할 수 있어! 으흐흐흐흐흐.,여기서 기다릴께~,드디어 돌아오셨군요~ 주인님!,"아, 주인님께서 내 무릎 위에?! 아, 정말 너무 좋다...... 지금이 영원하다면 좋을텐데!","주인님, 아르바이트 중에 다른 여자 쳐다보지 않겠다고 약속했다요?","주인님, 미션 보상 잊지 않으셨죠?",아무리 학원 일이라고 해도 나와 주인님의 시간은 누구도 방해할 수 없어!,"주인님, 보상 주세요~","아니, 이런 결과로는……",填充,填充,填充,填充
12001,조홍,"주인님, 오늘 외출하실 때 입으실 옷이랑 아침식사 준비가 다 됐습니다. 치약과 칫솔은 이쪽이구요. 다른 필요하신건 없으신가요?",주인님! 특별 서비스라니… 그런 건 없어요.,이 조홍의 삶의 이유는 주인님이에요.,"주인님, 이제 어떻게 할까요.. 팔을 못쓰게 할까요 아니면 아무것도 안보이게 할까요?","주인님이 원하신다면, 이 조홍, 어떠한 일이라도 해내고야 말겠어요!",제 의지가 없는 건 아니에요. 하지만 우선 순위는 주인님이죠.,이건 주인님의 명령입니다.,여기로 오세요!,미나세 이노리,저 주인님......제가 그렇게 싫으세요?,주인님 잊으신 물건은~ 에엣? 선물이요? 저한테?,"이거 정말, 제가 받아도 되는건가요?","주인님, 이건...... 알겠습니다. 이게 주인님의 소원이라면 받아들이겠습니다. 앞으로도 언제까지나 곁에 있게 해주세요.","어서오세요, 주인님!",저보다 경험치 드링크를 더 필요로 하시는 사람한테 주세요~,주인님께 더 도움이 되고 싶어요~,填充,填充,저는 메이드 옷이면 충분해요. 네? 주인님 보고 싶으시다구요? 그럼 바로 갈아입고 올게요~,"주인님, 오늘은 어떤 음식을 드시고 싶으세요?",산책하러 가시는 건가요? 같이 가드릴게요.,방 청소 하시려고요? 바로 할게요~,방은 깨끗하게 치웠어요. 더 필요한거라도 있으세요?,이불은 준비됐습니다. 피곤하시면 지금 바로 주무세요~,주인님 아르바이트 시간입니다. 제가 가도 상관없지만... 그렇게까지 할 생각이라면 쓸데없는 일이라는 거니까 하지 않을거에요~,잊지 말고 미션 보상 받으세요~,학원에서 뭔가 사건이 발생한 것 같군요. 가실거면 같이 가드릴게요.,정말 손쉬운 승리였어요. 역시 주인님이시군요!,"먼저 철수하세요, 주인님. 여기는 제가 맡을게요~",填充,填充,填充,填充
12002,기령,제 의지가 없는 것은 아니지만 주인님을 가장 우선시 해야하니까요…,응? 이 실드를 부술 수 있을까? 해볼까나?… 일단 해보자…,"인간의 마음이란 깨지기 쉬울 때도 있고, 철벽처럼 딱딱할 때도 있는걸…. 참 이상해~",공격의 속성에 따라서 방어 특성을 변화시키고 있어! 과학의 발전이구만!,실드는 나를 지키는 것… 하지만 정작 마음은… 어떻게 지켜야하지.,"나는 항상 누군가를 지켜주는 편인데, 나를 지켜줄 사람도 나타날까?",실드!,지키기 위해 싸운다!,코우야마 유키,재미 없어~,선물? 감사해요~,후후~ 주인님한테 제 마음을 간파 당했네요…,단단한 방패가 있다 하더라도 틈은 생기기 마련이죠. 뒤는 주인님께 맡길게요.,"무사해서 다행이에요, 주인님.",......방어력 증가~,모두를 지키기 위해서도 더 튼튼한 갑옷이 필요해요!,填充,填充,방어력이 부족할 것 같은걸요~,가장 단단한 갑옷을 주세요~,최전방은 저한테 맡겨주세요. 그게 제 사명입니다~,여기서 대기!,"주인님, 제가 나설 차례는 언제에요?",보고만 있어도 마음이 따뜻해져요. 이건......어떤 감정일까요?,"아르바이트 시간이에요, 주인님.",미션 보상을 아직 수령하지 않았습니다.,뭔가 학원에서 사건이 난 것 같아요. 저도 협력할테니 주인님도 도와주세요.,나를 쓰러뜨릴 수 있다고 생각하지마!,방패가 깨지든 목숨을 바쳐 모두를 지킬거에요~,填充,填充,填充,填充
12003,한당,"주인님 비타민이 부족하세요? 제가 도와드릴게요! 지금 시기에는 리치가 정말 맛있는데, 어떠신가요?","가장 맛있는 과일이 꼭 가장 좋은 곳에서 자라는건 아니야. 사람도 그렇고, 그치?",블루베리는 정말 우아한 과일이죠. 맛 좀 보실래요? 저는 요구르트로 만들어 먹는걸 좋아해요. 주인님은요?,사과는 겨울이 가장 달아요! 기분 탓일 수도 있지만 잘 익은 빨간색을 보면 기분이 좋은걸요!,이건 아직 덜 익었어요. 절대 몰래 훔쳐 먹지 마세요! 가장 맛있을 때 먹어야 해요!,직접 따서 그런지 더 맛있네~,과일따러 갑시다~,두리안은 어때?,사토 아즈사,역시 난 참신한 게 좋아~,고마워요~,"멋진 선물이군요, 너무 기뻐요. 고마워요 주인님~","과일을 좋아하는 사람 중에 나쁜 사람은 없지요. 주인님과 같이 먹으면, 두 배로 맛있게 느껴진답니다~","어서와, 주인님~ 사과가 있어요.",음료수의 답례로 과일을 줄게요~,온화하고 자상하네. 귀여운 모두의 여동생.,填充,填充,"예쁜 옷, 고마워!",항상 옷을 주는 답례로 이 과일을 줄게요. 다 내가 고른거야~,같이 과수원 갈래?,주인님 방이 넓네요~,"사과를 깎아 놨으니까, 괜찮으면 먹어~",먼저 쉬고 있어. 나는 과일 좀 씻고 올게.,알바야~,미션 보상 잊지 마세요~,학원에서 무슨 일이 있는 것 같아! 주인님은 사건을 해결하고! 저는 과수원을 보고 올게요!,과일이라고 해서 만만하게 보다간 큰코다친다구!,으으…… 내 바구니가 엉망진창이네……,填充,填充,填充,填充
13001,능통,프슉- 프슉- 점프 성공! 시공간 로봇. 코드 C204. 2036년에서 왔습니다. 명령어를 입력해 주세요!,메시지? 죄송합니다. 이 명령을 이해할 수 없습니다.,타임슬립? 죄송합니다. 당신의 아직 타임슬립 할 권한이 없습니다.,"배터리가 부족합니다. 주인님, 110볼트 전압으로 충전하지 말아주세요.",에러! 에러! 명령 오류가 발생했습니다. 다시 입력해 주세요!,[감정]이 설정되지 않았습니다. 조작 실패.,공격 프로그램 가동.,실행,치하라 미노리,[에러]! [선물]을 받을 수 없습니다!,"선물, 감사합니다!","[에러]! 동력원 고온 경고! 주인님, 당신의 [선물]이, 저에게...... 이상한 감각을 주었습니다......",저에 관한 모든 시스템 조작을 데이터에 기록했어요. 주인님의 노력은 모두 알고 있습니다. 정말 감사드리며 앞으로도 잘 부탁드립니다.,"어서오세요, 주인님!",시스템 업그레이드,데이터 처리 속도 향상,填充,填充,새로운 프로그램 로딩이 완료.,[오류]! 대형 공격 무기는 장착할 수 없습니다.,"지령 숙지 완료, 출격.",해당 지점에 도착하여 '대기' 명령을 이행합니다.,"안녕하세요, 주인님.","현재 미완성 지령 수：0, 새로운 지령을 입력하세요.",예정 사항 알림：아르바이트,예정 사항 알림：미션 보상 획득,운동장에서 심한 에너지 변동 감지. 학원 방어시스템을 가동하시겠습니까?,목표를 이미 제거했습니다.,"기체 손상, 현재 산출되는 승률은 1%입니다.",填充,填充,填充,填充
13002,마녀,"헤헤헤! Trick or treat! 주인님, 캔디 안주시면 말썽 피울거에요!","프랑켄슈타인과 드라큘라, 마녀와 늑대. 좀비랑 해골...... 아! 내일 할로윈이니까 마음대로 나가면 안돼!","내 모자에 주목~! 자, 모자에서 뭐가 나왔으면 좋겠어요?? 뭐든지 가능!",무서우면 같이 침대 밑에 숨자!,"주인님, 선물 가져오는거 까먹었어요. 그래서 제가 선물이 되어 드릴게요! 뭐라니~! 히히",마법 빗자루 타볼래? 균형 잡는 거 의외로 어렵지?,같이 놀자!,말썽 피울거야!,마츠우라 치에,잠깐! 사탕은 안 줘도 되는데 이거 무슨 뜻이에요?,"선물, 고마워~",해피 할로윈~ 주인님 좋아해요~,"할로윈은 좋아하지만, 만약 소원이 이뤄진다면 누군가의 마음 속 1번이 되고 싶은걸~",Trick or Treat,사탕좀 더 줄래?,"존재감은 없을지도 모르지만, 나 앞으로도 노력할게!",填充,填充,이 무기 나 아마 못 쓸걸?,새로운 지팡이가 갖고 싶네......,"......할로윈이라는 거, 다들 알고 있는 건가? 후훗훗.","받은 사탕, 침대 밑에 숨겨둔다고~♪",드디어 왔어~ 사탕은 갖다줬어?,"여기서 자는 거야? 뭐, 괜찮아요. 안녕히 주무세요~",대신 알바라니 당연히 노우! 자기 일은 자기가 하지 않으면 안되니까!,"오늘 미션 보상은 사탕이래요! 하하, 농담!","어제 말했던 섬뜩한 기색이 드는 교실 조사, 잊지말자! 그 버려진 강의동 안에!",할로윈만큼은 나의 독무대라구!,할로윈 오늘이 아니었어...,填充,填充,填充,填充
13003,마운록,당신의 어떤 원한이 느꺼져요. 더렵혀지고 타락한 영혼같아...... 재밌는걸. 누구를 저주하고 싶은거에요?,물려 받은 것은...... 마녀의 힘과 저주...... 인간을 계속 원망하는 저주.,태어나서부터...... 따뜻함을 느낀적이...... 없는걸요...,잠시 인간으로부터 떨어져서 보니까 자유롭고 편한 걸 깨달았어.,모르겠어. 인간은 왜 누군가와 같이 있고 싶어하는지...... 무리를 지어 약함을 숨기기 위함인가?,사막은 나의 제 2의 고향이야.,느껴져? 이 깊은 원한이,당신도 저주할거야,하마구치 아야노,이러면 저주의 힘이 약해져요!,그걸 나한테?,이거라면 힘을 높여줄 것 같아~ 고마워~~,어쩌면 이 마음은 내 마음 속의 미움을 지워버릴지도 몰라. 하지만 이상하게도 무섭지 않아. 왜냐면 난 이제 혼자가 아니니까.,돌아오신걸 환영합니다~ 선배~,사람을 미워하면 미워할수록 나의 힘은 강해져 간다...!,나는 살 거야. 비록 이대로 혼자만의 날들이 계속된다 해도!,填充,填充,당신이 원하는 대로 하세요.,내 힘을 잘 봐둬.,거기에 있는게 이번 표적일까?,바람이 들어가지 않게 해 줄래? 저주에 쓰는 모래가 날려버려.,"선배, 오늘도 이야기하러 와준거에요?","선배, 어디로 갔을까? 오늘은 아직 보지못했지만...... 뭐 괜찮아. 혼자있는 편이 편한걸.",이런 데서 기름 팔지 말고 알바하러 가는 게 어때?,미션 보상에 대해서 일부러 가르쳐 주지 않는 게 좋을까 생각하고 있었어. 그렇게 하면 나에 대한 미움이 생길까?,"학원에서 이정도의 미움을 느낀 적은 없었는데.... 확인하러 갈래요? 아마, 엉뚱한 일이 일어나고 있을거야!",타락한 자들의 증오가 전쟁터에 가득 차 있다!,"졌군… 하지만 신기하게도 마음은 평화로운걸, 이게 용서라는 건가?",填充,填充,填充,填充
14001,관로,"주인님, 안녕하세요. 저는 관로예요. 무슨 일이 있으면, 주저하지 말고 저를 불러주세요.",대길이군요. 올해는 분명 많은 일이 잘 풀릴 거예요.,"안녕하십니까, 괜찮다면 메인 궁전도 둘러보시는 걸 추천합니다.",연애 성취 부적입니까? 금전운 부적? 아니면 건강기원 부적? 뭐든 다 있어요~,"마음 속 깊이 바라면, 분명 잘 될 거예요. 자, 기도해요.",그녀는 지금 어디에 있는 걸까요...... 이렇게 혼자 절에 있으면 좀 그리워지네요......,내가 이길 것 같은데!,두고보지!,무라타 하루카,어…어떻게…,이거 나한테 주는 선물이니? 고마워,선물 고마워. 그럼 한 번 점괘를 한번 봐볼래?,제비뽑기는 어디까지나 가능성의 하나일 뿐이에요. 하지만 저는 당신의 사랑이 되어 항상 곁에서 있고 싶어요~ 그래도 되나요?,"어서오세요, 오늘도 좋은 날이면 좋겠네요~",내일도 분명 좋은 날일 거에요~,내일은 반드시 대길입니다.,填充,填充,이 옷이 의외로 저한테 잘 어울리네요~,이 부적도 잊지 말아주세요~,대길이 나왔다고 해서 뭘 해도 되는 건 아니에요!,숙소에 다도 세트가 있었으면 좋았을텐데......,그렇게 급하고 중요한 일이라도 있었나요?,"이것저것 정신없는 세상이니까요. 마음을 가라앉히고 매사에 마주할 시간을 갖는 것은 좋은 일입니다! 어라, 잠들어버린건가요?",분명히 오늘 아르바이트 아니었어요? 이런 데서 얘기해도 괜찮겠어요?,"제비뽑기는 가능성을 나타냄과 동시에 지금의 자신의 상황을 확인하기 위한 것이기도 합니다.음, 현실을 도피하고 있는 사람에게는, 어느 쪽도 큰 의미를 말할 수 없겠지만.",저기 왠지 소란스럽네요. 좌자가 돌아왔을까요? 잠시 상황을 보고 오려고 하는데 같이 갈래요?,승리는 이미 예상되었던 일이니 그렇게 너무 자랑하지 마세요~,어쩌다 보니 운세가 변해버린 것 같군요! 철수해요!,填充,填充,填充,填充
