id,title,name,dialog,select_text
1,새로운 후배,후배들,신입생이 곧 온대!,
2,,후배들,어떤 사람일지 궁금해!,
3,,초선,"미래의 일은, 그때가 되면 알겠지~ 하지만 지금은~",
4,,초선,얼른 교실로 돌아와라! 너희들 설마 내 수업에서 빠지려고!,
5,,후배들,무……무서워……,
6,,,복도의 시끄러움이 갑자기 잠잠해졌다.,
7,,초선,잠깐만.,
8,,*,"네? 저, 저요?",
9,,초선,모르는척 하지마. 복도에 너말고 다른 학생은 없는걸~,
10,,*,"하, 초선 선생님, 하실 말씀이..",
11,,초선,어머나 겁이 많네~ 내가 잡아 먹을까봐?,
12,,*,아뇨!,
13,,초선,신입생 일에 대해선 알고 있지?,
14,,초선,너무 바빠서 아직 신입생 비품을 준비하지 못했어......,
15,,초선,곤란하네~~ 내 부탁 들어줄 수 있을까?,
16,,*,그.. 그것 뿐이신가요?,
17,,초선,응? 그럼 어디서 잡아먹히고 싶니~,
18,,초선,기대되네~,
19,,*,"이, 지금 바로 비품 준비 하고 오겠습니다!",
20,,초선,"어머, 아직 얘기 안 끝났는데... 정말~",
21,,,상점가에서 떨어진 장소에서 시끄러운 소리가 들려온다.,
22,,,멀리서 보고 있으니 자그마한 검은 그림자가 사람들 한가운데에 있었다.,
23,,점장,아가씨 그냥 갈 생각이야? 돈을 내고 가야지~,
24,,야곱,아 죄송해요. 몰랐어요......,
25,,점장,공짜는 안되지~ 돈이 없다면 가게에서 일이라도 할래?,
26,,점장,날개랑 뿔도 있고 더 필요한 소품은 없으니까 좋잖아~,
27,,점장,"뭐 날개는 한쪽밖에 없으니까, 한쪽만 더 달던지 하자.",
28,,*,뿔이랑 한쪽 날개...... 설마 야곱!?,
29,,*,"죄송합니다, 지나갈게요.",
30,,*,전 이 아이의 오빠입니다. 혹시 드릴 돈이 얼마인가요?,
31,,점장,칫! 어디서 온 놈이야……,
32,,*,일개 점장 주제에... 나는 *이라고!,
33,,점장,"흥, 이 상가에서는 내가 *이야!",
34,,점장,혼자 영웅놀이를 하고 있는 사람은 벌을 받아야해! 아무도 널 지켜주지 않을거야!,
35,,야곱,"혼자가 아니야! 오빠, 제가 도와줄게요!",
36,,점장,제길 이렇게 강하다니! 만약 우리 상점에서 일한다면……,
37,,*,얌전히 있어! 이 나쁜 인간!,
38,,*,"아, 또 만났네.",
39,,점장,입 다물어! 아주 연기였구나 너!,
40,,*,미안! 깜박했어... 어둠의 소녀 야곱~,
41,,야곱,어떻게 내 이름을……?,
42,,야곱,"자기를 오빠라고 하고, 이 사람도 역시 이상해......",
43,,*,그만!  전에도 만난적 있어!,
44,,야곱,"헉, 그랬나?음...... 생각이 안나네......",
45,,*,선도위원회였잖아 ! 여포랑 볼일도 있었고...... 그리고 팔란티르......,
46,,야곱,여포? 미안하지만… 무슨 말을 하는지 모르겠어… 하지만 팔란티르.....,
47,,야곱,"앗, 언니!",
48,,,야곱의 시선을 따라가자 순백의 소녀가 눈에 들어왔다.,
49,,,"길고 하얀 머리, 치마에 날개, 그리고 야곱과 닮은 얼굴....",
50,,*,드디어 나타났다! 순백의 소녀 이사우~,
51,누나?,이사우,"야곱, 다녀왔어!",
52,,,눈 깜짝할 사이에 이사우가 야곱에게 달려가 끌어안았다.,
53,,야곱,그만해...... 부끄러워......,
54,,*,흠……,
55,,이사우,"어머나, 미안. 여기 사람 있는걸 몰랐어...음, 누구?",
56,,*,너도 잊어버렸구나!,
57,,이사우,"앗! 한번 만났던 ""선배"" 잖아!",
58,,*,뭐 어쩔 생각이야!?,
59,,이사우,"이제, 그렇게 긴장하지 마요~",
60,,이사우,지금 우리는 상점가에 있다고!~ 그럼 당연히 쇼핑을 즐겨야지.,
