id,name,desc
1011001,원시의 분노,"사역마 출전 시 팀의 체력 {1}, 공격력 {2} 증가"
1012001,절대영지,"사역마 출전 시 팀의 체력 {1}, 공격력 {2}, 돌파력 {3} 증가"
1013001,야생본능,"사역마 출전 시 팀의 체력 {1}, 공격력 {2}, 정밀 {3} 증가"
1014001,사냥타임,"사역마 출전 시 팀의 체력 {1}, 공격력 {2}, 속도 {3} 증가"
2011001,액체 포탄,"사역마 출전 시 팀의 체력 {1}, 공격력 {2} 증가"
2012001,해신의 축복,"사역마 출전 시 팀의 체력 {1}, 공격력 {2}, 신성 대미지 {3} 증가"
2013001,흐름변경,"사역마 출전 시 팀의 체력 {1}, 공격력 {2}, 정밀 {3} 증가"
2014001,승풍파랑,"사역마 출전 시 팀의 체력 {1}, 공격력 {2}, 속도 {3} 증가"
3011001,힐링 라이트,"사역마 출전 시 팀의 체력 {1}, 공격력 {2} 증가"
3012001,자연의 수호,"사역마 출전 시 팀의 체력 {1}, 공격력 {2}, 방어력 {3} 증가"
3013001,혼란의 악장,"사역마 출전 시 팀의 체력 {1}, 공격력 {2}, 가드 {3} 증가"
3014001,정령의 기도,"사역마 출전 시 팀의 체력 {1}, 공격력 {2}, 속도 {3} 증가"
4011001,영묘한 광검,"사역마 출전 시 팀의 체력 {1}, 공격력 {2} 증가"
4012001,인력구풍,"사역마 출전 시 팀의 체력 {1}, 공격력 {2}, 스킬 대미지 {3} 증가"
4013001,명상사색,"사역마 출전 시 팀의 체력 {1}, 공격력 {2}, 정밀 {3} 증가"
4014001,날개 해방,"사역마 출전 시 팀의 체력 {1}, 공격력 {2}, 속도 {3} 증가"
5011001,자기장,"사역마 출전 시 팀의 체력 {1}, 공격력 {2} 증가"
5012001,히트시커,"사역마 출전 시 팀의 체력 {1}, 공격력 {2}, 치명타 {3} 증가"
5013001,기계개조,"사역마 출전 시 팀의 체력 {1}, 공격력 {2}, 치명타 대미지 {3} 증가"
5014001,허리케인,"사역마 출전 시 팀의 체력 {1}, 공격력 {2}, 속도 {3} 증가"
6011001,에너지 집중,"사역마 출전 시 팀의 체력 {1}, 공격력 {2} 증가"
6012001,응시,"사역마 출전 시 팀의 체력 {1}, 공격력 {2}, 스킬 대미지 {3} 증가"
6013001,소울 바스트,"사역마 출전 시 팀의 체력 {1}, 공격력 {2}, 가드 {3} 증가"
6014001,엘레멘탈 바스트,"사역마 출전 시 팀의 체력 {1}, 공격력 {2}, 속도 {3} 증가"
7011001,달콤한 향기,"사역마 출전 시 팀의 체력 {1}, 공격력 {2} 증가"
7012001,덩굴의 수호,"사역마 출전 시 팀의 체력 {1}, 공격력 {2}, 방어력 {3} 증가"
7013001,꽃잎의 장벽,"사역마 출전 시 팀의 체력 {1}, 공격력 {2}, 가드 {3} 증가"
7014001,나부끼는 꽃잎,"사역마 출전 시 팀의 체력 {1}, 공격력 {2}, 속도 {3} 증가"
8011001,영혼의 인도,"사역마 출전 시 팀의 체력 {1}, 공격력 {2} 증가"
8012001,영혼계 표식,"사역마 출전 시 팀의 체력 {1}, 공격력 {2}, 신성 대미지 {3} 증가"
8013001,마력 해방,"사역마 출전 시 팀의 체력 {1}, 공격력 {2}, 치명타 대미지 {3} 증가"
8014001,부광약영,"사역마 출전 시 팀의 체력 {1}, 공격력 {2}, 속도 {3} 증가"
9011001,마염,"사역마 출전 시 팀의 체력 {1}, 공격력 {2} 증가"
9012001,수정의 힘,"사역마 출전 시 팀의 체력 {1}, 공격력 {2}, 방어력 {3} 증가"
9013001,불굴의 의지,"사역마 출전 시 팀의 체력 {1}, 공격력 {2}, 치명타 저항 {3} 증가"
9014001,오버로드,"사역마 출전 시 팀의 체력 {1}, 공격력 {2}, 속도 {3} 증가"
