id,desc,boss
1,,트레이닝 더미-Lv.1
2,'방어 트레이닝Ⅰ' 해제\n'트레이닝 더미-Lv.2' 해제,트레이닝 더미-Lv.2
3,'인내력 트레이닝Ⅰ' 해제\n'트레이닝 더미-Lv.3' 해제,트레이닝 더미-Lv.3
4,"'체력 트레이닝Ⅱ', '민첩성 트레이닝Ⅱ' 해제\n'트레이닝 더미-Lv.4' 해제",트레이닝 더미-Lv.4
5,"'공격 트레이닝Ⅱ', '방어 트레이닝Ⅱ' 해제\n'트레이닝 더미-Lv.5' 해제",트레이닝 더미-Lv.5
6,"'인내력 트레이닝Ⅱ', '체력 트레이닝Ⅲ' 해제\n'트레이닝 더미-Lv.6' 해제",트레이닝 더미-Lv.6
7,'민첩성 트레이닝Ⅲ' 해제\n'트레이닝 더미-Lv.7' 해제,트레이닝 더미-Lv.7
8,'공격 트레이닝Ⅲ' 해제\n'트레이닝 더미-Lv.8' 해제,트레이닝 더미-Lv.8
9,'방어 트레이닝Ⅲ' 해제\n'트레이닝 더미-Lv.9' 해제,트레이닝 더미-Lv.9
10,'인내력 트레이닝Ⅲ' 해제\n'트레이닝 더미-Lv.10' 해제,트레이닝 더미-Lv.10
