id,desc
1000101,"디자인을 20회 구입할 때마다('오늘 뭐 입지?' 이벤트 포함) 용기, 매력, 지식 +1 (최대 25회 촉발 가능)"
1000102,"디자인을 20회 구입할 때마다('오늘 뭐 입지?' 이벤트 포함) 용기, 매력, 지식 +1 (최대 30회 촉발 가능)"
1000103,"디자인을 20회 구입할 때마다('오늘 뭐 입지?' 이벤트 포함) 용기, 매력, 지식 +1 (최대 40회 촉발 가능)"
1000104,"디자인을 20회 구입할 때마다('오늘 뭐 입지?' 이벤트 포함) 용기, 매력, 지식 +1 (최대 55회 촉발 가능)"
1000105,"디자인을 20회 구입할 때마다('오늘 뭐 입지?' 이벤트 포함) 용기, 매력, 지식 +1 (최대 75회 촉발 가능)"
1000106,"디자인을 10회 구입할 때마다('오늘 뭐 입지?' 이벤트 포함) 용기, 매력, 지식 +1 (최대 100회 촉발 가능)"
1000201,레벨 업그레이드 또는 크리스탈 교환 시 크리스탈 검 소모량 1% 감소
1000202,레벨 업그레이드 또는 크리스탈 교환 시 크리스탈 검 소모량 2% 감소
1000203,레벨 업그레이드 또는 크리스탈 교환 시 크리스탈 검 소모량 3% 감소
1000204,레벨 업그레이드 또는 크리스탈 교환 시 크리스탈 검 소모량 4% 감소
1000205,레벨 업그레이드 또는 크리스탈 교환 시 크리스탈 검 소모량 5% 감소
1000206,레벨 업그레이드 또는 크리스탈 교환 시 크리스탈 검 소모량 7% 감소
1000207,레벨 업그레이드 또는 크리스탈 교환 시 크리스탈 검 소모량 0.2% 감소
1000208,레벨 업그레이드 또는 크리스탈 교환 시 크리스탈 검 소모량 0.2% 감소
1000209,레벨 업그레이드 또는 크리스탈 교환 시 크리스탈 검 소모량 0.2% 감소
1000210,레벨 업그레이드 또는 크리스탈 교환 시 크리스탈 검 소모량 0.2% 감소
1000211,레벨 업그레이드 또는 크리스탈 교환 시 크리스탈 검 소모량 0.2% 감소
1000301,상점가--매점에서 아이템 구매 시 4%의 확률로 소모한 아이템 20% 반환(해당 효과 중복 가능)
1000302,상점가--매점에서 아이템 구매 시 7%의 확률로 소모한 아이템 20% 반환(해당 효과 중복 가능)
1000303,상점가--매점에서 아이템 구매 시 10%의 확률로 소모한 아이템 20% 반환(해당 효과 중복 가능)
1000304,상점가--매점에서 아이템 구매 시 14%의 확률로 소모한 아이템 20% 반환(해당 효과 중복 가능)
1000305,상점가--매점에서 아이템 구매 시 18%의 확률로 소모한 아이템 20% 반환(해당 효과 중복 가능)
1000306,상점가--매점에서 아이템 구매 시 25%의 확률로 소모한 아이템 20% 반환(해당 효과 중복 가능)
1000307,상점가--매점에서 아이템 구매 시 1%의 확률로 소모한 아이템 20% 반환(해당 효과 중복 가능)
1000308,상점가--매점에서 아이템 구매 시 1%의 확률로 소모한 아이템 20% 반환(해당 효과 중복 가능)
1000309,상점가--매점에서 아이템 구매 시 1%의 확률로 소모한 아이템 20% 반환(해당 효과 중복 가능)
1000310,상점가--매점에서 아이템 구매 시 1%의 확률로 소모한 아이템 20% 반환(해당 효과 중복 가능)
1000311,상점가--매점에서 아이템 구매 시 1%의 확률로 소모한 아이템 20% 반환(해당 효과 중복 가능)
1000401,신입생 모집 10회 연속 진행 시 2%의 확률로 도장*1개 반환(해당 효과 중복 가능)
1000402,신입생 모집 10회 연속 진행 시 3%의 확률로 도장*1개 반환(해당 효과 중복 가능)
1000403,신입생 모집 10회 연속 진행 시 4%의 확률로 도장*1개 반환(해당 효과 중복 가능)
1000404,신입생 모집 10회 연속 진행 시 5.5%의 확률로 도장*1개 반환(해당 효과 중복 가능)
1000405,신입생 모집 10회 연속 진행 시 7%의 확률로 도장*1개 반환(해당 효과 중복 가능)
1000406,신입생 모집 10회 연속 진행 시 10%의 확률로 도장*1개 반환(해당 효과 중복 가능)
1000407,신입생 모집 10회 연속 진행 시 0.5%의 확률로 도장*1개 반환(해당 효과 중복 가능)
1000408,신입생 모집 10회 연속 진행 시 0.5%의 확률로 도장*1개 반환(해당 효과 중복 가능)
1000409,신입생 모집 10회 연속 진행 시 0.5%의 확률로 도장*1개 반환(해당 효과 중복 가능)
1000410,신입생 모집 10회 연속 진행 시 0.5%의 확률로 도장*1개 반환(해당 효과 중복 가능)
1000411,신입생 모집 10회 연속 진행 시 0.5%의 확률로 도장*1개 반환(해당 효과 중복 가능)
1000501,프리미엄 캡슐 뽑기 또는 소원 캡슐 10회 연속 진행 시 2%의 확률로 프리미엄 캡슐 뽑기 코인*1개 반환(해당 효과 중복 가능)
1000502,프리미엄 캡슐 뽑기 또는 소원 캡슐 10회 연속 진행 시 3%의 확률로 프리미엄 캡슐 뽑기 코인*1개 반환(해당 효과 중복 가능)
1000503,프리미엄 캡슐 뽑기 또는 소원 캡슐 10회 연속 진행 시 4%의 확률로 프리미엄 캡슐 뽑기 코인*1개 반환(해당 효과 중복 가능)
1000504,프리미엄 캡슐 뽑기 또는 소원 캡슐 10회 연속 진행 시 5.5%의 확률로 프리미엄 캡슐 뽑기 코인*1개 반환(해당 효과 중복 가능)
