id,title,desc
1,혹한의 추위,일반 공격 대미지 {1}%% 증가
2,집중 타격,일반 공격 치명타 확률 {1}%%증가
3,2차 대미지,일반 공격 시 {1}%%의 확률로 1회 추가 공격
4,양날의 검,"에너지 획득량 50%% 감소, 공격력 {1}%% 증가"
5,여명의 법전,스킬 대미지 {1}%% 증가
6,성자의 축복,에너지 획득량 {1}%% 증가
7,에너지 흡수,"아군 소녀가 액티브 스킬 발동 후, 아군 소녀 전원이 에너지 {1}pt 회복"
8,사기충천,"아군 소녀가 액티브 스킬 발동 후, 2라운드 동안 아군 소녀 전원의 공격력 5%% 증가. ({1} 스택 중복 가능)"
9,에너지 비스킷,사역마의 에너지 획득량 {1}%% 증가
10,협력 강화,"사역마가 액티브 스킬 발동 후, 2라운드 동안 아군 소녀 전원이 가하는 모든 대미지 {1}%% 증가, 적 전체가 받는 모든 대미지 5%% 증가."
11,수호자,"사역마가 액티브 스킬 발동 후, 2라운드 동안 아군 소녀 전원의 모든 대미지 감소, 가드, 면역력 {1}%% 증가."
12,핵심 증폭,사역마 전속 장비 {1}레벨 증가
13,설상가상,"지속 대미지 부여 시, {1}라운드 동안 동일한 지속 대미지 1스택 추가 부여"
14,파죽지세,지속 대미지로 가하는 대미지 {1}%% 증가
15,낙정하석,지속 대미지를 보유한 적에게 가하는 모든 대미지 {1}%%증가
16,허점 공격,"일반 공격 시, 목표가 보유한 지속 대미지 수량에 따라 자신 공격력 {1}%%의 대미지 추가 부여(최대 5회)"
17,과잉 치료,치료량의 {1}%% 보호막 전환
18,철옹성,보호막 보유 시 소녀가 가하는 모든 대미지 {1}%% 증가
19,강력한 약효,"HP가 낮을수록 받은 치료 효과 증가, HP 1%% 감소 시마다 받은 치료 효과 {1}%% 증가"
20,소생의 샘물,첫 번째 쓰러진 아군 소녀가 다음 라운드 시작 시 {1}%%의 HP로 부활(최대 1회 촉발)
21,강철 체력,HP {1}%% 증가
22,즉각 반격,"공격을 받을 경우, 해당 적에게 자신 공격력의 100%%에 추가로 잃은 HP {1}%%의 대미지 부여"
23,최후의 혈투,"공격을 받을 경우, 2라운드 동안 공격력 5%% 증가({1} 스택 중복 가능)"
24,필사의 저항,"HP가 낮을수록 공격력 증가, HP 1%% 감소 시마다 공격력 {1}%% 증가"
