id,title,name,desc
510001,은둔자 시련,은둔자 영혼,은신 학부의 아군 소녀가 가하는 대미지 30% 증가
510002,신위 시련,무한 신력,신위 학부의 아군 소녀가 가하는 대미지 30% 증가
510003,도깨비 시련,도깨비 노래,풍견 학부의 아군 소녀가 가하는 대미지 30% 증가
510004,지혜 시련,지혜의 꽃,담화 학부의 아군 소녀가 가하는 대미지 30% 증가
510005,심연 시련,심연의 그림자,수라 학부의 아군 소녀가 가하는 대미지 30% 증가
510006,샛별 시련,황금빛 별,진성 학부의 아군 소녀가 가하는 대미지 30% 증가
510007,서광 시련,영원한 서광,"아군 전사 소녀의 HP 20% 증가, 공격력이 자신 최대 HP의 0.5%만큼 증가"
510008,마력 시련,마력의 물결,법사 소녀 1명 출전 시마다 아군 법사 소녀가 가하는 대미지 6% 증가
510009,정글 시련,정글의 가르침,아군 레인저 소녀 치명타 30% 증가
510010,안개 시련,안갯속의 위기,아군 어쌔신 소녀 공격력 60% 증가
510011,세인트 시련,찬가의 메아리,아군 목사 소녀가 살아있을 경우 아군 소녀 전원이 가하는 대미지 30% 증가
520001,은둔자 시련,추격의 고삐,적이 치명타를 입을 경우 2라운드 동안 받는 대미지 10% 증가 (중복 불가)
520002,신위 시련,매서운 공세,아군 앞줄 소녀가 받는 대미지 및 가하는 대미지 각 30% 증가
520003,도깨비 시련,무한 화력,"아군 소녀 공격 시, 공격 목표가 많을수록 가하는 대미지가 증가하며, 공격 목표수 1명 증가 시마다 3%의 추가 대미지 제공"
520004,지혜 시련,일촉즉발,"구속 효과를 받은 소녀가 받는 대미지 10% 증가 (적, 아군 전부 포함)"
520005,심연 시련,망령의 소원,"전투 중 쓰러진 소녀가 있을 경우 모든 소녀의 공격력 5% 증가 (적, 아군 전부 포함)"
520006,샛별 시련,별의 수호,"모든 소녀의 대미지 감소 20% 증가 (적, 아군 전부 포함)"
520007,서광 시련,희소 가치,"출전 팀 내 동일 학부인 소녀가 적을수록 아군 소녀가 가하는 대미지 증가, 최대 30% 증가 가능"
520008,마력 시련,연결 고리,"모든 소녀의 학부 궁합으로 인한 대미지 증가 효과 60%까지 증가 (적, 아군 전부 포함)"
520009,정글 시련,깊지 않은 상처,"모든 소녀가 본인에게 불리한 학부로부터 받는 대미지 30% 감소 (적, 아군 전부 포함)"
520010,안개 시련,폭풍우,아군 소녀의 치명타가 100%를 초과할 경우 초과한 1%당 5%의 치명타 대미지로 전환
520011,세인트 시련,수비의 허점,아군 뒷줄 소녀가 받는 대미지 및 가하는 대미지 각 30% 감소
500000,신인 시련,신인 시련,특수 효과 없음
500001,신인 시련,신인 시련,특수 효과 없음
