id,partner_link,skin,name,lv,grade,hp,atk,hpP,atkP,armP,spdP,energy_ex,hit,miss,crit,unCrit,critTime,unfree,free,allDmgRate,allHarmDec,sklP,decDmg,brk,trueAtk,is_boss,lv_show,scale,is_player_use,skill,equip_6,exskill
140001137,753009,,-1,240,10,450000,39600,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,240,,,,,
140001138,754013,,-1,240,10,525000,32400,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,240,,,,,
140001139,754008,,-1,240,10,525000,32400,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,240,,,,,
140001140,754006,,-1,240,10,445000,36000,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,240,,,,,
140001141,654015,,-1,240,10,475000,48000,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,240,,,,,
140001142,754014,,-1,240,10,440000,31500,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,240,,,,,
140001143,754012,,-1,240,10,450000,39600,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,240,,,,,
140001144,755006,,-1,240,10,525000,32400,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,240,,,,,
140001145,756002,,-1,240,10,525000,32400,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,240,,,,,
140001146,755004,,-1,240,10,475000,48000,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,240,,,,,
140001147,756004,,-1,240,10,475000,48000,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,240,,,,,
140001148,755007,,-1,240,10,440000,31500,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,240,,,,,
140001149,756006,,-1,240,10,450000,39600,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,240,,,,,
140001150,751003,,-1,260,10,1050000,64800,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,260,,,,,
140001151,751012,,-1,260,10,1050000,64800,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,260,,,,,
140001152,751006,,-1,260,10,890000,72000,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,260,,,,,
140001153,751013,,-1,260,10,880000,63000,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,260,,,,,
140001154,751010,,-1,260,10,890000,72000,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,260,,,,,
140001155,751011,,-1,260,10,900000,79200,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,260,,,,,
140001156,752001,,-1,260,10,1050000,64800,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,260,,,,,
140001157,752010,,-1,260,10,1050000,64800,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,260,,,,,
140001158,752013,,-1,260,10,900000,79200,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,260,,,,,
140001159,752014,,-1,260,10,890000,72000,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,260,,,,,
140001160,752014,,-1,260,10,890000,72000,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,260,,,,,
140001161,752005,,-1,260,10,890000,72000,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,260,,,,,
140001162,753014,,-1,260,10,890000,72000,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,260,,,,,
140001163,753008,,-1,260,10,1050000,64800,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,260,,,,,
140001164,753002,,-1,260,10,890000,72000,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,260,,,,,
140001165,753010,,-1,260,10,880000,63000,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,260,,,,,
140001166,753006,,-1,260,10,950000,96000,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,260,,,,,
140001167,753009,,-1,260,10,900000,79200,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,260,,,,,
140001168,754013,,-1,260,10,1050000,64800,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,260,,,,,
140001169,754008,,-1,260,10,1050000,64800,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,260,,,,,
140001170,754006,,-1,260,10,890000,72000,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,260,,,,,
140001171,654015,,-1,260,10,950000,96000,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,260,,,,,
140001172,754014,,-1,260,10,880000,63000,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,260,,,,,
140001173,754012,,-1,260,10,900000,79200,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,260,,,,,
140001174,755006,,-1,260,10,1050000,64800,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,260,,,,,
140001175,756002,,-1,260,10,1050000,64800,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,260,,,,,
140001176,755004,,-1,260,10,950000,96000,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,260,,,,,
140001177,756004,,-1,260,10,950000,96000,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,260,,,,,
140001178,755007,,-1,260,10,880000,63000,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,260,,,,,
140001179,756006,,-1,260,10,900000,79200,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,260,,,,,
140001180,751003,,-1,280,10,1575000,97200,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,280,,,,,
140001181,751012,,-1,280,10,1575000,97200,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,280,,,,,
140001182,751006,,-1,280,10,1335000,108000,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,280,,,,,
140001183,751013,,-1,280,10,1320000,94500,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,280,,,,,
140001184,751010,,-1,280,10,1335000,108000,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,280,,,,,
140001185,751011,,-1,280,10,1350000,118800,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,280,,,,,
140001186,752001,,-1,280,10,1575000,97200,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,280,,,,,
140001187,752010,,-1,280,10,1575000,97200,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,280,,,,,
140001188,752013,,-1,280,10,1350000,118800,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,280,,,,,
140001189,752014,,-1,280,10,1335000,108000,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,280,,,,,
140001190,752014,,-1,280,10,1335000,108000,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,280,,,,,
140001191,752005,,-1,280,10,1335000,108000,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,280,,,,,
140001192,753014,,-1,280,10,1335000,108000,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,280,,,,,
140001193,753008,,-1,280,10,1575000,97200,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,280,,,,,
140001194,753002,,-1,280,10,1335000,108000,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,280,,,,,
140001195,753010,,-1,280,10,1320000,94500,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,280,,,,,
140001196,753006,,-1,280,10,1425000,144000,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,280,,,,,
140001197,753009,,-1,280,10,1350000,118800,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,280,,,,,
140001198,754013,,-1,280,10,1575000,97200,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,280,,,,,
140001199,754008,,-1,280,10,1575000,97200,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,280,,,,,
140001200,754006,,-1,280,10,1335000,108000,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,280,,,,,
140001201,654015,,-1,280,10,1425000,144000,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,280,,,,,
140001202,754014,,-1,280,10,1320000,94500,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,280,,,,,
140001203,754012,,-1,280,10,1350000,118800,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,280,,,,,
140001204,755006,,-1,280,10,1575000,97200,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,280,,,,,
140001205,756002,,-1,280,10,1575000,97200,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,280,,,,,
140001206,755004,,-1,280,10,1425000,144000,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,280,,,,,
140001207,756004,,-1,280,10,1425000,144000,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,280,,,,,
140001208,755007,,-1,280,10,1320000,94500,1,1,1,1,,100,200,0,0,0,0,0,0,0,0,0,0,0,,280,,,,,
