id,partner_link,skin,name,lv,grade,hp,atk,hpP,atkP,armP,spdP,energy_ex,hit,miss,crit,unCrit,critTime,unfree,free,allDmgRate,allHarmDec,sklP,decDmg,brk,trueAtk,is_boss,lv_show,scale,is_player_use,skill,equip_6,exskill,is_real_boss
1700101,751004,7101,-1,250,10,98000,1000,,,3,1,,1000,0,0,0,0,0,800,0,0,0,0,0,0,0,250,,,,,,
1700102,751009,7102,-1,250,10,98000,1000,,,3,1,,1000,0,0,0,0,0,800,0,0,0,0,0,0,0,250,,,,,,
1700103,756004,7103,-1,250,10,98000,1000,,,3,1,,1000,0,0,0,0,0,800,0,0,0,0,0,0,0,250,,,,,,
1700104,751012,7104,-1,250,10,98000,1000,,,3,1,,1000,0,0,0,0,0,800,0,0,0,0,0,0,0,250,,,,,,
1700105,751002,7105,-1,250,10,98000,1000,,,3,1,,1000,0,0,0,0,0,800,0,0,0,0,0,0,0,250,,,,,,
1700106,752007,7106,-1,250,10,98000,1000,,,3,1,,1000,0,0,0,0,0,800,0,0,0,0,0,0,0,250,,,,,,
1700107,755006,7107,-1,250,10,98000,1000,,,3,1,,1000,0,0,0,0,0,800,0,0,0,0,0,0,0,250,,,,,,
1700108,752001,7108,-1,250,10,98000,1000,,,3,1,,1000,0,0,0,0,0,800,0,0,0,0,0,0,0,250,,,,,,
1700109,751011,7109,-1,250,10,98000,1000,,,3,1,,1000,0,0,0,0,0,800,0,0,0,0,0,0,0,250,,,,,,
1700110,752011,7110,-1,250,10,98000,1000,,,3,1,,1000,0,0,0,0,0,800,0,0,0,0,0,0,0,250,,,,,,
1700111,753011,7111,-1,250,10,98000,1000,,,3,1,,1000,0,0,0,0,0,800,0,0,0,0,0,0,0,250,,,,,,
1700112,755003,7112,-1,250,10,98000,1000,,,3,1,,1000,0,0,0,0,0,800,0,0,0,0,0,0,0,250,,,,,,
1700113,756003,7113,-1,250,10,98000,1000,,,3,1,,1000,0,0,0,0,0,800,0,0,0,0,0,0,0,250,,,,,,
1700114,751008,7114,-1,250,10,98000,1000,,,3,1,,1000,0,0,0,0,0,800,0,0,0,0,0,0,0,250,,,,,,
1700115,752012,7115,-1,250,10,98000,1000,,,3,1,,1000,0,0,0,0,0,800,0,0,0,0,0,0,0,250,,,,,,
1700116,755005,7116,-1,250,10,9800000,50000,,,3,1,,1000,0,0,0,0,0,800,0,0,0,0,0,0,0,250,,,,,,
1700117,753012,7117,-1,250,10,98000,1000,,,3,1,,1000,0,0,0,0,0,800,0,0,0,0,0,0,0,250,,,,,,
1700118,755006,7118,-1,250,10,98000,1000,,,3,1,,1000,0,0,0,0,0,800,0,0,0,0,0,0,0,250,,,,,,
1700119,756006,7119,-1,250,10,98000,1000,,,3,1,,1000,0,0,0,0,0,800,0,0,0,0,0,0,0,250,,,,,,
1700120,751001,7120,-1,250,10,98000,1000,,,3,1,,1000,0,0,0,0,0,800,0,0,0,0,0,0,0,250,,,,,,
1700121,755004,7121,-1,250,10,98000,1000,,,3,1,,1000,0,0,0,0,0,800,0,0,0,0,0,0,0,250,,,,,,
1700122,754011,7122,-1,250,10,98000,100,,,3,1,,1000,0,0,0,0,0,800,0,0,0,800,0,0,0,250,,,,,,
1700123,753009,7123,-1,250,10,98000,1000,,,3,1,,1000,0,0,0,0,0,800,0,0,0,0,0,0,0,250,,,,,,
1700124,751004,7124,-1,250,10,98000,1000,,,3,1,,1000,0,0,0,0,0,800,0,0,0,0,0,0,0,250,,,,,,
