id,partner_link,skin,name,lv,grade,hp,atk,hpP,atkP,armP,spdP,energy_ex,miss,hit,crit,critTime,sklP,decDmg,free,brk,trueAtk,is_boss,lv_show,scale,is_player_use,skill,equip_6,exskill
22010307,751010,,-1,300,10,,,3.2,2.5,1.6,2.8,,200,200,300,300,200,0,340,100,0,,300,,,,,0|0|0|0
22010308,754012,,-1,300,10,,,3.2,2.5,1.6,2.8,,200,200,300,300,200,0,340,100,0,,300,,,,,0|0|0|0
22010309,754017,,-1,300,10,,,3.2,2.5,1.6,2.8,,200,200,300,300,200,0,340,100,0,,300,,,,,0|0|0|0
22010310,752016,,-1,300,10,,,3.2,2.5,1.6,2.8,,200,200,300,300,200,0,340,100,0,,300,,,,,0|0|0|0
22010311,752006,,-1,300,10,,,3.2,2.5,1.6,2.8,,200,200,300,300,200,100,340,100,0,,300,,,,,0|0|0|0
22010312,756007,,-1,300,10,,,3.2,2.5,1.6,2.8,,200,200,300,300,200,0,340,100,0,,300,,,,,0|0|0|0
22010401,753010,,-1,350,10,,,4.5,3,2,3.2,,300,250,400,400,300,200,410,200,0,,350,,,,,0|0|0|0
22010402,752015,,-1,350,10,,,5,3,2,3.2,,300,250,400,400,300,0,410,200,0,,350,,,,,0|0|0|0
22010403,755006,,-1,350,10,,,4.5,3,2,3.2,,300,250,400,400,300,100,410,200,0,,350,,,,,0|0|0|0
22010404,754012,,-1,350,10,,,4,3,2,3.2,,300,250,400,400,300,200,410,200,0,,350,,,,,0|0|0|0
22010405,756007,,-1,350,10,,,4.5,3.5,2,3.2,,300,250,400,400,300,0,410,200,0,,350,,,,,0|0|0|0
22010406,754017,,-1,350,10,,,4,3,2,3.2,,300,250,400,400,300,200,410,200,0,,350,,,,,0|0|0|0
22010407,756003,,-1,350,10,,,5,3,2,3.2,,300,250,400,400,300,0,410,200,0,,350,,,,,0|0|0|0
22010501,755008,,-1,400,10,,,5,4.5,2.8,3.6,,400,300,500,500,400,0,480,300,0,,400,,,,,5|5|5|5
22010502,751016,,-1,400,10,,,5,3.5,2.5,3.6,,400,300,500,700,400,0,580,300,0,,400,,,,,5|5|5|5
22010503,752016,,-1,400,10,,,5.5,3.5,2.8,3.6,,400,300,500,500,400,0,480,300,0,,400,,,,,5|5|5|5
22010504,755006,,-1,400,10,,,6,3.5,2.5,3.6,,400,300,500,600,400,0,580,300,0,,400,,,,,5|5|5|5
22010505,756007,,-1,400,10,,,6,4,2.8,3.6,,400,300,500,500,400,0,480,300,0,,400,,,,,5|5|5|5
22020101,751003,,-1,200,10,,,2,1.5,1,2,,0,150,200,200,100,0,0,0,0,,200,,,,,0|0|0|0
22020102,753007,,-1,200,10,,,2,1.5,1,2,,0,150,200,200,100,0,0,0,0,,200,,,,,0|0|0|0
22020103,752004,,-1,200,10,,,2,1.5,1,2,,0,150,200,200,100,0,0,0,0,,200,,,,,0|0|0|0
22020104,753003,,-1,200,10,,,2,1.5,1,2,,0,150,200,200,100,0,0,0,0,,200,,,,,0|0|0|0
22020105,754007,,-1,200,10,,,2,1.5,1,2,,0,150,200,200,100,0,0,0,0,,200,,,,,0|0|0|0
