id,exp,free_award,free_optional_award,paid_optional_award,paid_award
1,100,,1#4500000|9#4500000|26#500|27#60|216#30,1#4500000|9#4500000|26#500|27#60|216#30,29#1
2,200,,1#4500000|9#4500000|26#500|27#60|216#30,1#4500000|9#4500000|26#500|27#60|216#30,14#800
3,300,,1#4500000|9#4500000|26#500|27#60|216#30,1#4500000|9#4500000|26#500|27#60|216#30,36#2
4,400,,1#4500000|9#4500000|26#500|27#60|216#30,1#4500000|9#4500000|26#500|27#60|216#30,10#800
5,500,2#300,1#4500000|9#4500000|26#500|27#60|216#30,1#4500000|9#4500000|26#500|27#60|216#30,20#1|2#1000
6,600,,1#4500000|9#4500000|26#500|27#60|216#30,1#4500000|9#4500000|26#500|27#60|216#30,940002#20
7,700,,1#4500000|9#4500000|26#500|27#60|216#30,1#4500000|9#4500000|26#500|27#60|216#30,29#1
8,800,,1#4500000|9#4500000|26#500|27#60|216#30,1#4500000|9#4500000|26#500|27#60|216#30,14#800
9,900,,1#4500000|9#4500000|26#500|27#60|216#30,1#4500000|9#4500000|26#500|27#60|216#30,36#2
10,1000,29#4,1#4500000|9#4500000|26#500|27#60|216#30,1#4500000|9#4500000|26#500|27#60|216#30,10#800|2#1000
11,1100,,1#4500000|9#4500000|26#500|27#60|216#30,1#4500000|9#4500000|26#500|27#60|216#30,20#1
12,1200,,1#4500000|9#4500000|26#500|27#60|216#30,1#4500000|9#4500000|26#500|27#60|216#30,940002#20
13,1300,,1#4500000|9#4500000|26#500|27#60|216#30,1#4500000|9#4500000|26#500|27#60|216#30,29#1
14,1400,,1#4500000|9#4500000|26#500|27#60|216#30,1#4500000|9#4500000|26#500|27#60|216#30,14#800
15,1500,2#300,1#4500000|9#4500000|26#500|27#60|216#30,1#4500000|9#4500000|26#500|27#60|216#30,36#2|2#1000
16,1600,,1#4500000|9#4500000|26#500|27#60|216#30,1#4500000|9#4500000|26#500|27#60|216#30,10#800
17,1700,,1#4500000|9#4500000|26#500|27#60|216#30,1#4500000|9#4500000|26#500|27#60|216#30,20#1
18,1800,,1#4500000|9#4500000|26#500|27#60|216#30,1#4500000|9#4500000|26#500|27#60|216#30,940002#20
19,1900,,1#4500000|9#4500000|26#500|27#60|216#30,1#4500000|9#4500000|26#500|27#60|216#30,29#1
20,2000,36#10,1#4500000|9#4500000|26#500|27#60|216#30,1#4500000|9#4500000|26#500|27#60|216#30,14#800|2#1000
21,2100,,1#4500000|9#4500000|26#500|27#60|216#30,1#4500000|9#4500000|26#500|27#60|216#30,36#2
22,2200,,1#4500000|9#4500000|26#500|27#60|216#30,1#4500000|9#4500000|26#500|27#60|216#30,10#800
23,2300,,1#4500000|9#4500000|26#500|27#60|216#30,1#4500000|9#4500000|26#500|27#60|216#30,20#1
24,2400,,1#4500000|9#4500000|26#500|27#60|216#30,1#4500000|9#4500000|26#500|27#60|216#30,940002#20
25,2500,2#300,1#4500000|9#4500000|26#500|27#60|216#30,1#4500000|9#4500000|26#500|27#60|216#30,29#1|2#1000
26,2600,,1#4500000|9#4500000|26#500|27#60|216#30,1#4500000|9#4500000|26#500|27#60|216#30,14#800
27,2700,,1#4500000|9#4500000|26#500|27#60|216#30,1#4500000|9#4500000|26#500|27#60|216#30,36#2
28,2800,,1#4500000|9#4500000|26#500|27#60|216#30,1#4500000|9#4500000|26#500|27#60|216#30,10#800
29,2900,,1#4500000|9#4500000|26#500|27#60|216#30,1#4500000|9#4500000|26#500|27#60|216#30,20#1
30,3000,20#5,1#4500000|9#4500000|26#500|27#60|216#30,1#4500000|9#4500000|26#500|27#60|216#30,940002#20|2#1000
