id,damage_to_boss,rewards_1,rewards_2,rewards_3,rewards_4,rewards_on_account_1,rewards_on_account_2,rewards_on_account_3,rewards_on_account_4,rewards_icon_effect
1,20000,1#100000|15#235,1#100000|15#235,1#100000|15#237,1#100000|15#237,1#100000|15#235,1#100000|15#235,1#100000|15#237,1#100000|15#237,texiao01|texiao02
2,80000,1#200000|15#470,1#200000|15#470,1#200000|15#474,1#200000|15#474,1#100000|15#235$1#100000|15#235,1#100000|15#235$1#100000|15#235,1#100000|15#237$1#100000|15#237,1#100000|15#237$1#100000|15#237,texiao01|texiao02
3,200000,1#300000|15#705,1#300000|15#705,1#300000|15#711,1#300000|15#711,1#100000|15#235$1#100000|15#235$1#100000|15#235,1#100000|15#235$1#100000|15#235$1#100000|15#235,1#100000|15#237$1#100000|15#237$1#100000|15#237,1#100000|15#237$1#100000|15#237$1#100000|15#237,texiao01|texiao02
4,440000,1#400000|15#940,1#400000|15#940,1#400000|15#948,1#400000|15#948,1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235,1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235,1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237,1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237,texiao03|texiao04
5,920000,1#500000|15#1175,1#500000|15#1175,1#500000|15#1185,1#500000|15#1185,1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235,1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235,1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237,1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237,texiao03|texiao04
6,1880000,1#600000|15#1410,1#600000|15#1410,1#600000|15#1422,1#600000|15#1422,1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235,1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235,1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237,1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237,texiao03|texiao04
7,3800000,1#700000|15#1645,1#700000|15#1645,1#700000|15#1659,1#700000|15#1659,1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235,1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235,1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237,1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237,texiao03|texiao04
8,7640000,1#800000|15#1880,1#800000|15#1880,1#800000|15#1896,1#800000|15#1896,1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235,1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235,1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237,1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237,texiao05|texiao06
9,15320000,1#900000|15#2120,1#900000|15#2120,1#900000|15#2138,1#900000|15#2138,1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#240,1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#240,1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#242,1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#242,texiao05|texiao06
10,30680000,1#100000|15#2360,1#100000|15#2360,1#1000000|15#2380,1#1000000|15#2380,1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#240$1#100000|15#240,1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#240$1#100000|15#240,1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#242$1#100000|15#242,1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#242$1#100000|15#242,texiao05|texiao06
11,61400000,1#1200000|15#2600,1#1200000|15#2600,1#1200000|15#2622,1#1200000|15#2622,1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#240$1#100000|15#240$1#200000|15#240,1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#235$1#100000|15#240$1#100000|15#240$1#200000|15#240,1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#242$1#100000|15#242$1#200000|15#242,1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#237$1#100000|15#242$1#100000|15#242$1#200000|15#242,texiao05|texiao06
