id,boss_id,type,stage_belong,offsetX,offsetY
1,1,1,0,478,1038
2,1,0,2,440.5,1108
3,1,0,2,385,1090
4,1,2,2,288,998
5,1,0,3,241,1093
6,1,0,3,159,1093
7,1,0,3,100,1074
8,1,3,3,33,939
9,1,0,4,114.5,986.5
10,1,0,4,134,941
11,1,0,4,205,920
12,1,4,4,259.5,827
13,1,0,5,339,933.5
14,1,0,5,420,941
15,1,0,5,522,936
16,1,5,5,553,882
17,1,0,6,634,877
18,1,0,6,615,796
19,1,0,6,538,760
20,1,6,6,444,677.5
21,1,0,7,387,751
22,1,0,7,296,724
23,1,7,7,226,610.5
24,1,0,8,313,616
25,1,0,8,410,616
26,1,0,8,487,591
27,1,8,8,497,464.5
28,1,0,9,437,490
29,1,0,9,383,407
30,2,1,0,161,949
31,2,0,2,244.5,1007
32,2,0,2,310.5,987
33,2,0,2,376.5,967
34,2,2,2,425,864
35,2,0,3,511.5,912
36,2,0,3,571.5,885
37,2,0,3,606.5,842
38,2,3,3,599,724
39,2,0,4,566.5,767
40,2,0,4,526.5,732
41,2,0,4,456.5,722
42,2,4,4,382,632
43,2,0,5,330.5,686
44,2,0,5,271.5,657
45,2,0,5,192.5,652
46,2,5,5,103,568
47,2,0,6,174.5,612
48,2,0,6,228.5,597
49,2,0,6,282.5,590
50,2,6,6,320,503
51,2,0,7,395.5,574
52,2,0,7,453.5,572
53,2,0,7,511.5,567
54,2,7,7,553,480
55,2,0,8,526.5,519
56,2,0,8,461.5,512
57,2,8,8,385,438
58,2,0,9,346.5,502
