id,item,cost,desc,rank,group
1,6237#1,170#80,-1,1,1
2,6503#1,170#80,-1,2,1
3,6239#1,170#80,-1,3,1
4,6238#1,170#80,-1,4,1
5,6509#1,170#80,-1,5,1
6,6629#1,170#80,-1,6,1
7,6635#1,170#80,-1,7,1
8,6641#1,170#80,-1,8,1
9,6515#1,170#80,-1,10,2
10,6240#1,170#80,-1,11,2
11,6527#1,170#80,-1,12,2
12,6521#1,170#80,-1,13,2
13,6241#1,170#80,-1,14,2
14,6242#1,170#80,-1,15,2
15,6647#1,170#80,-1,16,2
16,6653#1,170#80,-1,17,2
17,6659#1,170#80,-1,18,2
18,6243#1,170#80,-1,21,3
19,6533#1,170#80,-1,22,3
20,6245#1,170#80,-1,23,3
21,6244#1,170#80,-1,24,3
22,6539#1,170#80,-1,25,3
23,6665#1,170#80,-1,26,3
24,6671#1,170#80,-1,27,3
25,6677#1,170#80,-1,28,3
26,6545#1,170#80,-1,29,4
27,6246#1,170#80,-1,30,4
28,6557#1,170#80,-1,31,4
29,6551#1,170#80,-1,32,4
30,6563#1,170#80,-1,33,4
31,6683#1,170#80,-1,34,4
32,6247#1,170#80,-1,35,4
33,6248#1,170#80,-1,36,4
34,6599#1,170#80,-1,37,5
35,6617#1,170#80,-1,38,5
36,6611#1,170#80,-1,39,5
37,6605#1,170#80,-1,40,5
38,6623#1,170#80,-1,41,5
39,6695#1,170#80,-1,42,5
40,6249#1,170#80,-1,43,5
41,6419#1,170#80,-1,44,5
42,6569#1,170#80,-1,45,6
43,6587#1,170#80,-1,46,6
44,6581#1,170#80,-1,47,6
45,6575#1,170#80,-1,48,6
46,6593#1,170#80,-1,49,6
47,6689#1,170#80,-1,50,6
48,6250#1,170#80,-1,51,6
49,6425#1,170#80,-1,52,6
50,6479#1,170#80,-1,9,1
51,6491#1,170#80,-1,19,2
52,6467#1,170#80,-1,20,2
