id,partner,unknown_3,name,desc,is_exskill,sub_skill,trigger,is_pass,is_unseal,is_cost_energy,is_add_energy,target1,rand1,effect1,effect1_add,no_crit1,no_miss1,no_act1,fx1,fx_hurt1,fx_hurt1_add,target2,rand2,effect2,no_crit2,not_miss2,fx_hurt2,target3,rand3,effect3,no_crit3,not_miss3,fx_hurt3,attr_pas,jump,jump_pos_xy,icon_id,level,sound,shake_screen,hero_pos_type,hero_pos_type_xy,shake_screen_time,black_screen,animation,skill_effect,target_no_effect
753016015,-1,-1,-1,,1,0,3,0,,,,13,,1019872|1426001,,,,,,1538|1539#1554|1555#1604|1605,,3,,1425008,,,,95,,1014088|1013171,,,,,,,skill_icon_5301601,5,1154,,,,,1#1,,,
753016021,-1,-1,-1,,1,0,28,1,,,,1,,1029169|1014091|1276009|1004201,,,,,,,,,,,,,,,,,,,,1,,,skill_icon_5301602,1,,,,,,,,,
753016022,-1,-1,-1,,1,0,28,1,,,,1,,1029169|1014091|1276009|1004202,,,,,,,,,,,,,,,,,,,,1,,,skill_icon_5301602,2,,,,,,,,,
753016023,-1,-1,-1,,1,0,28,1,,,,1,,1029170|1014091|1276009|1004203,,,,,,,,,,,,,,,,,,,,1,,,skill_icon_5301602,3,,,,,,,,,
753016024,-1,-1,-1,,1,0,28,1,,,,1,,1029170|1014091|1276009|1004204,,,,,,,,,,,,,,,,,,,,1,,,skill_icon_5301602,4,,,,,,,,,
753016025,-1,-1,-1,,1,0,28,1,,,,1,,1029171|1014091|1276009|1004205,,,,,,,,,,,,,,,,,,,,1,,,skill_icon_5301602,5,,,,,,,,,
753016031,-1,-1,-1,,1,0,2,1,,,,1,,1424003,,,,,,,,2,,1406016,,,,88,3,1425009|1014094,,,,,,,skill_icon_5301603,1,,,,,,,,,
753016032,-1,-1,-1,,1,0,2,1,,,,1,,1424003,,,,,,,,2,,1406016,,,,88,3,1425010|1014094,,,,,,,skill_icon_5301603,2,,,,,,,,,
753016033,-1,-1,-1,,1,0,2,1,,,,1,,1424003,,,,,,,,2,,1406016,,,,88,3,1425011|1014094,,,,,,,skill_icon_5301603,3,,,,,,,,,
753016034,-1,-1,-1,,1,0,2,1,,,,1,,1424003,,,,,,,,2,,1406016,,,,88,3,1425012|1014094,,,,,,,skill_icon_5301603,4,,,,,,,,,
753016035,-1,-1,-1,,1,0,2,1,,,,1,,1424003,,,,,,,,2,,1406017,,,,88,3,1425013|1014094,,,,,,,skill_icon_5301603,5,,,,,,,,,
753016041,-1,-1,-1,,1,75301605|75301608|75301607,35,1,,,,1,,1426001,,,,,,,,99,,1426001,,,,,,,,,,,,,skill_icon_5301604,1,,,,,,,,,
75301608,-1,-1,-1,-1,,0,106,1,,,,100,,1191021|1427003,,,,,,,,99,,1426001,,,,,,,,,,,,,,,,,,,,,,,
753016042,-1,-1,-1,,1,75301605|75301609|75301607,35,1,,,,1,,1426001,,,,,,,,99,,1426001,,,,,,,,,,,,,skill_icon_5301604,2,,,,,,,,,
75301609,-1,-1,-1,-1,,0,106,1,,,,100,,1191022|1427003,,,,,,,,99,,1426001,,,,,,,,,,,,,,,,,,,,,,,
753016043,-1,-1,-1,,1,75301605|75301610|75301607,35,1,,,,1,,1426001,,,,,,,,99,,1426001,,,,,,,,,,,,,skill_icon_5301604,3,,,,,,,,,
75301610,-1,-1,-1,-1,,0,106,1,,,,100,,1191023|1427004,,,,,,,,99,,1426001,,,,,,,,,,,,,,,,,,,,,,,
753016044,-1,-1,-1,,1,75301605|75301611|75301607,35,1,,,,1,,1426001,,,,,,,,99,,1426001,,,,,,,,,,,,,skill_icon_5301604,4,,,,,,,,,
75301611,-1,-1,-1,-1,,0,106,1,,,,100,,1191024|1427004,,,,,,,,99,,1426001,,,,,,,,,,,,,,,,,,,,,,,
753016045,-1,-1,-1,,1,75301605|75301612|75301607,35,1,,,,1,,1426001,,,,,,,,99,,1426001,,,,,,,,,,,,,skill_icon_5301604,5,,,,,,,,,
75301612,-1,-1,-1,-1,,0,106,1,,,,100,,1191025|1427005,,,,,,,,99,,1426001,,,,,,,,,,,,,,,,,,,,,,,
20210001,-1,-1,-1,-1,,0,28,1,1,,,2,,1154004,,,,,,,,,,,,,,,,,,,,,,,skill_icon_150,,,,,,,,,,
20210002,-1,-1,-1,-1,,0,28,1,1,,,2,,1154005,,,,,,,,,,,,,,,,,,,,,,,skill_icon_150,,,,,,,,,,
20210003,-1,-1,-1,-1,,0,28,1,1,,,2,,1154006,,,,,,,,,,,,,,,,,,,,,,,skill_icon_150,,,,,,,,,,
