id,name,pr_table_id,level,effect_show,effect
1,-1,757001,0,,crit#0|critTime#0|hit#0
2,-1,757001,10,crit#360,crit#360|critTime#0|hit#0
3,-1,757001,20,critTime#500,crit#360|critTime#500|hit#0
4,-1,757001,25,hit#400,crit#360|critTime#500|hit#400
5,-1,757001,30,crit#360,crit#720|critTime#500|hit#400
6,-1,757001,35,critTime#500,crit#720|critTime#1000|hit#400
7,-1,757001,40,hit#400,crit#720|critTime#1000|hit#800
8,-1,757002,0,,sklP#0|free#0|unfree#0
9,-1,757002,10,sklP#450,sklP#450|free#0|unfree#0
10,-1,757002,20,free#180,sklP#450|free#180|unfree#0
11,-1,757002,25,unfree#200,sklP#450|free#180|unfree#200
12,-1,757002,30,sklP#450,sklP#900|free#180|unfree#200
13,-1,757002,35,free#180,sklP#900|free#360|unfree#200
14,-1,757002,40,unfree#200,sklP#900|free#360|unfree#400
15,-1,757003,0,,crit#0|critTime#0|sklP#0
16,-1,757003,10,crit#300,crit#300|critTime#0|sklP#0
17,-1,757003,20,critTime#600,crit#300|critTime#600|sklP#0
18,-1,757003,25,sklP#200,crit#300|critTime#600|sklP#200
19,-1,757003,30,crit#300,crit#600|critTime#600|sklP#200
20,-1,757003,35,critTime#600,crit#600|critTime#1200|sklP#200
21,-1,757003,40,sklP#200,crit#600|critTime#1200|sklP#400
