name,desc,desc1
atk,攻击,攻击
hp,血量,血量
arm,护甲,护甲
spd,速度,速度
sklP,增加技能伤害率,增加技能伤害率
hit,命中,命中
miss,闪避,闪避
crit,暴击,暴击
critTime,暴击伤害值,暴击伤害值
brk,破甲,破甲
free,免控率,免控率
trueAtk,神圣伤害,神圣伤害
energy,能量,能量
decDmg,减伤率,减伤率
stun,眩晕,眩晕（跳过出手）
ice,冰冻,冰冻（跳过出手）
stone,石化,石化（跳过出手）
forbid,禁魔,禁魔（不能技能）
hurt,直接伤害,直接伤害
dot,持续伤害,持续伤害（每回合掉血）
heal,直接回血,直接回血
hot,持续回血,持续回血（每回合回血）
healP,恢复%血量,恢复%血量
trueHurt,神圣伤害,神圣伤害
dotPoison,中毒,中毒
dotBlood,流血,流血
dotFire,燃烧,燃烧
atkP,攻击,攻击（按%加攻击）
hpP,血量,血量（按%加血量）
armP,护甲,护甲（按%加护甲）
addhurt,追加一击,追加一击
revive,,复活
siphonAtk,,百分比吸攻 
siphonHp,,百分比吸血
siphonArm,,百分比吸甲
shield,,抵消x%伤害
brier,,反伤x%伤害
rImpress,,回合印记
cImpress,,暴击印记
rImpressB,,回合印记爆炸
cImpressB,,暴击印记爆炸
fImpress,,闪电印记
oImpress,,观心者印记
weak,,虚弱
atkPos,,位置增加攻击率
hpPos,,位置增加血量率
armPos,,位置增加护甲率
spdPos,,位置增加速度
hitPos,,位置增加命中
missPos,,位置增加闪避
critPos,,位置增加暴击
critTimePos,,位置增加暴击伤害倍数
stunB,,眩晕伤害加成
iceB,,冰冻伤害加成
stoneB,,石化伤害加成
dotFireB,,燃烧伤害加成
dotPoisonB,,中毒伤害加成
dotBloodB,,流血伤害加成
zs,对战士伤害加成,对战士伤害加成
fs,对法师伤害加成,对法师伤害加成
ms,对牧师伤害加成,对牧师伤害加成
ck,对刺客伤害加成,对刺客伤害加成
yx,对游侠伤害加成,对游侠伤害加成
changeCombat,,改变普通攻击
fsStun,,对法师眩晕
fsDotBlood,,对法师流血伤害
zsIce,,对战士冰冻
zsStun,,对战士眩晕
zsForbid,,对战士禁魔
zsHurt,,对战士额外伤害
zsArmP,,对战士护甲率降低
ckStone,,对刺客石化
ckForbid,,对刺客禁魔
ckHurt,,对刺客额外伤害
msForbid,,对牧师禁魔
yxHurt,,对游侠额外伤害
yxAtkP,,对游侠攻击率降低
zsHpPO,,战士生命增加
zsAtkPO,,战士攻击增加
zsCritO,,战士暴击增加
zsMissO,,战士闪避增加
zsSklPO,,战士技能伤害增加
fsHpPO,,法师生命增加
fsAtkPO,,法师攻击增加
fsCritO,,法师暴击增加
fsHitO,,法师命中增加
fsSklPO,,法师技能伤害增加
ckHpPO,,刺客生命增加
ckCritTimeO,,刺客暴击伤害增加
ckCritO,,刺客暴击增加
ckBrkO,,刺客破甲增加
ckSklPO,,刺客技能伤害增加
yxHpPO,,游侠生命增加
yxAtkPO,,游侠攻击增加
yxMissO,,游侠闪避增加
yxHitO,,游侠命中增加
yxSklPO,,游侠技能伤害增加
msHpPO,,牧师生命增加
msMissO,,牧师闪避增加
msCritO,,牧师暴击增加
msSpdO,,牧师速度增加
msSklPO,,牧师技能伤害增加
ckStun,,对刺客眩晕
mhurt,,直接造成伤害（具体值） 魔兽主动技能配置
mdotFire,,持续造成伤害（火具体值） 魔兽主动技能配置
mdotPoison,,持续造成伤害（毒具体值） 魔兽主动技能配置
mdotBlood,,持续造成伤害（流血具体值） 魔兽主动技能配置
yxDotBlood,,对游侠流血伤害
phurt,,小于自身生命直接造成生命%的伤害（百分比） 主动技能配置
addHurtd,,对小于自己防御的英雄追加一击
zsDotFire,,对战士燃烧伤害
yxStun,,对游侠眩晕
fsForbid,,对法师禁魔
ckDotPoison,,对刺客中毒伤害
msStun,,对牧师眩晕
msDotFire,,对牧师燃烧伤害
zsSpdO,,战士速度增加
fsSpdO,,法师速度增加
ckSpdO,,刺客速度增加
ckAtkPO,,刺客攻击增加
yxSpdO,,游侠速度增加
msAtkPO,,牧师攻击增加
iceless,,免疫冰冻
stoneless,,免疫石化
stunless,,免疫眩晕
forbidless,,免疫禁魔
stunH,,血量不低于自己的目标眩晕
hurtH,,血量低于自己的目标额外伤害
msHurt,,对牧师额外伤害
forbidH,,血量不高于自己的目标禁魔
phurtH,,血量高于自己的目标额外造成该目标生命上限x%的伤害
