id,name,brief,desc
1,金币,货币,普通货币
2,钻石,货币,最有价值的稀缺货币
3,EXP,玩家经验,用于提升玩家等级
4,公会币,公会币,用于购买公会商店中的物品
5,公会经验,公会经验,用于提升公会等级
6,幸运币,幸运币,用于在许愿池的幸运商店中购买物品
7,灵魂石碎片,购买英雄货币,用于在祭坛的英雄商店中购买英雄
8,VIP经验,vip经验,
9,英魂,英雄升级经验,用于在英雄界面中提升英雄的等级
10,英雄进阶石,英雄进阶经验,用于在英雄界面中提升英雄的品阶
11,爱心,友情召唤货币,通过好友获赠获得，用于在召唤法阵进行友情召唤
12,抽卡保底能量,抽卡保底能量,
13,魔法水滴,体力物品,用于幻境之塔的战斗
14,魔法之尘,材料,用于在英雄界面中升级水晶
15,龙鳞币,试炼商店货币,用于在勇者的试炼商店购买物品
16,荣耀币,竞技场商店货币,用于在竞技场冠军的试炼商店中购买物品
17,竞技场宝箱,宝箱通过邮件自动打开,随机获得金币、英雄经验、英雄进阶石、传奇装备，英雄碎片等各种稀缺物品
18,魔法面包,体力物品,用于公会磨坊掠夺
19,先知的祝福,英雄置换材料,用于在先知之树中置换英雄
20,先知宝珠,先知之门召唤物品,可从先知之树中召唤至少4星品质的英雄或英雄碎片
21,Winner of King限定头像,特殊头像,好战者节日活动300胜奖励的特殊头像
22,红色1星神器宝箱,神器宝箱,购买后可随机获得1件红色1星神器
23,绿色1星神器宝箱,神器宝箱,购买后可随机获得1件绿色1星神器
24,基础酒馆任务卷轴,酒馆任务卷轴,在酒馆中使用后随机增加1个任务（1~4星），该任务若未执行，在酒馆任务重置后将会消失。
25,高级酒馆任务卷轴,酒馆任务卷轴,在酒馆中使用后随机增加1个任务（4~7星），该任务若未执行，在酒馆任务重置后将会消失。
26,恶魔之魂,魔兽材料,用于魔兽激活、升级以及进阶
27,混沌石,魔兽材料,用于魔兽体质升级
28,挑战徽章,破碎时空参赛凭证,参加破碎时空战斗会消耗挑战徽章
29,英雄许愿币,英雄许愿池参加凭证,每转一次高级大轮盘消耗一个英雄许愿币
30,“金龙”头像,特殊头像,订阅VIP获得的特殊头像
31,虚空之石,修建材料,家园修建所需材料
32,魂匣,英雄置换材料,用于10星英雄置换
33,基础召唤卷轴,召唤物品,用于在召唤法阵进行基础召唤
34,竞技场门票,竞技场参赛凭证,参加竞技场战斗会消耗门票
35,许愿币,许愿池参赌凭证,每转一次大轮盘消耗一个许愿币
36,英雄召唤卷轴,召唤物品,用于在召唤法阵进行高级召唤
930000,1星阿呆碎片,召唤英雄,凑齐5个碎片即可召唤该英雄
930001,1星黑暗教徒碎片,召唤英雄,凑齐5个碎片即可召唤该英雄
930002,1星发光体碎片,召唤英雄,凑齐5个碎片即可召唤该英雄
930003,1星老实人碎片,召唤英雄,凑齐5个碎片即可召唤该英雄
930004,1星伐木工碎片,召唤英雄,凑齐5个碎片即可召唤该英雄
930005,1星老矿工碎片,召唤英雄,凑齐5个碎片即可召唤该英雄
930006,1星小恶魔碎片,召唤英雄,凑齐5个碎片即可召唤该英雄
930007,1星火焰之子碎片,召唤英雄,凑齐5个碎片即可召唤该英雄
930008,1星熔岩甲虫碎片,召唤英雄,凑齐5个碎片即可召唤该英雄
930009,1星贝拉碎片,召唤英雄,凑齐5个碎片即可召唤该英雄
930010,1星侦察兵碎片,召唤英雄,凑齐5个碎片即可召唤该英雄
930011,1星水手碎片,召唤英雄,凑齐5个碎片即可召唤该英雄
930012,2星夏洛特碎片,召唤英雄,凑齐10个碎片即可召唤该英雄
930013,2星马克娜碎片,召唤英雄,凑齐10个碎片即可召唤该英雄
930014,2星骸骨射手碎片,召唤英雄,凑齐10个碎片即可召唤该英雄
930015,2星骸骨战士碎片,召唤英雄,凑齐10个碎片即可召唤该英雄
930016,2星灰袍法师碎片,召唤英雄,凑齐10个碎片即可召唤该英雄
930017,2星高塔守卫碎片,召唤英雄,凑齐10个碎片即可召唤该英雄
930018,2星地牢守卫碎片,召唤英雄,凑齐10个碎片即可召唤该英雄
930019,2星ZH-07碎片,召唤英雄,凑齐10个碎片即可召唤该英雄
930020,2星金角碎片,召唤英雄,凑齐10个碎片即可召唤该英雄
930021,2星银角碎片,召唤英雄,凑齐10个碎片即可召唤该英雄
