id,name,dialog,click_dialog1,click_dialog2,click_dialog3,click_dialog4,click_dialog5
11001,萌公主,直行、轉彎、加速衝刺和減速…滑雪的技巧我全部掌握呢！主人~一起來享受飛翔的樂趣吧~,沒有滑過雪的人生是不完整的！,嗖嗖嗖~我滑的比風還快~,快點滑！要雪崩啦~,論速度，誰能追得上我？,作為先鋒，我去前面探探路~
11002,文学少女,可以借一下你的大腿嗎？好困哦~這裡沒有床……睡這裡……好舒服~呼~~~主人，我可以一直躺在這裡嗎？,好困啊~已經到早上了嗎？嗯？已經到下午了呀~,睡吧~睡吧~我親愛的寶貝~呼~,沒有到吃飯時間不要叫我哦~,身體的部份……大概就是大腦和床……嗯……還有抱枕哦~,睡鼠……之前好像見過，那是什麽呢………………啊~又睡著了~
11003,香香,想這樣一直一直到永遠都被這樣看著，只看著我一個，只看到我一個。,阻礙我的人，必須殺掉！,世界只有你就可以了，其他的由我來破壞掉！,那個人已經死了哦，因為她接近你啊！,吶~永遠在一起吧！！,沒事的，主人，有我在，我會保護你的！
12001,小霹雳,主人！我是曹洪！有什麼需要儘管吩咐！,主人 需要什麼特殊服務嗎？,您要喝咖啡還是茶？,主人 被子已經幫您捂暖了~,主人 您的內衣已經洗好了~,主人 您在做什麽 那裡 不可以！
12002,乔月,在你被攻擊時我可以守護你，因為我的盾，是最堅硬的盾！可是如果主人的心被他人攻陷了…那我就…沒辦法了呢…,你要嘗試著攻破我的盾嗎？,最易攻破的是人心，最難攻破的也是人心。,按照攻擊屬性來變化特質。這都是科技的結晶。,盾……為了守護自己，可是心……要怎麼守護。,一直都是我在守護，何時能有人守護我呢？
12003,斗牛士,主人，你缺維生素嗎？讓我來好好為你補充能量吧！,最熟的果實總是長在最高的樹枝上,藍莓是一種優雅的水果，要來一份嗎？,牆那邊的蘋果最甜？對嗎，主人~,未成熟的果子，主人，你可千萬不許偷吃哦~,自己採摘的果實，才是最好吃的！
13001,巫眉,滋滋！跳躍成功！時空機器人，代號C204，來自2036年，請輸入您的指令！,【按摩】？抱歉，無法理解這條指令的含義！,【穿越時空】？抱歉，您的許可權不足！,電壓不足，主人，請不要使用110伏特的交流電為我充電,【Error】！【Error】！執行命令出錯，請重新輸入命令！,【hello world】
13002,皇姐,嘿嘿！不給糖，就搗亂！主人~你要是不給禮物~我就賴在你這兒不走了~,鬼魂、食屍鬼、巫婆、小妖精、僵屍、骷髏……哎呀，萬聖節前夜可不能亂出門,想看看帽子戲法嗎,害怕的話，就和我一起躲在床下吧！,主人，我忘記給您準備禮物了，要不，我把自己送給您吧,主人，魔法掃把，你要坐上來試試看嗎
13003,特工,你的恨意傳達給了我呢，那麼強烈的污濁的靈魂~挺有意思的呢~來吧，說說你要詛咒的人。,傳承……傳承巫術的力量……詛咒吧……詛咒所恨之人。,從出生開始……我好像就不知道……什麼是溫暖。,在離開了所有人之後，我發現一切都變得如此自由、輕鬆。,我不明白，人類為什麼要群聚……,沙漠啊~這可是我的第二個家呢。
14001,樱花,需要我為您搖一支籤嗎？好的哦~您猜搖出來的是什麼呢？唔~您的是大吉哦~只要是您搖的籤，都會是大吉呢！好奇怪哦？,大吉~您今年會一切順利哦~,搖啊搖啊搖~讓我看看你的未來哦~,請問您是想求愛情？財運？還是健康呢？,心誠則靈，來~默念您的心願~您的手中握著的就是您的未來哦~,左慈和師傅現在在哪里了呢？一個人在神社有點想他們了呢……
14002,运动员,你想與我的精靈夥伴們做朋友嗎？看，這是阿修，這是米拉……欸？你什麼都看不見嗎？真是可惜啊……,小心！你嚇到它了。……你問它是誰？當然是我的朋友啦,精靈們最近總是在說什麼找不到老婆，買不起住所這樣的事情呢。主人沒有這樣的困擾吧？,在叫我嗎？抱歉，有點不習慣……已經很久沒有人類來跟我說話了呢,主人，總是對著虛構的角色妄想，會被討厭的喔……精靈是這麼說的。,主人，一直吃你那些垃圾食品，會變成肥宅的喔……精靈是這麼說的。
14003,晚晚,嗚嗚嗚，采蘑菇的時候迷路了，主人，帶我回家吧~,采啊采啊采蘑菇，一顆兩顆三顆四顆五顆五顆五顆……,只要是我田裏面的植物，就一定會豐收的！因為我可是田豐！,三個黃的，半個綠的，一個花的…人家才不是在熬毒藥，只是能吃死人的美食啦,蘑菇是這個世上最好吃的食物！,媽媽一定告訴你，好看的蘑菇不要吃，像我這麼可愛的人，也不要碰！
21001,美工刀,學長……聽說你還缺個學妹保護？,探索未知，是人生最大的樂趣。,探險就像人生，你永遠不知道前方等待你的是什麽，但卻又不得不面對。,防風鏡、牛仔褲、皮外套，哦~簡直酷炫到爆炸！,聽說遙遠的地方有很多奇特的人和事，好想去看一看啊~,瞄準……發射……誒呀，射偏了。
21002,蝶衣,哎呀~好無聊呀，什麼時候才能痛痛快快的戰鬥一場！,為什麼老盯著人家的腿看？難道人家的錘子不吸引人嗎？,學長，讓人家來幫你錘煉一下抗擊打能力吧？,哎呀~學長您用的武器太輕啦！,我的武器在戰鬥時還從來沒有吃過虧呢！,沒有什麼問題是一記重擊不能解決的，如果有，那就兩記！
21003,糖果,這個世界也有那些無聊的規則嗎？嘻嘻嘻嘻……讓我幫你把那些束縛全都毀滅吧！,想知道囚牢的滋味嗎？要不要去體驗一下？會讓你終身難忘的喲~嘻嘻嘻嘻嘻嘻嘻……,嘻嘻嘻嘻……你知道再碰我的話會有什麼後果麼~,你要走了嗎？上課？那是什麼？這麼無聊的規則全都去死吧！,想不想讓我帶你也逃走呀，呐，這個充滿條條框框的世界到底有什麼好啊？,這個世界的人類與那個被囚禁的我有什麼區別？嘻嘻嘻嘻……真可憐~
21004,韦天,做我的主人？哈哈你可是個男人？算了~不妨試試看，如果你要是有我討厭的臭男人的氣質，那你可就死·定·了。,男人全都是變態，沒有特例！,安全感什麼的不需要依靠男人，手電筒才是王道。,斯托卡？哈哈……我跟你玩玩~,我最討厭的~就是你們這種色瞇瞇盯著人家看的怪·蜀·黍了~,該去儲備電池了~這可是人生中的第一等大事呢~
22001,文曲,請問……你可以當我的終身模特嗎？我一定會畫出主人最好的一面的哦~不對……主人是完美的呢。,一筆一筆的……畫出這個世界。,來，你來看這幅畫，這就是我夢想中的地方。,水彩不夠了，主人，可以陪我去買麼？,畫筆，可以創造出你想的東西哦~就像神一樣。,別動，我來給你畫一幅肖像畫哦~
22002,星芒,我的目標只有一個——殺死那個人!,有太多的羈絆只會讓自己迷惘，我要斬斷一切的羈絆。,我早就閉上了雙眼，我的目的只在黑暗之中！,我的道路上沒有未來，因為那並不存在！,果然，如果沒有力量，什麼事也辦不到！,你的光芒太過耀眼，讓我無法直視！
22003,手电筒,啊~主人，我好喜歡你~喜歡你用皮鞭，狠狠抽打我的感覺~啊~愛~,主人，使勁地踩我吧，讓我感受到您的愛~,主人，皮鞭，蠟燭，鐐銬，還不夠~還不夠~,啊，甜美的悲慘聲調~,只有疼痛，能讓我感受到，我，還活著！,人類，love~疼痛，love~love~love~love~
22004,剑道,哇哦~你還是第一個抓住我的人，技術不佳~技術不佳啊~,作為一名神偷，每天當然要做日常啦~啊~少女的胖次~,大人~您最近的零花錢好像有點花不掉呢~我就不客氣了哦~,不好意思~最近一個星期的生活費~就靠您啦~,哦~主人說的是那個大櫃子嗎~放在家裡太礙事了~我就幫您賣掉了,嗨~我可以偷取你的芳心嗎？不行？那我就不客氣了
23001,艾乾,你會玩悠悠球嗎？我來教你吧！我的悠悠球裏面藏著武器喔！很帥吧？,你在呀？來幫我測試下新發明的電擊槍,看我新學會的動作！很帥吧？,割到手了……痛痛痛……,右左右左右左……哎呀，搞砸了，乾脆做個會自己動的悠悠球好了,姐姐們用的武器都很棒呢，不過如果是我的話可以改造的更帥喔，嘿嘿~
23002,墨琴,喂~我是來報道的新生，有沒有冰激凌給我來一份？,小哥哥，來一份雷電球聖代嗎？,我會做很多種冰激凌給壞人吃哦！比如雷電聖代，雷電聖代，還有雷電聖代！,就是這樣，慢慢搓揉，慢慢搓揉，然後……摩擦生電！,啊~風和日麗的天氣真讓人討厭，好懷念那些雷雨交加的日子啊~,知識有什麽用嘛！真是的，爲什麽要送我來這麽熱的南方上學。
23003,云雀,哼！不要妨礙我的任務，不然……,甲賀流忍術，最強！,你可不是真田幸村，休想命令我,不相信自己的人 連努力的價值都沒有,忍者沒有逃跑，只有不停的戰鬥,只有鮮血能讓我興奮
23004,小医仙,哼，竟然被你發現了我的真身，看來我的影之術還需要多多練習,唔……誰允許你和我講話了？,本來會吞噬我的詛咒竟然會服從我，為我所用……很奇怪吧？,又被影子纏住了……拜託，救救我……,如果勤加練習，總有一天能夠完全掌握影之術……大概。,我可是來自沙漠的殺手喔！跟我說話你不覺得害怕嗎！
24001,独眼骑士,聖誕快樂~我是來給您送禮物的~等下~我不是禮物！主人，你不要對我做什麼奇怪的事！,主人，像您這樣的，一定收到很多禮物了吧！,我精心準備了份禮物，主人，來交換吧！,聖誕快樂！聖誕快樂！聖誕快樂！,睡覺前別忘了把襪子掛在床頭，我會來給主人發禮物的,掛臭襪子的，禮物通通沒有！
24002,巫女,我這麼聰明，你竟然不讓我來指揮作戰，真是笨笨笨笨笨笨笨笨死了,世間之人，皆為蠢材！,愚蠢的你們怎麼能知道我的深謀遠慮！,笨蛋笨蛋笨蛋！我才不要和笨蛋說話！,你這麼笨，在電視劇裏面只能活一集,什麼？竟然要我親自動手？打架可是笨蛋的事！
24003,大姐头,主人，不許動，您好髒！讓我來幫您清潔一下！,不要惹怒我，我可是有兩把刷子的！,電動牙刷無恥！為了討牙齒的歡心，居然不管電池的青春！,不管什麼污漬，只要加上洗滌劑刷一刷就白了！,哪裡來的鯊魚，髒死了，放開我的牙刷！,不愛衛生的笨蛋，都該扔進洗衣機好好攪拌下！
24004,百合,以後的校園生活中，還請學長多多關照。,筆走龍蛇，句雕風月。,水墨中的生靈啊，請聽從吾之召喚……,一山一世界，一筆一浮生。,未嘗知這浮生一片草，歲月便已催人老，這人生，終不過一笑塵緣了……,生靈，無處不在，即便是水墨之中，亦是如此。
31001,发牌姬,在今後的一段日子裏，我將會在陰影之中默默地守護著你。,陰影，是安全代名詞……,任何人，不得違反公會的規章條例，否則，死。,對付叛徒，我有很多種手段……,你在亂點什麽！我衹是暫時跟著你而已！,住手！再亂點的話，即便你是主人我會對你出手！
31002,喵姬,小兔子乖乖~把門開開~快點開開~我要進來~嘿嘿，進來之後，所有的蘿蔔都是我的了！,蘿蔔……好好吃，好好吃~主人，再來一根！,香香的，脆脆的，甜甜的~還不會長肉~,你掉的是這個胡蘿蔔，還是這根白蘿蔔呢~,唔唔唔~兔子好可愛，唔唔唔~但是為什麼要跟我搶胡蘿蔔QAQ,最喜歡的……胡蘿蔔……姑且大概可能還有孟獲……
31003,史派罗,小梨，小梨，小梨···沒有大梨，這些梨我就全收下了~~,下一站是購物中心，大家準備一下錢包~,大家依次跟著我的旗子走，不要掉隊了哦~,該次旅遊是由真誠，善良，體貼，可愛的本小姐帶團，大家只需一切聽我的安排即可~,這建築是300年前由著名建築大師...emm，大家還是自行領悟~,接下來的安排是水上...emm，有點餓了，那麼我們就去餐廳吧~
31004,关二姐,叮鈴鈴~叮鈴鈴~喵~誰在叫本大人？準備好午飯了嗎？本大人不想動，給本大人端過來~,貓兒才不會被人類馴服~我們可是高傲的神~,喵喵喵喵喵！毛線球真好玩~喵喵喵~,洗澡？！誰允許你對本大人做這麼過分的事！！造反啦！,愚蠢的人類誰讓你摸本大人的！哼~不過……還蠻舒服的……,不可能有人優雅過本大人~噢~那只喵那麼醜！摸她幹嘛！本大人在這裡呢！
31005,剑魔,不要貪刀，不要貪刀！說了多少遍了，貪心的人是用不了太刀的！知道了嗎，笨蛋。,吾刀，即榮耀,不要為明天憂慮，明天自有明天的憂慮,我的刀，於敵無情，於己亦是如此,害怕是活人的權利，而你，在面對我的那一刻就已經死了,戰場之上，求死者生
32001,龙马,此時此刻，我的演奏是最令人矚目的！,音樂的力量就是一種節奏，一種來自宇宙的節奏，真理就在其中！,當你的心靈深處真正感受到了音樂時，你的手也就會跟著動起來！,高明的演奏家，都如同我一般，渾身都是音樂！,能現場聆聽我的演奏會，是你至高無上的榮幸！,我的演奏會中不允許出現雜音，我將給與你嚴厲的懲罰！
