id,title,name,dialog,select_text
1,校慶特典,,幽夢學園建校一百多年，學園裡的教職工數量早就今非昔比了。,
2,,,近一年來就有許多新鮮血液注入，學園的力量也因此提升。,
3,,,叩叩叩！,
4,,千鶴子,是誰呀！,
5,,*,是我！千鶴子，你忘記今天是校慶日嗎？,
6,,千鶴子,哎呀！是學長啊，我怎麼會忘記呢，我老早就準備好等著你來接我去參加！,
7,,千鶴子,倒是你這麼晚才來，我差點就要自己一個人去了。,
8,,*,抱歉抱歉，因為是重大的日子啊，就思考了一下該穿什麼衣服去比較好。,
9,,千鶴子,你身上這套就是你思考後的結果？,
10,,*,是啊，怎麼樣，嘿嘿！,
11,,千鶴子,……蠻，蠻好看的……,
12,,*,你怎麼猶豫了一下，這是什麼意思？,
13,,千鶴子,哈哈，哎呀哎呀，只要是學長你喜歡就好了，幹嘛介意別人的眼光！好啦好啦，趕緊帶我去慶典吧！,
14,,*,好好好！,
15,,,我和千鶴子到達目的地，打開會場大門後，第一眼看到的就是站在一旁聊天的普羅米修斯和希爾柯蒂。,
16,,希爾柯蒂,……,
17,,普羅米修斯,我是不是嚇到你了，你用這種眼神看著我……對不起，我很可怕吧。,
18,,希爾柯蒂,沒，沒有沒有，我只是因為是第一次見到這種陰冷的冥火，所以有點好奇。,
19,,希爾柯蒂,我不應該這樣盯著你看的，是不是讓你不舒服了……,
20,,普羅米修斯,沒關係的，我已經習慣了。,
21,,希爾柯蒂,我有點在意……普羅米修斯老師的身體為什麼會變成這樣呢？,
22,,希爾柯蒂,當然，如果你不想說的話，可以不用回答我……,
23,,普羅米修斯,也不是不能說的事，我只是受到了神罰。,
24,,希爾柯蒂,神罰？神明也會受到神罰嗎？,
25,,普羅米修斯,神明之上還有神明……我盜取了神王的東西，用到了她不允許的地方……,
26,,希爾柯蒂,欸？偷東西、偷東西是不對的……但普羅米修斯老師這麼做，一定有苦衷吧？,
27,,普羅米修斯,……,
28,,普羅米修斯,神王的威嚴是不可侵犯的，我擅自忤逆她的意思，才變成了這樣……,
29,,普羅米修斯,所以我也不會有什麼抱怨的……,
30,,*,你們在說什麼呢？這麼開心的日子，你們的話題聽起來怎麼這麼沉重啊。,
31,,希爾柯蒂,欸，學長，你終於來了呀。,
32,,千鶴子,希爾柯蒂同學，普羅米修斯老師，你們好哦！,
33,,普羅米修斯,學長，千鶴子同學，你們終於來了，魯班學姐說是等你們到場，所以一直不肯開始開場的發言呢。,
34,,千鶴子,都怪學長，說是為了慶典特別挑了衣服，結果花了這麼多的時間！,
35,,*,哈哈哈，不好意思啦。,
36,,*,不過你們剛剛怎麼說起這種東西來了。,
37,,普羅米修斯,……,
38,,希爾柯蒂,哎哎哎，是我非要問普羅米修斯那些不開心的事情啦。不說了不說了。,
39,,希爾柯蒂,不說這個的話，那學長你可以給我們講一下，幽夢學園以前的故事嗎？,
40,,*,這種事我知道的也不是全部，這種事應該聽聽那些元老級別的女武神說才有意思！,
41,,巴妮拉,欸欸？是誰在叫女武神……,
42,,魯班,女武神？……啊，是那個呆頭鵝！他這小子終於來囉。,
43,,巴妮拉,你現在可以開始慶典了吧？,
44,千鶴子想喝酒,魯班,咳咳，各位各位！,
45,,魯班,今天呢，是我們學園的慶典哦，為了犒勞大家最近一年的辛苦，所以我和諸葛亮她們提議，,
46,,魯班,一定要創造機會給大家一個放鬆的機會，所以大家今天才能聚在這裡哦！,
47,,千鶴子,學長，魯班學姐講話了！,
48,,魯班,宴會廳現在吃的喝的玩的應有盡有，,
49,,魯班,飲料區，餐區都無限量供應哦~呂蒙同學還在遊戲區準備了點小遊戲，大家要記得去捧場！,
50,,*,遊戲區？聽起來好有意思哦，會有什麼遊戲呢？,
51,,千鶴子,學長果然對玩最感興趣了……,
52,,*,嘿嘿，玩遊戲有益身心健康！,
53,,魯班,飲料區由赫爾墨斯負責、張飛同學負責自助餐區，把你們的口腹之欲交給她們吧！,
54,,魯班,另外，千萬別客氣，今天吃喝都無限量供應哈哈哈！,
55,,諸葛亮,什麼什麼，我什麼時候答應過無限供應了，到時候張飛和赫爾墨斯找我要帳單怎麼辦啊……,
56,,魯班,總而言之呢，各位同學，一定要在今天玩得盡興才行哦！,
57,,千鶴子,哇，那酒水也可以暢飲嗎！,
58,,*,千鶴子你怎麼忽然這麼興奮……你該不會是想喝酒吧，可你別忘了泉惠婆婆可是讓我好好照顧你的……,
59,,*,你還沒到可以喝酒的年紀呢！,
60,,千鶴子,哎呀，學長，我可是喝過酒的，泉惠婆婆她們還說我是天生小酒鬼呢。,
61,,*,真的？我才不信呢，你該不是為了喝酒才騙人吧。,
62,,千鶴子,不信的話，赫爾墨斯小姐，你給我一杯酒我喝喝看，學長就會相信了吧！,
63,,赫爾墨斯,哈哈哈，小千鶴子你想喝酒呀？,
64,,千鶴子,嗯啊嗯啊！要多加紅糖！還有蜂蜜！,
65,,*,什麼？紅糖？蜂蜜？,
66,,千鶴子,是啊，甜酒釀超級好喝，我一次能喝好幾大碗呢！,
67,,*,喂喂喂，你在神社喝的酒，該不會指的就是甜酒釀吧？？,
68,,千鶴子,……不然呢……呀，學長你為什麼忽然笑了，有什麼好笑的？,
69,,*,沒，沒什麼，早說是那個啊~,
70,,赫爾墨斯,好啦好啦，難得的日子，就用低度數的酒精飲料給小千鶴子倒一個杯底，讓她舔一舔、嘗嘗味道怎麼樣？,
71,,*,那也不行！她只可以喝飲料！,
72,,千鶴子,啊，學長好小氣哦！……那有什麼好喝的飲料嗎？,
73,,赫爾墨斯,那就給你櫻花味的飲料怎麼樣？,
74,,千鶴子,櫻花味？這麼神奇的飲料，快讓我嘗一下吧。,
75,,赫爾墨斯,好好好~就給你倒一點，先讓你嘗嘗看。,
76,,赫爾墨斯,味道怎麼樣啊，這杯是櫻花味的，還符合你的口味吧？,
77,,千鶴子,唔唔唔，超級符合，就像沐浴了櫻花雨一樣，赫爾墨斯你好厲害呀~,
78,,千鶴子,但是這幾滴也太少了，能再給我多倒一點嗎，就一點點~,
79,,赫爾墨斯,哈哈，想喝的話，我就給你倒滿一杯吧。,
80,,千鶴子,……好香啊，讓我想到了神社裡的櫻花~,
81,,赫爾墨斯,喜歡就好哦。,
82,神的威嚴？,赫爾墨斯,說起來，我對你們那個禦晷大神的故事很有興趣哦。能給我講講嗎？,
83,,千鶴子,赫爾墨斯學姐對禦晷昭炎大神感興趣嗎！祂的故事我講個三天三夜也講不完的！不過，總而言之，,
84,,千鶴子,祂是我還有神宮裡所有人的心之所依，不不不，這樣說不準確，整個鶴華地區的人無不信奉禦晷昭炎大神！,
85,,千鶴子,沒有祂的保佑，我們這些渺小而無力的人一定會受苦的！,
86,,赫爾墨斯,哦？所以，即使祂讓你們赴湯蹈火也願意嗎？,
87,,千鶴子,赴湯蹈火？祂才不需要我們這些微弱的力量呢。,
88,,千鶴子,嘿嘿，不過祂在天有眼，如果有什麼需要我做的，我一定在所不辭啦！,
89,,赫爾墨斯,（唔，看來以神的名義確實很容易操控人的行為……）,
90,,千鶴子,啊，忽然好睏zzz，這個酒會為什麼非要在晚上開呢……在神社的時候，這個點大家早就睡了zzz……,
91,,*,欸，千鶴子你真是個，生理時鐘規律的小孩……等等，該不會是這杯櫻花味的飲料其實是酒吧？？,
92,,*,我看你啊，臉都開始紅了……,
93,,千鶴子,嘿嘿……,
94,,赫爾墨斯,不可能，我赫爾墨斯才不會給小孩子酒喝呢。學長，既然千鶴子睏了，就讓她在我這休息一會吧。,
95,,赫爾墨斯,小千鶴子，如果睏了，就在我的空沙發上睡一覺吧。,
96,,千鶴子,嘻嘻嘻zzz,
97,,赫爾墨斯,（人的虔誠之心真是個神奇的東西……是不是因為她們沒有能力，沒有自我才這麼虔誠，這麼服從呢？）,
98,,赫爾墨斯,（小聲）還想多問些關於禦晷大神的事情，想不到這小孩竟然睏了？,
99,,千鶴子,啊，好睏呀，赫爾墨斯小姐你的沙發真的可以借我一下嗎？Zz,
100,,*,啊！真是的……,
101,,赫爾墨斯,哎喲，只是小事情，我不介意這麼可愛的妹妹在我這裡睡覺呢哦,
102,,赫爾墨斯,學長，就讓她在我這裡休息一下吧。,
103,,千鶴子,嘿嘿，赫爾墨斯小姐真是大好人！,
104,,,說話間，千鶴子已經躺在赫爾墨斯身後的沙發上，呼呼大睡起來。,
105,,*,啊！怎麼這樣啊……我還得她醒過來才能去其他區域了。,
106,,赫爾墨斯,我幫你看著她就好了啊，你可以先去其他地方逛逛~,
107,,*,唔……也只好這樣……,
108,,赫爾墨斯,快去~別囉嗦啦。,
109,,,……,
110,,希爾柯蒂,普羅米修斯老師，你還想喝酒嗎？,
111,,普羅米修斯,不，不用了，喝得太多，我擔心身上的冥火不受控制，會嚇到大家。,
112,,希爾柯蒂,這樣啊，你總這樣忍耐壓抑，一定很辛苦吧？,
113,,普羅米修斯,早就習慣了。希爾柯蒂同學如果還想喝儘管喝個盡興吧，別因為我掃興。,
114,,希爾柯蒂,好，好吧！,
115,王的威嚴？,希爾柯蒂,赫爾墨斯小姐，請問，你這裡有桂花味的酒嗎？,
116,,赫爾墨斯,啊，是希爾柯蒂小姐呀，桂花味的當然有啊，不過你們怎麼都喜歡花味的，剛剛小千鶴子也說喜歡那個櫻花味的飲料……,
117,,,赫爾墨斯把調好的酒遞給希爾柯蒂。希爾柯蒂立刻品味起來。,
118,,希爾柯蒂,欸，千鶴子？說起來她去哪裡了呢，今晚我好久沒看到她了。,
119,,赫爾墨斯,哈哈，她正呼呼大睡呢，忽然說睏了，所以在我這裡睡著。,
120,,赫爾墨斯,你聽聽，她都睡著了還是念著什麼大神保佑………怪可愛的。,
121,,希爾柯蒂,啊，鶴華神宮的禦晷昭炎大神對吧！這個名字真的很難記……,
122,,赫爾墨斯,哈哈，那你信不信神啊？,
123,,希爾柯蒂,那首先，得界定一下，什麼是神，我才能回答這個問題……,
124,,赫爾墨斯,唔，是一個信仰的集合？是一群人的精神支撐？或者是不敢忤逆的強大力量？,
125,,赫爾墨斯,又或者是這三者結合後的存在？希爾柯蒂小姐，你覺得呢？,
126,,希爾柯蒂,唔，這太複雜了。但無論是什麼，我同意牠是人群不敢忤逆的存在。,
127,,希爾柯蒂,對了，剛剛我和普羅米修斯聊天，她好像是因為被神懲罰才變成這樣的，她甚至一點怨言都沒有……,
128,,希爾柯蒂,可見神王的威嚴真的很大啊。,
129,,赫爾墨斯,神王？眾神之王？神的王，神的神……,
130,,希爾柯蒂,怎麼了，我說的話哪裡奇怪嗎？,
131,,赫爾墨斯,沒什麼，只是沒想到普羅米修斯明明已經是神了，卻還被更高位的存在束縛著。,
132,,希爾柯蒂,這樣看來，就算是神，也和人一樣並不自由，有所忌憚……,
133,,希爾柯蒂,低層者對高層者的畏懼和服從，和“人”對“神”的畏懼和服從，有什麼區別呢？,
134,,,希爾柯蒂眼前忽然浮現城中的陰暗往事……混沌的黑影掩蓋住月光，黑夜裡響起此起彼伏的尖叫聲…………,
135,,男人A,我的妻子被，被那個黑色的東西殺害了……救救我的妻子……你們抓我幹什麼，不應該去抓那個怪物嗎！,
136,,男人A,喂！作為守衛的督察你們為什麼，為什麼……放開我，放開我啊！,
137,,士兵,城主命令，相關案件絕不可以聲張。……快捂住他的嘴！,
138,,女人,昨晚又發生了什麼事嗎？,
139,,男人B,噓，少問這些事，要相信城主會保護好我們的……,
140,,赫爾墨斯,怎麼了，你怎麼忽然走神，是想到了什麼嗎？,
141,,希爾柯蒂,啊，我想到了自己的父親，雖然不是王，但作為城主也有城民不能忤逆的威嚴。不過比起威嚴，更像是一套控制術。,
142,,赫爾墨斯,真的？聽說你們的城曾經被混沌侵襲。,
143,,希爾柯蒂,嗯……不過當時除了包括我父親在內的政要，沒有一個人知道混沌的事，大家都以為受害者是染了奇怪的病，,
144,,希爾柯蒂,或者是一些沒有被偵破的殺人事件……總之沒有人知道混沌這個東西……,
145,,赫爾墨斯,他們一點也不覺得奇怪嗎？,
146,,希爾柯蒂,唔，其實也只有少數人知道這些事情，其他的人總覺得是怪談，不太願意相信……,
147,,希爾柯蒂,而知道這些事情的人呢，勢單力薄，沒有能力去深究……就這樣，城裡的人和混沌共存了太久……,
148,,希爾柯蒂,混沌黑手可能會伸向每一個人，沒有人一定會是倖存者……,
149,,赫爾墨斯,這麼恐怖的事情，怎麼會只有少數人知道，一傳十十傳百也該傳得人盡皆知了吧！,
150,,希爾柯蒂,……當時，平民們的消息管道是很封閉的。,
151,,希爾柯蒂,案件目擊者會被堵住嘴巴，或者他們的話會被說成謠言；本應該聽到這些的人，就算聽到了也不一定會完全相信，直到災難降臨到自己頭頂……,
152,,希爾柯蒂,人們不會知道自己不知道什麼，也不會為了不知道的事情憤怒悲傷，更別說採取行動。,
153,,希爾柯蒂,人們對未知，只有兩種感覺，不是好奇就是害怕，好奇心會付出代價的話，那麼他們就會當縮頭烏龜，做把頭埋起來的鴕鳥了……,
154,,希爾柯蒂,我的父親也承諾會保護好大家，人們都很信任我的父親……只是……,
155,,赫爾墨斯,只是，對統治者的相信並不可靠，命運還是得掌握在自己手裡。,
156,,希爾柯蒂,……嗯，不過還好，最後一切都解決了，混沌還是被清除，人們最終也得救了，否則不知道這些悲劇會怎麼被掩蓋掉……,
157,,希爾柯蒂,如果不是媽媽的生命被威脅，我父親也不會讓事態變得那麼嚴重吧……,
158,,希爾柯蒂,他，也不想城裡變成那個樣子的……,
159,,赫爾墨斯,原來如此……,
160,,赫爾墨斯,（統治者有時候也能像神一樣，製造神秘，控制百姓啊……看來是不是神並不重要。）,
161,,赫爾墨斯,（那要怎麼才能擺脫類似的控制呢？）,
162,,希爾柯蒂,赫爾墨斯小姐？,
163,,赫爾墨斯,……,
164,,希爾柯蒂,你在想什麼，那麼出神的樣子。,
165,,赫爾墨斯,沒什麼啦~,
166,虛假的神？,瑪雅,哎呀呀~這披薩還蠻好吃的，張飛你把牠放在日常功能表裡面吧，我不想只有特殊節日才能吃到。,
167,,張飛,這個，這個……牠的做法很複雜的！,
168,,瑪雅,哦。所以呢？和我有關係嗎？,
169,,張飛,啊，因為很複雜，所以不是每天都有時間和食材可以做出來啊！,
170,,瑪雅,這難道不是你作為廚子該煩惱的事情嗎，為什麼要和我說？,
171,,張飛,意思就是牠不可能被放到日常功能表裡去啦！,
172,,瑪雅,那本大小姐想吃的時候，不能吃到怎麼辦？,
173,,瑪雅,我的僕從們也咿咿呀呀的，說味道很香欸！,
174,,張飛,這個，這個……看在你這麼欣賞俺廚藝的份上，你想吃的時候早點告訴我，俺有時間就儘量幫你做出來怎麼樣？,
175,,張飛,這已經是俺能做到最多的程度了！,
176,,瑪雅,哼哼，我看你對你那兩個大姐頭可是唯命是從的，但你知道我是誰嗎？,
177,,張飛,哎喲哎喲，就算是天神下凡命令俺做事，俺做不到就是做不到啊！,
178,,張飛,別為難俺啦！瑪雅大小姐，你是混沌之神，俺哪裡會故意和你作對呀！,
179,,瑪雅,哼哼！真是拿你沒辦法……,
180,,,……,
181,,瑪雅,赫爾墨斯，赫爾墨斯，快點端一杯最香的酒出來給我！,
