id,title,dsc
1,1海底龙宫,
2,2宫殿的主人,
3,A-1和消息灵通的赫尔墨斯搭话,
4,A-2买点什么吧,
5,B-1和聪慧的诸葛亮搭话,
6,B-2探查可疑的小岛,
7,C-1向在天空遨游的鲁班打探,
8,C-2向迷之黑点追击,
9,3秘宝何在,
10,4潜入深海,
11,5后日谈,
12,和戴安娜搭話,「哎呀，你們不可以這麼調皮。」被戴安娜的小寵物們追逐著潑了很多水，看來不在打水仗上取得勝利，是無法擺脫它們的。
13,只是瞥了一眼貓貓,「是想摸一下貓嗎，不用客氣。」一團嬌小、柔軟、散發著熱意、身體隨著呼吸微微起伏的毛茸茸乖巧地趴進了羅蘭維亞懷中。
14,和赫爾墨斯搭話,「客人要買什麼~不買也沒關係，難得來一次海邊，這些送給你們吧。」遇到了難得大方赫爾墨斯，收穫了各種各樣新奇的玩具。
15,和菲斯納搭話,「芥末醬油特辣霜淇淋還在重新準備中，之後請務必光臨！等待期間就先嘗嘗普通的吧。」菲斯納熱情地招呼你們，送了你們一人一個美味、正常的霜淇淋。
16,看看丘比特在做些什麼,丘比特同學正胡亂向水中發射愛的魔力波，引發了魚群大騷亂，再這樣下去海洋的生態系統會紊亂的！快阻止她——
17,為什麼會有人在海上舞蹈,兩人被墮天使充滿魔性的舞姿吸引，沉醉而專注地欣賞著，不知不覺過了很長一段時間。
18,和諸葛亮搭話,「還想要繼續釣魚嗎？我的魚竿借給你們。」手中被不由分說地塞入了魚竿。
19,窺視德古拉的行蹤,「怎麼全不見了，難道是泡泡太脆弱了？再加點魔力加固它們……」為了世界和平，你們決定再次粉碎血族女王的陰謀。
20,觀察奇怪的迷之人,「誰是迷之人啊喂！總之你們倆被我選中了，快變身魔法少女去創造奇蹟吧！」拿著變身腰帶大喊大叫確實挺傻的，幸好這一幕不會有第四個人看到。
21,莫名其妙成為模特兒,得到了一張雙人畫像，羅蘭維亞覺得想要給自己和波賽頓留個紀念，選擇拍照會更快一些，但沒人會在愛麗舍面前將這句話講出來——可愛和可怕，哪一個都無法招架。
22,和魯班搭話,「再玩一次吧，一起飛上天吧~」魯班一手拽住一人，在空中表演了個漂亮的迴旋。
23,回到遇見左慈的地方,在你們的幫助下，左慈已經平安回去了，但似乎因為左慈留下的氣息，這裡聚集著很多漂亮的魚，好好欣賞難得的美景吧。
