id,title,name,dialog,select_text
1,1海底龙宫,伊芙,這片海灘，居然真的和那張藏寶圖所指示的海域一模一樣，遠古龍宮秘寶是真實存在的……,
2,,伊芙,沒想到潛入幽夢還有意外收穫，要是能得到傳說中巨龍守護的秘寶，,
3,,伊芙,達成我理想所需要的資金就足夠了。海底龍宮，我一定要拿下！,
4,,伊芙,不過那麼多寶藏我一個人可能搬不完，傳說中守護著秘寶的巨龍也是問題，得找個幫手……,
5,,孟獲,免費的自助烤肉時間要到了！烤肉店在哪裡！！,
6,,孟獲,哇哦，伊芙同學，你這身衣服好帥啊！,
7,,伊芙,剛好有人送上門了，而且是個很有力氣又很單純的乖女孩。,
8,,伊芙,你喜歡我這身衣服？幫我一個忙，我就送你一套怎麼樣？,
9,,孟獲,衣服……想要！但是，烤肉更重要！太晚到會被劉禪吃完的，所以還是算了！,
10,,伊芙,那只要幫我完成一件事，不只送你衣服，還讓你吃烤肉吃到飽，怎麼樣？,
11,,孟獲,吃到飽？不用和劉禪搶？,
12,,伊芙,不用哦，全都是你的。（畢竟和龐大的財富比起來，這點支出根本微不足道。）,
13,,孟獲,好！有什麼要幫忙的都交給我吧！,
14,,伊芙,和藏寶圖所示地點分毫不差，雖然沒有看到守護寶藏的巨龍，但也正合我意。,
15,,伊芙,孟獲同學，幫我把這些東西都搬上船吧，回到岸上就帶你去買衣服和烤肉。,
16,,孟獲,放心交給我，我力氣可大了！嘿咻嘿咻……,
17,,伊芙,呵呵，真是個乖女孩，單純到不會覬覦不屬於她的東西，像我的狗狗們一樣乖巧。,
18,,孟獲,嘿咻嘿咻……嘿咻嘿咻……好累，都搬完了！可餓死我啦，我一定要大吃一頓。,
19,,伊芙,放心，幫我做事的乖狗狗，不會少了一塊肉的。,
20,,孟獲,狗狗？,
21,,巨響的龍吟,吼——！！！,
22,,孟獲,好響的呼嚕聲，它一定睡得很香！我吃飽的時候一定也睡得這麼香！,
23,,伊芙,小笨蛋，這是龍的聲音，還不快走……,
24,,孟獲,事情做完了！烤肉！烤肉！,
25,,伊芙,安靜點，還有事情沒做完，你還得幫我把它們轉移到我的秘密據點去。,
26,,孟獲,餓了，烤肉烤肉烤肉烤肉！我要烤肉！,
27,,伊芙,（危險的語氣）不聽話的狗，是要吃苦頭的。,
28,,孟獲,咕嗚……汗毛都豎起來了……,
29,,伊芙,哎呀，怎麼，嚇到了嗎？不怕不怕，乖女孩不會受到傷害的，所以再忍耐一下，好嗎？,
30,,孟獲,QAQ好……,
31,,,孟獲哭喪著臉來到存放寶藏的船艙。,
32,,孟獲,沒有新衣服，也沒有烤肉……餓了，還好帶了肉，啊呣呣呣呣呣呣~,
33,,孟獲,吃完了，好少。伊芙同學不講信用，不給她吃！,
34,,,孟獲生氣地丟出手中巨大的骨頭，咻——哐！！！,
35,,伊芙,（從船艙外傳來）什麼聲音？,
36,,孟獲,沒，沒什麼！,
37,,孟獲,糟了糟了，骨頭把牆壁砸出好大一個洞，怎麼辦，可怕的伊芙同學會再次出現的。,
38,,孟獲,對了，用這些亮晶晶把洞遮起來！,
39,2宫殿的主人,羅蘭維亞,哈欠——,
40,,？？？,嘿嘿，我就知道維亞亞來這裡一定能睡個好覺。,
41,,羅蘭維亞,……,
42,,？？？,等、等等，為什麼要用這樣陌生的眼神看著我，維亞亞難道睡完就把我從記憶裡清除了嗎！,
43,,？？？,睡完就不認人！太冷酷了！太無情了！,
44,,羅蘭維亞,……只是剛才大腦還沒有完全清醒過來。我當然記得你，波賽頓。,
45,,羅蘭維亞,因為莫名其妙的原因來到學園的海洋之神，又莫名其妙纏上我要當我朋友，世上居然會有這麼自來熟的人……,
46,,波賽頓,當然是因為我眼光獨到，一眼就發現了維亞亞的好！,
47,,波賽頓,我想和維亞亞成為朋友，最開始居然被那麼嫌棄……哼，太過分啦！我要記仇，絕交三秒鐘！,
48,,羅蘭維亞,……總之謝謝你邀請我來這裡度假，我很久沒有睡這麼好了。,
49,,羅蘭維亞,不過，你怎麼知道這裡可以治療我的失眠？,
50,,波賽頓,嘿嘿，因為我有個海龍朋友呀，我所有宮殿她最喜歡的就是這座，常常來這一睡就是幾十年。,
51,,波賽頓,雖然海龍和銀龍親緣關係有點遠，但畢竟都是龍，所以我想你在這裡也會睡得很香吧！,
52,,波賽頓,不過維亞亞也要注意勞逸結合哦，努力工作是值得尊重，但作息混亂到睡不著就得不償失了。,
53,,波賽頓,像我這樣什麼都不管最輕鬆啦！就算維亞亞很能幹，也要注意身體，可千萬別像我大姐那樣。,
54,,羅蘭維亞,嗯，好，你的關心我收下了。,
55,,波賽頓,哼哼，又是嘴上說的好聽，但絕不改對吧！像我大姐那樣，轉眼就把我的話拋到腦後……,
56,,波賽頓,維亞亞你悔改吧~你都不知道你昨晚呼嚕聲有多大！,
57,,波賽頓,就像這樣：吼——！！！,
58,,羅蘭維亞,欸？我……我從來不知道自己會打呼……不會……這麼誇張吧……,
59,,羅蘭維亞,是不是吵到你了。,
60,,波賽頓,沒事，這種聲音我早就習慣了。我那個海龍朋友啊，每次睡得很舒服的時候就會這樣打呼。,
61,,波賽頓,所以我就把維亞亞的呼嚕聲當作對我宮殿的誇獎收下了！,
62,,羅蘭維亞,對了，你剛才說海龍朋友……龍，是我的同族嗎？可不可以和我說說她的事？,
63,,波賽頓,海龍和銀龍其實親緣關係有點遠啦。不過維亞亞沒有見過自己的同族嗎？,
64,,羅蘭維亞,沒有，自從我有意識起，就是獨自一人住在山上。,
65,,波賽頓,那我跟你說，我那個朋友啊……,
66,,,波賽頓快樂和同羅蘭維亞暢談起了與友人的舊事。,
67,,波賽頓,她最喜歡收集各種財寶，然後隨便往我哪個宮殿裡一丟，把我的宮殿都當成她的儲藏室了。,
68,,波賽頓,我還以為所有龍族都是看到亮晶晶就走不動路的個性呢，直到遇到你，難道銀龍和其他龍不一樣嗎……,
69,,羅蘭維亞,等等，說到財寶，這裡是不是有什麼不對勁的地方？,
70,,,……,
71,,,……,
72,,波賽頓,哈哈哈，原來金子是會溶於水的嗎。,
73,,羅蘭維亞,不，金是不會被水溶解的。是被水沖走了嗎？還是被人……,
74,,波賽頓,唔……宮殿周圍有陣法，不會產生很大的暗流，而且寶藏在這裡也放了幾百年了……,
75,,羅蘭維亞,那必定是被人偷走了！,
76,,波賽頓,……欸，你怎麼又不開心的樣子……,
77,,羅蘭維亞,就是因為有這些無恥之徒，世界才變得這麼糟……我一定會幫你把財寶找回來！,
78,,波賽頓,其實沒關係……好呀好呀，開始玩尋寶遊戲吧！,
79,A-1和消息灵通的赫尔墨斯搭话,羅蘭維亞,小偷偷走財物，一定需要上岸銷贓，離這裡最近的海岸就是我們來時這片。,
80,,羅蘭維亞,所以我們在岸上問問同學們，有沒有見到可疑的人吧。,
81,,波賽頓,你看，赫老闆的店鋪開在那裡，她一定一直注意著附近的「潛在客戶」。,
82,,赫爾墨斯,別偷懶，快點招呼客人，還想不想還清債務？,
83,,菲斯納,哼！（小聲）討厭的老女人。,
84,,赫爾墨斯,我聽到了。,
85,,菲斯納,啊哈哈哈哈……客人們裡面請，兩位有什麼想買的東西嗎，到處瞧到處看啊。,
86,,羅蘭維亞,我們不是來買東西的。,
87,,波賽頓,我倒是想吃霜淇淋了，但這裡好像沒有賣的呢~,
88,,菲斯納,可惡，要是我的芥末醬油特辣霜淇淋攤子還健在……求求了，你們就買點吧，買不了吃虧買不了上當。,
89,,菲斯納,買滿十萬金幣還送全世界限量一個的超級限定——本菲斯納大人的玩偶！數量有限先搶先贏！,
90,,羅蘭維亞,不了，我們急著找小偷，赫老闆有注意到附近出現了奇怪的人嗎？,
91,,赫爾墨斯,小偷倒沒注意到，不過要說我見過奇怪的人，就是我身後這個菲斯娜了。,
92,,菲斯納,喂，要我這樣攬客不是你要求的嗎！,
93,,波賽頓,我剛才就很好奇呢，菲納納居然乖乖打工，不應該是在醞釀全新的惡作劇嗎？,
94,,菲斯納,還是你懂我！但我昨晚辛辛苦苦準備的芥末醬油特辣霜淇淋一份都還沒賣出去，攤子就沒了……,
95,,羅蘭維亞,攤子沒了？難道也是小偷……,
96,,赫爾墨斯,這倒不是，昨晚刮起很強的風，把我們放在岸上的遮陽傘啊、帳篷啊，都吹得亂七八糟的。,
97,,赫爾墨斯,她可憐的小攤子也沒能倖免。,
98,,羅蘭維亞,風暴嗎……昨晚一直待在海底，倒是沒注意到風暴，沒有人受傷吧？,
99,,赫爾墨斯,受傷倒沒有，旅館的牆壁還是很堅固的。,
100,,波賽頓,欸，好奇怪？我看這幾天的天氣，海邊不應該有風暴才對啊……,
101,,赫爾墨斯,哈哈，看來就算是海神大人，也沒法預測詭譎多變的大海呢。,
102,,波賽頓,嘿嘿，我不知道的還有很多啦。,
103,A-2买点什么吧,波賽頓,我要買這個，這個，還有這個。,
104,,菲斯納,哦哦哦！！！多謝惠顧，一共是十一萬四千五百一十四金幣，請在這裡刷卡！,
105,,菲斯納,你的大恩大德本菲斯納大人永生難忘！,
106,,波賽頓,說起來，菲納納為什麼在幫赫老闆打工呢？,
107,,羅蘭維亞,我之前好像聽說，是因為……債務？,
108,,菲斯納,嗨呀，別提了，昨天可倒楣透了！,
109,,菲斯納,我昨晚好不容易準備好芥末醬油特辣霜淇淋的原料，太睏了就想在沙灘上睡一覺……,
110,,赫爾墨斯,然後我一早過來，就看見我精心準備的店鋪被砸得稀巴爛，而菲斯納正躺在廢墟裡呼呼大睡。,
111,,菲斯納,赫爾墨斯要我賠她店鋪的錢，我付不出來，就只能留在這裡打工了……,
112,,羅蘭維亞,但店鋪不是被風暴吹毀的嗎？我不認為責任應該歸到菲斯納同學身上。,
113,,菲斯納,對啊對啊，我本來也是這麼覺得的，但……,
114,,赫爾墨斯,我的攤子選用了抗風材料，能抵抗8級強風。如果不是菲斯納被風吹著砸進來，我不會有任何損失。,
115,,菲斯納,所以我就只能賣身還債……等我無債一身輕，你們一定要來吃吃看我的芥末醬油特辣霜淇淋！,
116,,波賽頓,一定一定！維亞亞也要一起哦，別老待在工作室！多體驗體驗新東西嘛~,
117,,羅蘭維亞,不，我還有更重要的事要做，沒有時間花在享樂上。,
118,,波賽頓,唉，簡直像是我在世界上的另一個大姐……不對，維亞亞比她還要難勸。,
119,,波賽頓,但是，沒想到菲納納是會負起責任還債的人，我對你可刮目相看啦！,
120,,菲斯納,欸？,
121,,波賽頓,還以為菲納納會直接賴帳不還呢，看來我對菲納納的瞭解還不太夠……,
122,,菲斯納,對哦，還可以不還！我為什麼非要還你錢不可啊！我可是迷人的反派角色！,
123,,菲斯納,欠債不還才是我應該做的事！跑路啦~,
