id,name,buff1,buff2,buff3,buff4
20001,櫻之玉振,基礎屬性生命加成+3%,基礎屬性生命加成+6%,,使魔造成的治療提升20%
30001,喵之玉振,基礎屬性攻擊加成+2%,基礎屬性攻擊加成+4%,,使魔造成的傷害提升20%
40001,幽浮之玉振,基礎屬性對隱蹤陣營的加成效果額外提升50%,破甲+10%,,破甲+20%
40002,正凜之玉振,基礎屬性對神威陣營的加成效果額外提升50%,格擋+10%,,格擋+20%
40003,無拘之玉振,基礎屬性對風見陣營的加成效果額外提升50%,基礎屬性攻擊加成+3%,,基礎屬性攻擊加成+6%
40004,明慧之玉振,基礎屬性對曇華陣營的加成效果額外提升50%,基礎屬性生命加成+4%,,基礎屬性生命加成+8%
50001,沉淵之玉振,基礎屬性對修羅陣營的加成效果額外提升50%,技能傷害率+20%,技能傷害率+40%,基礎屬性攻擊加成+6%\n己方每上陣一個修羅陣營的戰姬，所有上陣戰姬的全傷害+1%
50002,拂曉之玉振,基礎屬性對辰星陣營的加成效果額外提升50%,神聖傷害+6%,神聖傷害+12%,基礎屬性生命加成+8%\n己方每上陣一個辰星陣營的戰姬，所有上陣戰姬的全傷害減免+1%
50003,殊光之玉振,基礎屬性對天異陣營的加成效果額外提升50%,全傷害增加+3%,全傷害增加+6%,基礎屬性攻擊加成+8%\n己方每上陣一個天異陣營的戰姬，天異陣營的額外光環效果提高+3%
60001,水月之玉振,全傷害減免+10%,基礎屬性生命加成+6%,基礎屬性生命加成+12%,基礎屬性生命加成+12%\n戰鬥時，己方戰姬受到的所有傷害減少10%
