id,name,dialog
1,魏延,亮學姐！！亮學姐早上好~
2,諸葛亮,小延~早上好呀~
3,德古拉,其他人都不在這，我就是這間宿舍的王！
4,曹操,米迦勒去哪了？你不擔心她嗎？
5,路西法,她有自己的意志，我可不需要擔心。
6,巴尼拉,龐統就在那邊，我該和她說些什麼呢？
7,龐統,巴尼拉就在那邊，我該和她說些什麼呢？
8,曹操,喔，我看你這麼無聊，不如我們來猜拳吧！
9,張合,猜拳？好主意，我可不會輸給任何人！石頭、剪子、布……
10,曹操,布！
11,張合,石頭！
12,曹植,本來想找一本書來讀，但這什麼都沒有……難道學長說喜歡讀書是騙我的嗎？
13,魏延1,你是誰？
14,魏延2,你又是誰？長得跟我一模一樣，但卻穿得這麼清涼！
15,魏延,唉，這間宿舍也太簡陋了，真希望能用上稍微暖和一點的被子……
16,魏延,水晶球？我以前還沒見過下雪啊……我可以進去看看嗎？
17,路西法,曹操，你不用來挑撥我們之間的關係！
18,諸葛亮,小延最近心情不錯，早上還向我問好了~不過……
19,華佗,不過她機械臂的運轉情況一直沒有調整到最佳，對吧？
20,華佗,這事我也發現了，你也不用過於擔心，我想問題應該不大。
21,諸葛亮,但願是我多慮了吧……
22,許褚,哼！學長真是的，宿舍裡一點綠色植物都沒有！回頭要好好教訓他一下~
23,張飛,好香的味道！難道是，我最愛吃的那家店！！
24,赤蓮,新，新年是什麼喵？
25,赤蓮,為，為什麼要穿這麼緊的衣服喵？
26,米迦勒,唔，難道，又是加百列這傢夥？早知道，上次就應該直接把她的相機沒收！
27,路西法,哦，這不是米迦勒的海報嘛！不知道是哪個傢夥放在這的，眼光很不錯呀。
28,巴妮拉,原來學長也對童話書感興趣嗎？
29,巴妮拉,好奇怪的故事……女主角和魏延同學好像啊……
30,魏延,童話書？嗯……好有趣的故事啊！
31,銀月,原來，那個傢夥也有打掃房間的習慣嗎？
32,銀月,正好，等下次行動結束，就順路來這裡幫他打掃一下吧。
33,陸遜,不知道學長在做什麼呢？什麼時候可以再抽到我呀……
34,諸葛亮,每次穿上這件衣服，都能讓我回憶起在殿堂裡和學長那一刻……
35,諸葛亮,雖然提前預料到學長所有可能的行動，可在那一刻……真是低估了學長的行動力啊。
36,魏延,今天，魏延也會為了學長努力戰鬥的！
37,千本櫻,櫻的美麗只有一瞬間。但既然能讓那位學長看到，那就不算遺憾吧……
38,方天,大家都還在為正義而戰鬥，為什麼學長要讓我留在這裡呢……
39,曹操,哼，那傢夥又出去戰鬥了嗎？看來我也不能停下腳步啊！
40,貂蟬,下一個假期，該和親愛的去哪裡玩呢？
41,鄧艾,溫暖的感覺，會讓人遲鈍。不過，就在這裡呆一會，也許也不錯……
42,米迦勒,短暫的休息一下吧。要盡快恢復精力，為學長分擔更多職責！
43,路西法,很少有人知道，光明，只不過是黑暗的側面而已。也許，那個學長，也能理解黑暗的美妙……
44,司馬懿,嗯，如果再暗一點就好。不過，既然學長喜歡這裡，我也試著去喜歡好了。
45,德古拉,呵呵，這裡的氣味讓我想起了那個人類。真是很久沒品嘗過這種質量的血液了呢。
46,諸葛亮,不過，偶爾體會一次這種驚喜的感覺，似乎也不錯呢。
47,路西法,憑什麼要讓我去教室和庸才們一起學習？我在宿舍裡一個人就可以做得更好！
48,巴妮拉,你在宿舍裡轉來轉去的，不會是迷路了吧？
49,龐統,這麼小的地方才不會迷路呢，我……我只是在找冰箱在哪裡！
50,米迦勒,路西法，起床了，太陽曬屁股了！
51,路西法,再睡……十分鐘……
52,卡雯&伯荻,卡雯：啊啦，雅各厭煩你這個姐姐了嗎？\n伯荻：不像我們，姐妹關係好得很呢~
53,以掃,雅各！快過來！
54,黃月英,我的巴魯可聰明了，會做十以內的算數。
55,魯班,我的助手醬也很聰明，它會製作機器人。
56,嫦娥,香芋糕，栗子糕，甜甜的，還有兔兔……
57,后羿,在說夢話，真可愛……
58,暗月,這個女孩──我感覺到了，是威脅的氣息！
59,魏延,哈啾！怎麼突然後背涼涼的……
60,烏列爾,修女小姐，作為神職人員，你應該約束自己的言行……
61,特蕾莎,酒！麻辣小魚乾！都給我拿上來！
62,張郃,放過我吧，你就沒贏過，別繼續賭了……
63,阪本龍馬,我一定要贏一把！不過能先借我點錢嗎，等我贏了直接帳上劃~
64,凡赫辛,德──古──拉──？
65,德古拉,哇啊，你的眼神好可怕啊！
66,凡赫辛,德──古──拉──！
67,原初·德古拉,呵呵，不錯的眼神，我許久沒有品嚐過血獵的甘露了。
68,劉備,今天吃什麼？
69,關羽,醬汁豬肉定食！
70,張飛,交給我吧！
71,原初·德古拉,這血……有毒……
72,阿帕忒,一點點搗碎的大蒜而已~
73,呂蒙,不管看幾次，都覺得你這身裝備好帥啊！
74,青羽蛻夢·魏延,但莫名其妙地就會向光源靠近，也很令人苦惱呢。
75,皮皮洛,薇薇安姐姐，拜託幫忙問一下星星，今晚皮皮洛放焰火會被抓到嗎？
76,薇薇安,星星說，今晚就放開玩吧，因為你之後三天都要被關禁閉了。
77,黃月英,抱歉，不能給你吃，這個餅乾是根據狗狗的營養需求研發的。
78,赤蓮,那赤蓮，變成狗了，喵！
79,陸遜,非常遺憾，扭蛋結果是謝謝惠顧哦！
80,莫妮卡,如果在這種地方稍微用一下時間倒轉的話……
81,加百列,哇哦，又是一條大新聞，下期報紙的頭條有了！
82,諸葛亮,要是學生會收到的投訴過多，我們會酌情削減新聞社的經費。
83,孫悟空,你能和學園裡的桃樹說說，叫它們快點結桃子嗎？
84,槲寄生,這個……要遵循自然規律才行啊……
85,許褚,長得不錯，枝葉看起來都很健康。
86,槲寄生,是的，多謝您的照顧！
87,薇拉,拖地的工作不用辛苦您，打掃交給我就行了。
88,銀月,不辛苦，打掃是我的嗜好，我們一起吧。
89,薇薇安,星星……在警示我？
90,司馬昭,最新款的水晶球，來看看吧！
91,羅比,你也是AI嗎，艾琳想和你交朋友。
92,圖靈,完全看不出來你是AI呢！你好呀艾琳~我叫圖靈~
93,羅比,「你好，圖靈。她是羅比，我才是艾琳。」
94,菲斯納,肚子……好痛……
95,華佗,哎呀，這個蘑菇是有毒的，快吐出來！
96,凱茜,我們的寵物似乎很合得來。
97,赤蓮,不是寵物，是家人喵。
98,赫爾墨斯,實現願望的水晶少女啊，可以讓我變成首富嗎？
99,克瑞絲,不勞而獲不可以！
100,孫尚香,哼，大有什麼好的，只是一堆脂肪而已！
101,羅比,大？艾琳很大，很好……
102,暗月,只要在你面前和親愛的接吻，親愛的就會和我永遠在一起了~
103,槲寄生,（這位姐姐的表情好可怕……）我，我會祝福你們的……
104,雲母,好精緻的做工，如果泥偶也做成能動的樣式的話……
105,漢獻帝,請問，一直在擺弄我的身體，有什麼事嗎？
106,貂蟬,體驗當老師的感覺如何？調♡教♡學生們很有趣吧~
107,烏列爾,這根鞭子，揮起來相當順手……
108,王異,在宿舍裡睡一會兒，沒關係的……呼……呼……
