id,name,desc
1,鑽心刻骨,戰鬥開始時，所有敵人受到隨機持續傷害，持續3回合；所有敵人受到的持續傷害（流血、中毒、燃燒）增加25%。
2,潛能激發,己方戰姬的暴擊增加25%，暴擊傷害值增加25%。
3,修羅之道,己方戰姬受到傷害時，有75%機率進行一次自身攻擊100%的反擊，必中。
4,百煉之劍,每獲得1場戰鬥的勝利，己方所有戰姬提升5%攻擊1次，持續至本期秘境結束。
5,沐浴聖光,每場戰鬥開始時，回復生命最低的1名戰姬40%生命。
6,共享聖光,每場戰鬥開始時，回復生命最低的2名戰姬20%生命。
7,過度生長,提升己方戰姬20%最大生命值。
8,榨乾,每當有1名敵人被擊殺時，擊殺者恢復100點能量，並提升己方全體戰姬100%技能傷害率。
9,二刀流,己方戰姬的普攻傷害增加100%；己方戰姬每次普攻後有50%機率進行一次額外的普攻。
10,曇華風暴,己方戰姬的生命回復比例增加25%，所有敵人的生命回復比例降低75%；每次有角色回復生命，血量最高的敵人會受到其血量上限5%的傷害（不超過80000），必中。
11,集中火力,戰鬥開始時，使隨機1名敵人受到的傷害增加60%，持續4回合。該目標在持續回合內死亡時，會將該效果隨機隨機給另1名敵人。
12,弱點擊破,對陣營剋制的敵人造成額外60%的傷害。
13,生命之泉,為3名生命百分比最低的戰姬恢復50%最大生命。
14,救死扶傷,隨機復活1名已經陣亡的戰姬，並恢復其100%生命；若無戰姬死亡，則為生命百分比最低的1名戰姬恢復100%生命。
15,免疫,提高己方戰姬40%免控率。
16,無畏之盾,己方戰姬格擋率增加30%。
17,衝鋒陷陣,上陣在前排的戰姬護甲提升25%，受傷回能效果提升100%。
18,精準打擊,上陣在後排的戰姬精準增加60%，破甲增加30%。
19,虛空鎖鏈,提高己方戰姬60%增控率。
20,不屈戰意,提高己方戰姬20%持續傷害減免。
21,能量狂涌,戰姬施放技能後，有25%機率再施放一次技能。
22,邪惡儀式,戰鬥開始時，己方戰姬擁有90%生命值和200點能量。
23,吸血,己方戰姬造成傷害時，會回復與傷害量15%等量的生命值。
24,神聖庇護,免疫致死傷害（每局僅觸發一次，可疊加）
